Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,2.58,0,0
SMAP1,0.0,0,0
CRHR1,0.52,0,0
RETN,0.0,0,0
C1orf229,0.0,0,0
FXC1,0.0,0,0
TSPAN4,0.52,0,0
CNOT6,0.0,0,0
FAM129A,0.0,0,0
SLC2A10,0.0,0,0
SNTB1,0.0,0,0
SLC6A6,0.0,0,0
LMLN,0.52,0,0
PKN1,6.19,0,0
S100A13,0.52,0,0
EBPL,2.06,0,0
HBZ,3.61,0,0
ZDHHC3,0.52,0,0
FANCG,4.12,0,0
CDH4,1.03,0,0
BEST4,3.61,0,0
TMEM90B,6.19,0,0
SRBD1,1.03,0,0
RRM2,1.55,0,0
CRH,4.64,0,0
TDRD1,0.52,0,0
DCLK1,0.0,0,0
MAK16,2.06,0,0
EIF3I,0.0,0,0
NFKBIB,0.0,0,0
MAMDC4,0.0,0,0
PLAGL1,0.0,0,0
BSND,0.0,0,0
CACNA1H,1.55,0,0
BSCL2,0.0,0,0
DHX40,1.03,0,0
KCNIP1,0.0,0,0
EXOC3L2,0.0,0,0
APOA4,0.0,0,0
DIRAS3,0.0,0,0
LIMCH1,0.0,0,0
DCAF4L2,0.0,0,0
STXBP2,0.0,0,0
RNF115,5.15,0,0
SYNE2,1.55,0,0
EFNA3,0.0,0,0
CALCB,0.0,0,0
PMEPA1,7.73,0,0
SCRN1,0.0,0,0
DYRK2,0.0,0,0
MTM1,8.25,0,0
ZNF532,1.03,0,0
FOLH1,1.03,0,0
C2orf47,0.0,0,0
UBE2V2,5.15,0,0
PDPK1,1.03,0,0
CBLC,0.0,0,0
C18orf16,0.52,0,0
CNTD2,7.73,0,0
IKBKAP,2.06,0,0
GSTP1,0.52,0,0
ARL13B,19.07,0,0
PRR18,1.03,0,0
ACTL6B,3.61,0,0
TMEM138,2.06,0,0
DYDC2,12.37,0,0
MTMR6,3.09,0,0
CRCT1,0.0,0,0
ATXN3,0.52,0,0
COG8,14.43,0,0
SFN,17.01,0,0
HIF3A,8.76,0,0
CAPN2,7.22,0,0
COQ3,10.82,0,0
ELANE,12.89,0,0
MRTO4,21.65,0,0
MFF,20.1,0,0
TXNL4A,15.98,0,0
MRPL30,4.12,0,0
TOLLIP,1.55,0,0
SLC12A5,8.76,0,0
TP73,0.0,0,0
RNF8,15.98,0,0
C18orf22,22.68,0,0
MSH3,10.31,0,0
OLFM1,9.28,0,0
C1orf124,1.03,0,0
LUC7L,4.64,0,0
TRPM6,0.52,0,0
SNRPA,1.03,0,0
TKTL2,0.0,0,0
DDX49,1.03,0,0
TNFRSF10A,14.43,0,0
NOS1,6.19,0,0
C21orf70,0.0,0,0
PPP4C,1.55,0,0
KLHL1,9.79,0,0
NUMA1,0.0,0,0
KRT19,7.73,0,0
ABHD12B,6.19,0,0
ZC3H3,13.92,0,0
TRPC3,9.79,0,0
STRN3,0.0,0,0
BEND2,1.03,0,0
C11orf49,0.0,0,0
SHANK1,20.1,0,0
LTB4R2,0.0,0,0
