Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,43.75,0,0
SMAP1,3.75,0,0
CRHR1,7.5,0,0
RETN,8.75,0,0
C1orf229,1.25,0,0
FXC1,0.0,0,0
TSPAN4,12.5,0,0
CNOT6,16.25,0,0
FAM129A,1.25,0,0
SLC2A10,0.0,0,0
SNTB1,1.25,0,0
SLC6A6,6.25,0,0
LMLN,1.25,0,0
PKN1,1.25,0,0
S100A13,23.75,0,0
EBPL,7.5,0,0
HBZ,7.5,0,0
ZDHHC3,30.0,0,0
FANCG,22.5,0,0
CDH4,3.75,0,0
BEST4,40.0,0,0
TMEM90B,16.25,0,0
SRBD1,1.25,0,0
RRM2,2.5,0,0
CRH,7.5,0,0
TDRD1,6.25,0,0
DCLK1,1.25,0,0
MAK16,1.25,0,0
EIF3I,5.0,0,0
NFKBIB,0.0,0,0
MAMDC4,32.5,0,0
PLAGL1,16.25,0,0
BSND,6.25,0,0
CACNA1H,0.0,0,0
BSCL2,5.0,0,0
DHX40,16.25,0,0
KCNIP1,5.0,0,0
EXOC3L2,1.25,0,0
APOA4,16.25,0,0
DIRAS3,26.25,0,0
LIMCH1,1.25,0,0
DCAF4L2,5.0,0,0
STXBP2,1.25,0,0
RNF115,0.0,0,0
SYNE2,2.5,0,0
EFNA3,2.5,0,0
CALCB,26.25,0,0
PMEPA1,1.25,0,0
SCRN1,46.25,0,0
DYRK2,0.0,0,0
MTM1,6.25,0,0
ZNF532,0.0,0,0
FOLH1,6.25,0,0
C2orf47,5.0,0,0
UBE2V2,56.25,0,0
PDPK1,30.0,0,0
CBLC,0.0,0,0
C18orf16,16.25,0,0
CNTD2,10.0,0,0
IKBKAP,20.0,0,0
GSTP1,0.0,0,0
ARL13B,7.5,0,0
PRR18,0.0,0,0
ACTL6B,20.0,0,0
TMEM138,25.0,0,0
DYDC2,8.75,0,0
MTMR6,21.25,0,0
CRCT1,18.75,0,0
ATXN3,7.5,0,0
COG8,18.75,0,0
SFN,1.25,0,0
HIF3A,5.0,0,0
CAPN2,7.5,0,0
COQ3,17.5,0,0
ELANE,2.5,0,0
MRTO4,28.75,0,0
MFF,42.5,0,0
TXNL4A,41.25,0,0
MRPL30,15.0,0,0
TOLLIP,5.0,0,0
SLC12A5,6.25,0,0
TP73,0.0,0,0
RNF8,15.0,0,0
C18orf22,1.25,0,0
MSH3,0.0,0,0
OLFM1,2.5,0,0
C1orf124,3.75,0,0
LUC7L,3.75,0,0
TRPM6,1.25,0,0
SNRPA,18.75,0,0
TKTL2,13.75,0,0
DDX49,15.0,0,0
TNFRSF10A,0.0,0,0
NOS1,16.25,0,0
C21orf70,3.75,0,0
PPP4C,6.25,0,0
KLHL1,17.5,0,0
NUMA1,1.25,0,0
KRT19,1.25,0,0
ABHD12B,0.0,0,0
ZC3H3,18.75,0,0
TRPC3,2.5,0,0
STRN3,35.0,0,0
BEND2,2.5,0,0
C11orf49,56.25,0,0
SHANK1,51.25,0,0
LTB4R2,0.0,0,0
