Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,3.61,0,0
SMAP1,1.03,0,0
CRHR1,0.0,0,0
RETN,0.52,0,0
C1orf229,0.52,0,0
FXC1,0.0,0,0
TSPAN4,0.0,0,0
CNOT6,0.0,0,0
FAM129A,0.0,0,0
SLC2A10,0.0,0,0
SNTB1,0.0,0,0
SLC6A6,0.52,0,0
LMLN,0.0,0,0
PKN1,0.52,0,0
S100A13,0.0,0,0
EBPL,2.06,0,0
HBZ,0.52,0,0
ZDHHC3,0.52,0,0
FANCG,0.0,0,0
CDH4,0.0,0,0
BEST4,1.03,0,0
TMEM90B,0.52,0,0
SRBD1,0.0,0,0
RRM2,0.52,0,0
CRH,21.13,0,0
TDRD1,3.09,0,0
DCLK1,4.12,0,0
MAK16,0.0,0,0
EIF3I,0.0,0,0
NFKBIB,0.0,0,0
MAMDC4,0.0,0,0
PLAGL1,0.52,0,0
BSND,0.52,0,0
CACNA1H,0.52,0,0
BSCL2,8.25,0,0
DHX40,1.55,0,0
KCNIP1,0.0,0,0
EXOC3L2,1.03,0,0
APOA4,0.0,0,0
DIRAS3,0.52,0,0
LIMCH1,0.0,0,0
DCAF4L2,0.0,0,0
STXBP2,1.03,0,0
RNF115,0.0,0,0
SYNE2,0.0,0,0
EFNA3,0.0,0,0
CALCB,1.03,0,0
PMEPA1,7.22,0,0
SCRN1,0.0,0,0
DYRK2,0.0,0,0
MTM1,3.09,0,0
ZNF532,6.7,0,0
FOLH1,0.0,0,0
C2orf47,0.0,0,0
UBE2V2,7.22,0,0
PDPK1,0.0,0,0
CBLC,0.0,0,0
C18orf16,18.04,0,0
CNTD2,0.0,0,0
IKBKAP,2.06,0,0
GSTP1,0.0,0,0
ARL13B,3.61,0,0
PRR18,0.52,0,0
ACTL6B,22.16,0,0
TMEM138,0.0,0,0
DYDC2,5.67,0,0
MTMR6,1.03,0,0
CRCT1,6.7,0,0
ATXN3,0.52,0,0
COG8,0.52,0,0
SFN,0.0,0,0
HIF3A,8.76,0,0
CAPN2,1.55,0,0
COQ3,1.03,0,0
ELANE,0.52,0,0
MRTO4,3.09,0,0
MFF,28.35,0,0
TXNL4A,1.55,0,0
MRPL30,16.49,0,0
TOLLIP,0.0,0,0
SLC12A5,1.55,0,0
TP73,7.22,0,0
RNF8,0.0,0,0
C18orf22,0.0,0,0
MSH3,0.0,0,0
OLFM1,0.52,0,0
C1orf124,0.0,0,0
LUC7L,0.0,0,0
TRPM6,0.0,0,0
SNRPA,0.52,0,0
TKTL2,1.03,0,0
DDX49,0.0,0,0
TNFRSF10A,0.0,0,0
NOS1,2.58,0,0
C21orf70,1.55,0,0
PPP4C,1.55,0,0
KLHL1,5.67,0,0
NUMA1,0.0,0,0
KRT19,1.03,0,0
ABHD12B,2.58,0,0
ZC3H3,4.12,0,0
TRPC3,5.15,0,0
STRN3,0.0,0,0
BEND2,8.25,0,0
C11orf49,4.64,0,0
SHANK1,1.03,0,0
LTB4R2,0.0,0,0
