Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
UBE2V2,50.73,90.48,50.73
TP73,49.02,90.48,49.02
CACNG3,47.56,90.48,47.56
CNTD2,45.61,85.71,45.61
SFN,43.66,95.24,43.66
CAPN2,40.98,95.24,40.98
ATXN3,40.24,100.0,40.24
BEND2,38.78,90.48,38.78
CBLC,38.54,95.24,38.54
C18orf16,36.83,100.0,36.83
SLC2A10,35.85,80.95,35.85
KLHL1,35.61,100.0,35.61
SHANK1,35.61,95.24,35.61
MFF,34.39,90.48,34.39
SLC12A5,34.15,80.95,34.15
TXNL4A,33.9,100.0,33.9
CDH4,32.68,95.24,32.68
ARL13B,32.68,100.0,32.68
NUMA1,31.22,95.24,31.22
EBPL,30.73,100.0,30.73
MRPL30,30.73,80.95,30.73
CNOT6,30.49,100.0,30.49
COQ3,29.51,100.0,29.51
PDPK1,29.51,100.0,29.51
GSTP1,29.27,100.0,29.27
ELANE,29.02,100.0,29.02
MTMR6,28.78,100.0,28.78
PPP4C,28.29,100.0,28.29
TOLLIP,27.8,100.0,27.8
DYDC2,27.56,100.0,27.56
HIF3A,27.07,100.0,27.07
TKTL2,26.34,100.0,26.34
ZC3H3,25.85,95.24,25.85
C1orf124,25.85,100.0,25.85
TNFRSF10A,25.37,95.24,25.37
TMEM138,25.12,95.24,25.12
PRR18,24.88,95.24,24.88
TRPM6,24.39,100.0,24.39
C11orf49,24.39,100.0,24.39
KRT19,23.9,100.0,23.9
CRHR1,22.44,100.0,22.44
CRCT1,22.44,100.0,22.44
RNF8,22.44,100.0,22.44
OLFM1,21.95,100.0,21.95
DDX49,21.46,100.0,21.46
C18orf22,20.73,80.95,20.73
S100A13,20.73,95.24,20.73
C2orf47,20.73,100.0,20.73
IKBKAP,19.51,100.0,19.51
MRTO4,19.02,100.0,19.02
NOS1,19.02,95.24,19.02
FOLH1,19.02,100.0,19.02
ACTL6B,17.32,100.0,17.32
TMEM90B,17.07,95.24,17.07
SRBD1,16.83,100.0,16.83
SNTB1,16.34,100.0,16.34
PKN1,16.1,100.0,16.1
C1orf229,15.37,95.24,15.37
MAK16,15.12,100.0,15.12
SNRPA,14.88,100.0,14.88
TRPC3,14.88,100.0,14.88
STRN3,14.63,100.0,14.63
CRH,14.63,100.0,14.63
DCLK1,14.63,90.48,14.63
ZDHHC3,14.15,100.0,14.15
CALCB,14.15,100.0,14.15
MTM1,13.9,100.0,13.9
SLC6A6,12.68,100.0,12.68
TSPAN4,12.68,100.0,12.68
RRM2,11.71,100.0,11.71
LMLN,10.73,100.0,10.73
COG8,10.24,100.0,10.24
LUC7L,10.24,100.0,10.24
FANCG,9.27,100.0,9.27
EFNA3,9.27,100.0,9.27
DCAF4L2,9.02,100.0,9.02
DYRK2,8.78,100.0,8.78
DHX40,8.78,100.0,8.78
APOA4,8.29,100.0,8.29
RETN,8.29,100.0,8.29
PMEPA1,7.56,100.0,7.56
MSH3,7.07,100.0,7.07
LIMCH1,6.59,100.0,6.59
FAM129A,5.85,100.0,5.85
SMAP1,5.12,95.24,5.12
ABHD12B,5.12,100.0,5.12
SCRN1,4.88,100.0,4.88
CACNA1H,4.39,100.0,4.39
C21orf70,4.39,100.0,4.39
BSND,3.9,100.0,3.9
KCNIP1,3.41,100.0,3.41
STXBP2,3.17,100.0,3.17
NFKBIB,3.17,100.0,3.17
TDRD1,2.93,100.0,2.93
DIRAS3,2.93,100.0,2.93
ZNF532,2.68,100.0,2.68
EIF3I,2.68,100.0,2.68
RNF115,2.44,100.0,2.44
SYNE2,2.2,100.0,2.2
FXC1,1.46,100.0,1.46
PLAGL1,1.46,100.0,1.46
EXOC3L2,1.22,100.0,1.22
BSCL2,0.73,100.0,0.73
MAMDC4,0.0,100.0,0.0
BEST4,20.49,71.43,0.0
HBZ,27.07,76.19,0.0
LTB4R2,0.0,100.0,0.0
