Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
TNFRSF10D,34.69,81.08,34.69
CPXM1,33.33,87.39,33.33
HAAO,31.48,90.99,31.48
GALR1,28.27,99.1,28.27
GRIN3A,27.53,97.3,27.53
SCNN1B,26.67,98.2,26.67
HIF3A,25.93,87.39,25.93
MIR34B,25.19,96.4,25.19
GATA4,24.44,95.5,24.44
HIST1H2BB,24.07,84.68,24.07
NETO1,22.72,89.19,22.72
SNCA,19.88,94.59,19.88
TMEM101,19.26,91.89,19.26
SLC16A12,17.53,98.2,17.53
FOXE1,16.79,91.89,16.79
FAM20A,14.32,99.1,14.32
FUT9,14.07,97.3,14.07
MT1E,13.7,95.5,13.7
TSPAN2,13.7,98.2,13.7
DLK1,13.46,100.0,13.46
EPO,13.33,98.2,13.33
ELOVL4,12.96,93.69,12.96
PAK7,12.84,100.0,12.84
GFRA3,11.85,99.1,11.85
DFNA5,11.85,99.1,11.85
MME,11.36,86.49,11.36
ME3,11.36,98.2,11.36
KCNT2,11.23,96.4,11.23
SLC6A1,10.74,100.0,10.74
ZNF542,9.38,98.2,9.38
BMPER,8.77,96.4,8.77
WNT7A,8.77,93.69,8.77
HIST1H4D,8.64,93.69,8.64
RBM24,8.64,94.59,8.64
GABRB2,8.52,100.0,8.52
LRRC4,7.41,92.79,7.41
CRHR2,7.16,99.1,7.16
NPAS1,7.16,100.0,7.16
CUX2,6.67,99.1,6.67
AOX1,6.67,98.2,6.67
GSTP1,6.54,99.1,6.54
RPL39L,6.42,100.0,6.42
ADAM23,6.3,90.09,6.3
JPH3,5.93,94.59,5.93
WDR17,5.93,98.2,5.93
ELMO1,5.31,94.59,5.31
SORCS3,5.31,100.0,5.31
PLCB1,5.19,93.69,5.19
ST6GALNAC5,5.06,93.69,5.06
GRIN2A,4.69,100.0,4.69
TWIST1,4.32,99.1,4.32
SLC30A2,4.2,100.0,4.2
RNF182,4.2,91.89,4.2
SLITRK5,4.07,100.0,4.07
KCNQ3,3.83,98.2,3.83
EPHA7,3.46,100.0,3.46
PCDH17,3.33,93.69,3.33
SLC8A3,3.21,100.0,3.21
DTX1,3.09,99.1,3.09
FKBP11,2.96,100.0,2.96
SNAI2,2.72,94.59,2.72
JAKMIP1,2.47,99.1,2.47
IRX4,2.22,99.1,2.22
RET,2.1,100.0,2.1
SPDYA,1.98,96.4,1.98
NDRG4,1.6,100.0,1.6
ZBTB16,1.48,100.0,1.48
TMEM121,1.48,100.0,1.48
MLH1,1.48,100.0,1.48
CACNG2,1.36,96.4,1.36
PRR16,1.23,100.0,1.23
KCNK9,1.23,97.3,1.23
PRKG1,1.23,100.0,1.23
GFRA1,1.23,82.88,1.23
ADAMTS3,1.11,100.0,1.11
CHCHD5,0.86,98.2,0.86
PCDHGC3,0.86,99.1,0.86
SOX5,0.86,90.99,0.86
BEND5,0.74,99.1,0.74
ATRNL1,0.74,100.0,0.74
MIR1908,0.74,100.0,0.74
ZNF569,0.62,99.1,0.62
EHD3,0.62,100.0,0.62
PHF21B,0.49,92.79,0.49
MGMT,0.49,96.4,0.49
B3GALNT1,0.49,99.1,0.49
NELL2,0.37,96.4,0.37
ZNF570,0.37,100.0,0.37
LOC283856,0.12,100.0,0.12
SDC2,0.12,98.2,0.12
SPG20,0.12,99.1,0.12
RERG,0.12,98.2,0.12
KCNS3,0.12,97.3,0.12
ZNF304,0.12,96.4,0.12
VAV3,0.12,81.08,0.12
ERBB4,0.12,100.0,0.12
KCNC1,0.0,100.0,0.0
SNX32,34.81,75.68,0.0
FNBP1,0.0,100.0,0.0
LOXL3,26.17,62.16,0.0
ZNF345,0.0,91.89,0.0
PTPN13,0.86,75.68,0.0
HIST1H3J,17.16,72.97,0.0
NPR3,7.53,78.38,0.0
PROK2,31.23,13.51,0.0
SFRP5,30.37,72.07,0.0
UQCRH,0.0,100.0,0.0
ZNF365,0.0,96.4,0.0
SLC22A17,0.0,100.0,0.0
LOC100130148,0.0,100.0,0.0
