Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,50.74,85.59,50.74
CAPN2,45.06,85.59,45.06
PRR18,43.58,96.4,43.58
COG8,39.51,87.39,39.51
GSTP1,37.65,82.88,37.65
NUMA1,34.57,88.29,34.57
FXC1,33.33,91.89,33.33
EFNA3,32.59,85.59,32.59
DDX49,32.1,98.2,32.1
COQ3,31.85,81.98,31.85
PDPK1,30.62,94.59,30.62
SNRPA,30.49,95.5,30.49
STRN3,30.12,87.39,30.12
CRCT1,30.0,100.0,30.0
SLC12A5,28.77,81.08,28.77
IKBKAP,28.64,80.18,28.64
CDH4,28.4,99.1,28.4
KRT19,28.4,100.0,28.4
TMEM90B,26.91,86.49,26.91
ATXN3,26.3,80.18,26.3
CNOT6,25.56,100.0,25.56
MFF,24.69,83.78,24.69
MTMR6,24.44,93.69,24.44
FAM129A,23.83,94.59,23.83
SLC2A10,23.33,100.0,23.33
KLHL1,22.59,82.88,22.59
TRPC3,20.86,99.1,20.86
CNTD2,20.49,100.0,20.49
TOLLIP,20.49,99.1,20.49
HIF3A,20.49,86.49,20.49
UBE2V2,17.78,92.79,17.78
S100A13,14.2,100.0,14.2
C1orf124,12.59,85.59,12.59
STXBP2,11.48,100.0,11.48
TNFRSF10A,11.23,100.0,11.23
FANCG,11.11,90.09,11.11
DYDC2,10.99,97.3,10.99
C2orf47,10.86,100.0,10.86
TDRD1,10.62,90.99,10.62
C11orf49,10.62,94.59,10.62
SHANK1,10.62,99.1,10.62
SCRN1,10.25,99.1,10.25
MSH3,9.75,95.5,9.75
EBPL,9.14,93.69,9.14
CALCB,9.14,99.1,9.14
BEND2,8.64,100.0,8.64
KCNIP1,8.27,99.1,8.27
PMEPA1,8.15,100.0,8.15
TRPM6,7.78,100.0,7.78
FOLH1,7.65,100.0,7.65
OLFM1,7.04,99.1,7.04
CRH,6.91,80.18,6.91
DIRAS3,6.79,97.3,6.79
PKN1,6.54,100.0,6.54
HBZ,5.31,80.18,5.31
LMLN,4.69,100.0,4.69
DHX40,4.44,100.0,4.44
TKTL2,4.32,100.0,4.32
RRM2,3.95,100.0,3.95
DCAF4L2,3.83,100.0,3.83
RNF115,3.83,98.2,3.83
C18orf16,3.7,100.0,3.7
DCLK1,3.33,84.68,3.33
BEST4,3.21,100.0,3.21
SNTB1,3.21,100.0,3.21
SMAP1,3.21,96.4,3.21
ZNF532,2.72,99.1,2.72
CRHR1,2.22,100.0,2.22
SRBD1,1.98,100.0,1.98
LIMCH1,1.6,100.0,1.6
SYNE2,1.23,100.0,1.23
NFKBIB,1.23,94.59,1.23
MTM1,0.99,100.0,0.99
DYRK2,0.99,98.2,0.99
APOA4,0.86,91.89,0.86
EIF3I,0.74,100.0,0.74
PLAGL1,0.74,100.0,0.74
BSCL2,0.62,100.0,0.62
MAMDC4,0.62,100.0,0.62
RETN,0.37,100.0,0.37
CACNA1H,0.37,100.0,0.37
BSND,0.37,100.0,0.37
EXOC3L2,0.25,100.0,0.25
LTB4R2,0.12,100.0,0.12
TXNL4A,40.12,56.76,0.0
MRPL30,38.52,63.96,0.0
ABHD12B,19.38,69.37,0.0
C1orf229,11.73,65.77,0.0
MRTO4,47.9,72.97,0.0
C21orf70,24.44,61.26,0.0
NOS1,19.14,72.97,0.0
ZC3H3,32.1,65.77,0.0
LUC7L,19.51,78.38,0.0
C18orf22,23.46,68.47,0.0
TP73,5.56,37.84,0.0
RNF8,12.35,50.45,0.0
MAK16,7.53,56.76,0.0
CBLC,26.79,72.97,0.0
ARL13B,32.72,77.48,0.0
ZDHHC3,12.84,73.87,0.0
ACTL6B,9.14,67.57,0.0
SLC6A6,17.04,77.48,0.0
TMEM138,23.83,76.58,0.0
PPP4C,19.63,75.68,0.0
ELANE,20.12,58.56,0.0
TSPAN4,17.65,13.51,0.0
SFN,20.86,76.58,0.0
