Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
CPXM1,31.37,87.39,31.37
GRIN3A,29.9,97.3,29.9
TNFRSF10D,26.96,81.08,26.96
GATA4,24.51,95.5,24.51
GALR1,23.04,99.1,23.04
SCNN1B,20.1,98.2,20.1
PAK7,20.1,100.0,20.1
SNCA,19.61,94.59,19.61
HAAO,19.12,90.99,19.12
HIF3A,19.12,87.39,19.12
HIST1H2BB,17.65,84.68,17.65
ELOVL4,16.18,93.69,16.18
NETO1,15.69,89.19,15.69
MIR34B,15.2,96.4,15.2
FAM20A,14.22,99.1,14.22
TSPAN2,12.75,98.2,12.75
SLC6A1,11.76,100.0,11.76
KCNT2,11.27,96.4,11.27
TMEM101,10.78,91.89,10.78
MME,10.78,86.49,10.78
FUT9,9.8,97.3,9.8
FOXE1,9.8,91.89,9.8
DFNA5,9.31,99.1,9.31
SLC16A12,8.82,98.2,8.82
EPO,7.84,98.2,7.84
GABRB2,7.84,100.0,7.84
ADAM23,7.84,90.09,7.84
DLK1,7.35,100.0,7.35
MT1E,7.35,95.5,7.35
GFRA3,6.86,99.1,6.86
BMPER,6.86,96.4,6.86
WDR17,5.39,98.2,5.39
PLCB1,4.9,93.69,4.9
ME3,4.9,98.2,4.9
DTX1,4.41,99.1,4.41
ELMO1,4.41,94.59,4.41
WNT7A,4.41,93.69,4.41
AOX1,4.41,98.2,4.41
ST6GALNAC5,4.41,93.69,4.41
JPH3,4.41,94.59,4.41
NPAS1,3.92,100.0,3.92
RPL39L,3.92,100.0,3.92
LRRC4,3.92,92.79,3.92
CUX2,3.92,99.1,3.92
ZNF542,3.43,98.2,3.43
SORCS3,3.43,100.0,3.43
HIST1H4D,3.43,93.69,3.43
SLC30A2,3.43,100.0,3.43
EPHA7,3.43,100.0,3.43
MIR1908,2.94,100.0,2.94
TWIST1,2.94,99.1,2.94
JAKMIP1,2.45,99.1,2.45
RBM24,2.45,94.59,2.45
GSTP1,2.45,99.1,2.45
RNF182,2.45,91.89,2.45
KCNQ3,1.96,98.2,1.96
PCDH17,1.96,93.69,1.96
GRIN2A,1.47,100.0,1.47
CACNG2,0.98,96.4,0.98
FKBP11,0.98,100.0,0.98
B3GALNT1,0.98,99.1,0.98
CRHR2,0.98,99.1,0.98
SNAI2,0.98,94.59,0.98
RET,0.98,100.0,0.98
TMEM121,0.49,100.0,0.49
NDRG4,0.49,100.0,0.49
PCDHGC3,0.49,99.1,0.49
PRKG1,0.49,100.0,0.49
ZBTB16,0.49,100.0,0.49
SLC8A3,0.49,100.0,0.49
MLH1,0.49,100.0,0.49
MGMT,0.49,96.4,0.49
KCNK9,0.49,97.3,0.49
ATRNL1,0.49,100.0,0.49
SPDYA,0.49,96.4,0.49
EHD3,0.0,100.0,0.0
CHCHD5,0.0,98.2,0.0
SPG20,0.0,99.1,0.0
ZNF345,0.0,91.89,0.0
ZNF365,0.0,96.4,0.0
PTPN13,1.47,75.68,0.0
NELL2,0.0,96.4,0.0
UQCRH,0.0,100.0,0.0
KCNC1,0.0,100.0,0.0
FNBP1,0.0,100.0,0.0
LOC283856,0.0,100.0,0.0
ZNF304,0.0,96.4,0.0
ADAMTS3,0.0,100.0,0.0
PHF21B,0.0,92.79,0.0
SDC2,0.0,98.2,0.0
SNX32,32.35,75.68,0.0
LOXL3,14.22,62.16,0.0
SLITRK5,0.0,100.0,0.0
HIST1H3J,4.9,72.97,0.0
NPR3,6.86,78.38,0.0
PROK2,38.24,13.51,0.0
GFRA1,0.0,82.88,0.0
SFRP5,22.06,72.07,0.0
IRX4,0.0,99.1,0.0
KCNS3,0.0,97.3,0.0
PRR16,0.0,100.0,0.0
SOX5,0.0,90.99,0.0
RERG,0.0,98.2,0.0
BEND5,0.0,99.1,0.0
SLC22A17,0.0,100.0,0.0
VAV3,0.0,81.08,0.0
ERBB4,0.0,100.0,0.0
ZNF569,0.0,99.1,0.0
ZNF570,0.0,100.0,0.0
LOC100130148,0.0,100.0,0.0
