Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CAPN2,37.25,85.59,37.25
COG8,25.0,87.39,25.0
CACNG3,22.55,85.59,22.55
PRR18,22.55,96.4,22.55
EFNA3,20.59,85.59,20.59
GSTP1,18.63,82.88,18.63
SNRPA,18.63,95.5,18.63
CRCT1,18.14,100.0,18.14
NUMA1,17.65,88.29,17.65
FAM129A,16.67,94.59,16.67
ATXN3,16.18,80.18,16.18
IKBKAP,15.2,80.18,15.2
STRN3,14.71,87.39,14.71
PDPK1,14.71,94.59,14.71
KRT19,13.24,100.0,13.24
KLHL1,12.25,82.88,12.25
FXC1,11.76,91.89,11.76
TMEM90B,11.27,86.49,11.27
SLC2A10,11.27,100.0,11.27
MFF,10.78,83.78,10.78
CNTD2,10.78,100.0,10.78
TRPC3,8.82,99.1,8.82
TOLLIP,8.82,99.1,8.82
SLC12A5,8.82,81.08,8.82
S100A13,8.33,100.0,8.33
DDX49,8.33,98.2,8.33
CNOT6,7.84,100.0,7.84
CDH4,7.84,99.1,7.84
MTMR6,7.35,93.69,7.35
COQ3,6.37,81.98,6.37
CALCB,5.39,99.1,5.39
UBE2V2,4.9,92.79,4.9
SHANK1,4.41,99.1,4.41
STXBP2,4.41,100.0,4.41
BEND2,3.92,100.0,3.92
DYDC2,3.92,97.3,3.92
TDRD1,3.43,90.99,3.43
SCRN1,3.43,99.1,3.43
MSH3,3.43,95.5,3.43
FANCG,2.94,90.09,2.94
KCNIP1,2.94,99.1,2.94
OLFM1,2.94,99.1,2.94
C2orf47,2.94,100.0,2.94
C11orf49,2.94,94.59,2.94
CRH,2.45,80.18,2.45
HIF3A,2.45,86.49,2.45
DIRAS3,1.96,97.3,1.96
TRPM6,1.96,100.0,1.96
SNTB1,1.96,100.0,1.96
EBPL,1.96,93.69,1.96
TKTL2,1.47,100.0,1.47
BEST4,1.47,100.0,1.47
SRBD1,1.47,100.0,1.47
FOLH1,1.47,100.0,1.47
CRHR1,0.98,100.0,0.98
HBZ,0.98,80.18,0.98
TNFRSF10A,0.98,100.0,0.98
C1orf124,0.98,85.59,0.98
CACNA1H,0.98,100.0,0.98
RRM2,0.49,100.0,0.49
PKN1,0.49,100.0,0.49
DCLK1,0.49,84.68,0.49
SMAP1,0.49,96.4,0.49
PMEPA1,0.49,100.0,0.49
DCAF4L2,0.49,100.0,0.49
LMLN,0.49,100.0,0.49
PLAGL1,0.49,100.0,0.49
LIMCH1,0.49,100.0,0.49
BSCL2,0.49,100.0,0.49
BSND,0.0,100.0,0.0
MTM1,0.0,100.0,0.0
MRPL30,26.47,63.96,0.0
TXNL4A,13.24,56.76,0.0
RNF115,0.0,98.2,0.0
SYNE2,0.0,100.0,0.0
MRTO4,21.08,72.97,0.0
APOA4,0.0,91.89,0.0
ELANE,4.9,58.56,0.0
MAMDC4,0.0,100.0,0.0
NFKBIB,0.0,94.59,0.0
DHX40,0.0,100.0,0.0
EXOC3L2,0.0,100.0,0.0
DYRK2,0.0,98.2,0.0
TMEM138,7.84,76.58,0.0
ZNF532,0.0,99.1,0.0
RNF8,1.96,50.45,0.0
NOS1,6.37,72.97,0.0
LUC7L,6.37,78.38,0.0
C21orf70,10.29,61.26,0.0
PPP4C,3.43,75.68,0.0
C18orf22,14.22,68.47,0.0
TP73,1.47,37.84,0.0
ABHD12B,9.8,69.37,0.0
MAK16,1.96,56.76,0.0
ZC3H3,9.8,65.77,0.0
ZDHHC3,3.43,73.87,0.0
EIF3I,0.0,100.0,0.0
CBLC,15.2,72.97,0.0
SLC6A6,4.41,77.48,0.0
C18orf16,0.0,100.0,0.0
ARL13B,10.29,77.48,0.0
ACTL6B,3.92,67.57,0.0
TSPAN4,5.88,13.51,0.0
C1orf229,4.41,65.77,0.0
RETN,0.0,100.0,0.0
SFN,3.92,76.58,0.0
LTB4R2,0.0,100.0,0.0
