Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
HAAO,6.12,0,0
BEND5,30.61,0,0
ZNF570,36.73,0,0
PCDHGC3,34.69,0,0
DFNA5,10.2,0,0
WNT7A,10.2,0,0
ZNF569,26.53,0,0
ERBB4,0.0,0,0
TMEM121,36.73,0,0
VAV3,28.57,0,0
TSPAN2,18.37,0,0
PRKG1,42.86,0,0
SLC22A17,46.94,0,0
SLC8A3,44.9,0,0
PHF21B,30.61,0,0
BMPER,20.41,0,0
RERG,12.24,0,0
TMEM101,28.57,0,0
RET,57.14,0,0
SOX5,20.41,0,0
SLC6A1,51.02,0,0
B3GALNT1,2.04,0,0
NPAS1,61.22,0,0
JAKMIP1,46.94,0,0
PRR16,42.86,0,0
KCNK9,51.02,0,0
SDC2,34.69,0,0
GRIN2A,36.73,0,0
SCNN1B,81.63,0,0
GSTP1,0.0,0,0
MIR1908,0.0,0,0
KCNC1,10.2,0,0
SNAI2,51.02,0,0
FNBP1,0.0,0,0
KCNQ3,20.41,0,0
ZNF345,14.29,0,0
CHCHD5,8.16,0,0
LOC283856,18.37,0,0
FKBP11,4.08,0,0
ATRNL1,40.82,0,0
CACNG2,46.94,0,0
MLH1,0.0,0,0
MGMT,0.0,0,0
ZNF304,57.14,0,0
UQCRH,2.04,0,0
ADAM23,26.53,0,0
PTPN13,0.0,0,0
ZNF365,32.65,0,0
SPG20,2.04,0,0
NDRG4,30.61,0,0
EHD3,12.24,0,0
NELL2,32.65,0,0
ZBTB16,42.86,0,0
RNF182,38.78,0,0
MME,48.98,0,0
ADAMTS3,46.94,0,0
KCNS3,26.53,0,0
WDR17,79.59,0,0
SLC16A12,30.61,0,0
ELMO1,44.9,0,0
PROK2,38.78,0,0
NPR3,34.69,0,0
RBM24,28.57,0,0
CRHR2,67.35,0,0
TNFRSF10D,0.0,0,0
RPL39L,0.0,0,0
HIST1H3J,12.24,0,0
SLITRK5,63.27,0,0
CPXM1,48.98,0,0
FOXE1,14.29,0,0
PLCB1,0.0,0,0
GFRA3,36.73,0,0
HIST1H2BB,22.45,0,0
GATA4,67.35,0,0
GALR1,63.27,0,0
LOXL3,8.16,0,0
SNX32,71.43,0,0
ST6GALNAC5,81.63,0,0
NETO1,79.59,0,0
GRIN3A,75.51,0,0
ZNF542,46.94,0,0
MIR34B,61.22,0,0
SNCA,53.06,0,0
LRRC4,6.12,0,0
DTX1,63.27,0,0
DLK1,46.94,0,0
EPO,34.69,0,0
FAM20A,6.12,0,0
IRX4,48.98,0,0
JPH3,38.78,0,0
EPHA7,51.02,0,0
SLC30A2,4.08,0,0
HIST1H4D,12.24,0,0
CUX2,42.86,0,0
PCDH17,61.22,0,0
ME3,0.0,0,0
AOX1,24.49,0,0
SPDYA,8.16,0,0
SORCS3,71.43,0,0
ELOVL4,61.22,0,0
GABRB2,55.1,0,0
KCNT2,59.18,0,0
PAK7,73.47,0,0
MT1E,4.08,0,0
TWIST1,46.94,0,0
FUT9,73.47,0,0
SFRP5,32.65,0,0
GFRA1,63.27,0,0
HIF3A,8.16,0,0
LOC100130148,4.08,0,0
