Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,20.41,0,0
SMAP1,22.45,0,0
CRHR1,4.08,0,0
RETN,2.04,0,0
C1orf229,20.41,0,0
FXC1,4.08,0,0
TSPAN4,12.24,0,0
CNOT6,6.12,0,0
FAM129A,10.2,0,0
SLC2A10,26.53,0,0
SNTB1,28.57,0,0
SLC6A6,12.24,0,0
LMLN,18.37,0,0
PKN1,4.08,0,0
S100A13,32.65,0,0
EBPL,32.65,0,0
HBZ,6.12,0,0
ZDHHC3,4.08,0,0
FANCG,4.08,0,0
CDH4,4.08,0,0
BEST4,16.33,0,0
TMEM90B,2.04,0,0
SRBD1,8.16,0,0
RRM2,16.33,0,0
CRH,2.04,0,0
TDRD1,2.04,0,0
DCLK1,4.08,0,0
MAK16,28.57,0,0
EIF3I,26.53,0,0
NFKBIB,0.0,0,0
MAMDC4,0.0,0,0
PLAGL1,0.0,0,0
BSND,4.08,0,0
CACNA1H,0.0,0,0
BSCL2,0.0,0,0
DHX40,4.08,0,0
KCNIP1,0.0,0,0
EXOC3L2,0.0,0,0
APOA4,2.04,0,0
DIRAS3,4.08,0,0
LIMCH1,2.04,0,0
DCAF4L2,2.04,0,0
STXBP2,36.73,0,0
RNF115,6.12,0,0
SYNE2,4.08,0,0
EFNA3,0.0,0,0
CALCB,2.04,0,0
PMEPA1,2.04,0,0
SCRN1,2.04,0,0
DYRK2,4.08,0,0
MTM1,2.04,0,0
ZNF532,10.2,0,0
FOLH1,2.04,0,0
C2orf47,10.2,0,0
UBE2V2,40.82,0,0
PDPK1,51.02,0,0
CBLC,55.1,0,0
C18orf16,10.2,0,0
CNTD2,38.78,0,0
IKBKAP,6.12,0,0
GSTP1,38.78,0,0
ARL13B,2.04,0,0
PRR18,16.33,0,0
ACTL6B,4.08,0,0
TMEM138,12.24,0,0
DYDC2,18.37,0,0
MTMR6,8.16,0,0
CRCT1,18.37,0,0
ATXN3,44.9,0,0
COG8,8.16,0,0
SFN,48.98,0,0
HIF3A,4.08,0,0
CAPN2,16.33,0,0
COQ3,12.24,0,0
ELANE,12.24,0,0
MRTO4,10.2,0,0
MFF,18.37,0,0
TXNL4A,36.73,0,0
MRPL30,36.73,0,0
TOLLIP,55.1,0,0
SLC12A5,6.12,0,0
TP73,16.33,0,0
RNF8,18.37,0,0
C18orf22,16.33,0,0
MSH3,12.24,0,0
OLFM1,14.29,0,0
C1orf124,18.37,0,0
LUC7L,2.04,0,0
TRPM6,6.12,0,0
SNRPA,34.69,0,0
TKTL2,32.65,0,0
DDX49,20.41,0,0
TNFRSF10A,30.61,0,0
NOS1,6.12,0,0
C21orf70,18.37,0,0
PPP4C,6.12,0,0
KLHL1,8.16,0,0
NUMA1,38.78,0,0
KRT19,44.9,0,0
ABHD12B,24.49,0,0
ZC3H3,2.04,0,0
TRPC3,12.24,0,0
STRN3,20.41,0,0
BEND2,6.12,0,0
C11orf49,0.0,0,0
SHANK1,22.45,0,0
LTB4R2,0.0,0,0
