Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,31.47,0,0
SMAP1,14.34,0,0
CRHR1,13.55,0,0
RETN,4.78,0,0
C1orf229,13.94,0,0
FXC1,0.4,0,0
TSPAN4,8.76,0,0
CNOT6,7.17,0,0
FAM129A,1.99,0,0
SLC2A10,13.94,0,0
SNTB1,19.92,0,0
SLC6A6,18.73,0,0
LMLN,29.08,0,0
PKN1,5.18,0,0
S100A13,35.06,0,0
EBPL,33.07,0,0
HBZ,13.15,0,0
ZDHHC3,7.97,0,0
FANCG,5.98,0,0
CDH4,1.59,0,0
BEST4,17.93,0,0
TMEM90B,2.79,0,0
SRBD1,12.35,0,0
RRM2,31.08,0,0
CRH,2.39,0,0
TDRD1,3.59,0,0
DCLK1,5.18,0,0
MAK16,16.73,0,0
EIF3I,3.59,0,0
NFKBIB,0.4,0,0
MAMDC4,0.4,0,0
PLAGL1,1.99,0,0
BSND,2.79,0,0
CACNA1H,1.59,0,0
BSCL2,0.8,0,0
DHX40,3.98,0,0
KCNIP1,1.2,0,0
EXOC3L2,1.99,0,0
APOA4,8.37,0,0
DIRAS3,2.39,0,0
LIMCH1,1.59,0,0
DCAF4L2,2.39,0,0
STXBP2,16.33,0,0
RNF115,2.79,0,0
SYNE2,5.18,0,0
EFNA3,2.39,0,0
CALCB,1.99,0,0
PMEPA1,5.98,0,0
SCRN1,6.77,0,0
DYRK2,6.37,0,0
MTM1,1.59,0,0
ZNF532,5.98,0,0
FOLH1,11.55,0,0
C2orf47,9.96,0,0
UBE2V2,48.21,0,0
PDPK1,27.49,0,0
CBLC,34.66,0,0
C18orf16,18.73,0,0
CNTD2,28.69,0,0
IKBKAP,6.37,0,0
GSTP1,16.33,0,0
ARL13B,4.38,0,0
PRR18,5.58,0,0
ACTL6B,19.52,0,0
TMEM138,24.3,0,0
DYDC2,21.51,0,0
MTMR6,16.33,0,0
CRCT1,9.16,0,0
ATXN3,41.43,0,0
COG8,7.97,0,0
SFN,51.0,0,0
HIF3A,17.13,0,0
CAPN2,22.71,0,0
COQ3,15.14,0,0
ELANE,23.11,0,0
MRTO4,13.94,0,0
MFF,32.27,0,0
TXNL4A,22.31,0,0
MRPL30,39.44,0,0
TOLLIP,32.67,0,0
SLC12A5,3.59,0,0
TP73,58.96,0,0
RNF8,16.73,0,0
C18orf22,17.93,0,0
MSH3,13.94,0,0
OLFM1,9.16,0,0
C1orf124,15.54,0,0
LUC7L,2.39,0,0
TRPM6,26.29,0,0
SNRPA,22.31,0,0
TKTL2,34.66,0,0
DDX49,13.55,0,0
TNFRSF10A,47.01,0,0
NOS1,4.38,0,0
C21orf70,8.37,0,0
PPP4C,27.89,0,0
KLHL1,3.98,0,0
NUMA1,23.11,0,0
KRT19,9.16,0,0
ABHD12B,22.71,0,0
ZC3H3,6.37,0,0
TRPC3,12.75,0,0
STRN3,3.98,0,0
BEND2,5.98,0,0
C11orf49,4.38,0,0
SHANK1,39.44,0,0
LTB4R2,0.0,0,0
