Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
HAAO,2.78,0,0
BEND5,2.78,0,0
ZNF570,11.11,0,0
PCDHGC3,0.0,0,0
DFNA5,0.0,0,0
WNT7A,2.78,0,0
ZNF569,5.56,0,0
ERBB4,0.0,0,0
TMEM121,0.0,0,0
VAV3,5.56,0,0
TSPAN2,11.11,0,0
PRKG1,2.78,0,0
SLC22A17,0.0,0,0
SLC8A3,5.56,0,0
PHF21B,0.0,0,0
BMPER,5.56,0,0
RERG,0.0,0,0
TMEM101,0.0,0,0
RET,16.67,0,0
SOX5,13.89,0,0
SLC6A1,0.0,0,0
B3GALNT1,13.89,0,0
NPAS1,16.67,0,0
JAKMIP1,11.11,0,0
PRR16,16.67,0,0
KCNK9,2.78,0,0
SDC2,0.0,0,0
GRIN2A,0.0,0,0
SCNN1B,30.56,0,0
GSTP1,5.56,0,0
MIR1908,0.0,0,0
KCNC1,0.0,0,0
SNAI2,0.0,0,0
FNBP1,0.0,0,0
KCNQ3,2.78,0,0
ZNF345,0.0,0,0
CHCHD5,0.0,0,0
LOC283856,8.33,0,0
FKBP11,2.78,0,0
ATRNL1,8.33,0,0
CACNG2,2.78,0,0
MLH1,0.0,0,0
MGMT,0.0,0,0
ZNF304,0.0,0,0
UQCRH,0.0,0,0
ADAM23,13.89,0,0
PTPN13,0.0,0,0
ZNF365,8.33,0,0
SPG20,0.0,0,0
NDRG4,5.56,0,0
EHD3,2.78,0,0
NELL2,13.89,0,0
ZBTB16,0.0,0,0
RNF182,11.11,0,0
MME,0.0,0,0
ADAMTS3,13.89,0,0
KCNS3,0.0,0,0
WDR17,30.56,0,0
SLC16A12,19.44,0,0
ELMO1,0.0,0,0
PROK2,22.22,0,0
NPR3,13.89,0,0
RBM24,11.11,0,0
CRHR2,13.89,0,0
TNFRSF10D,0.0,0,0
RPL39L,5.56,0,0
HIST1H3J,22.22,0,0
SLITRK5,13.89,0,0
CPXM1,19.44,0,0
FOXE1,8.33,0,0
PLCB1,0.0,0,0
GFRA3,47.22,0,0
HIST1H2BB,8.33,0,0
GATA4,2.78,0,0
GALR1,27.78,0,0
LOXL3,0.0,0,0
SNX32,33.33,0,0
ST6GALNAC5,38.89,0,0
NETO1,22.22,0,0
GRIN3A,25.0,0,0
ZNF542,36.11,0,0
MIR34B,13.89,0,0
SNCA,36.11,0,0
LRRC4,30.56,0,0
DTX1,16.67,0,0
DLK1,8.33,0,0
EPO,2.78,0,0
FAM20A,0.0,0,0
IRX4,16.67,0,0
JPH3,0.0,0,0
EPHA7,19.44,0,0
SLC30A2,5.56,0,0
HIST1H4D,8.33,0,0
CUX2,2.78,0,0
PCDH17,11.11,0,0
ME3,0.0,0,0
AOX1,8.33,0,0
SPDYA,0.0,0,0
SORCS3,8.33,0,0
ELOVL4,36.11,0,0
GABRB2,22.22,0,0
KCNT2,5.56,0,0
PAK7,0.0,0,0
MT1E,8.33,0,0
TWIST1,27.78,0,0
FUT9,22.22,0,0
SFRP5,0.0,0,0
GFRA1,8.33,0,0
HIF3A,13.89,0,0
LOC100130148,0.0,0,0
