Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,16.67,0,0
SMAP1,0.0,0,0
CRHR1,2.78,0,0
RETN,8.33,0,0
C1orf229,22.22,0,0
FXC1,0.0,0,0
TSPAN4,5.56,0,0
CNOT6,2.78,0,0
FAM129A,0.0,0,0
SLC2A10,0.0,0,0
SNTB1,0.0,0,0
SLC6A6,5.56,0,0
LMLN,0.0,0,0
PKN1,2.78,0,0
S100A13,19.44,0,0
EBPL,13.89,0,0
HBZ,0.0,0,0
ZDHHC3,2.78,0,0
FANCG,0.0,0,0
CDH4,8.33,0,0
BEST4,2.78,0,0
TMEM90B,11.11,0,0
SRBD1,2.78,0,0
RRM2,5.56,0,0
CRH,2.78,0,0
TDRD1,8.33,0,0
DCLK1,11.11,0,0
MAK16,11.11,0,0
EIF3I,0.0,0,0
NFKBIB,0.0,0,0
MAMDC4,2.78,0,0
PLAGL1,2.78,0,0
BSND,0.0,0,0
CACNA1H,0.0,0,0
BSCL2,0.0,0,0
DHX40,2.78,0,0
KCNIP1,0.0,0,0
EXOC3L2,0.0,0,0
APOA4,0.0,0,0
DIRAS3,2.78,0,0
LIMCH1,5.56,0,0
DCAF4L2,2.78,0,0
STXBP2,0.0,0,0
RNF115,2.78,0,0
SYNE2,0.0,0,0
EFNA3,2.78,0,0
CALCB,5.56,0,0
PMEPA1,5.56,0,0
SCRN1,27.78,0,0
DYRK2,13.89,0,0
MTM1,5.56,0,0
ZNF532,2.78,0,0
FOLH1,2.78,0,0
C2orf47,16.67,0,0
UBE2V2,22.22,0,0
PDPK1,19.44,0,0
CBLC,2.78,0,0
C18orf16,0.0,0,0
CNTD2,44.44,0,0
IKBKAP,8.33,0,0
GSTP1,13.89,0,0
ARL13B,2.78,0,0
PRR18,19.44,0,0
ACTL6B,13.89,0,0
TMEM138,5.56,0,0
DYDC2,0.0,0,0
MTMR6,13.89,0,0
CRCT1,2.78,0,0
ATXN3,80.56,0,0
COG8,11.11,0,0
SFN,13.89,0,0
HIF3A,2.78,0,0
CAPN2,5.56,0,0
COQ3,11.11,0,0
ELANE,0.0,0,0
MRTO4,11.11,0,0
MFF,11.11,0,0
TXNL4A,25.0,0,0
MRPL30,47.22,0,0
TOLLIP,25.0,0,0
SLC12A5,16.67,0,0
TP73,2.78,0,0
RNF8,11.11,0,0
C18orf22,0.0,0,0
MSH3,2.78,0,0
OLFM1,0.0,0,0
C1orf124,16.67,0,0
LUC7L,2.78,0,0
TRPM6,0.0,0,0
SNRPA,2.78,0,0
TKTL2,11.11,0,0
DDX49,16.67,0,0
TNFRSF10A,11.11,0,0
NOS1,2.78,0,0
C21orf70,11.11,0,0
PPP4C,8.33,0,0
KLHL1,0.0,0,0
NUMA1,2.78,0,0
KRT19,0.0,0,0
ABHD12B,66.67,0,0
ZC3H3,22.22,0,0
TRPC3,16.67,0,0
STRN3,11.11,0,0
BEND2,19.44,0,0
C11orf49,16.67,0,0
SHANK1,16.67,0,0
LTB4R2,0.0,0,0
