Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
SLC6A1,7.58,100.0,7.58
SCNN1B,4.55,97.8,4.55
FOXE1,4.55,95.35,4.55
CPXM1,3.03,100.0,3.03
GFRA3,3.03,98.29,3.03
FUT9,3.03,100.0,3.03
TWIST1,3.03,100.0,3.03
EHD3,3.03,100.0,3.03
PROK2,3.03,99.76,3.03
SLC30A2,3.03,100.0,3.03
DFNA5,3.03,100.0,3.03
SFRP5,3.03,92.91,3.03
SLC8A3,3.03,100.0,3.03
GALR1,3.03,99.76,3.03
ST6GALNAC5,3.03,100.0,3.03
WNT7A,1.52,99.27,1.52
CUX2,1.52,99.02,1.52
BMPER,1.52,100.0,1.52
NDRG4,1.52,100.0,1.52
SPDYA,1.52,99.02,1.52
TMEM121,1.52,100.0,1.52
TMEM101,1.52,99.51,1.52
HIST1H4D,1.52,98.29,1.52
B3GALNT1,1.52,99.76,1.52
JPH3,1.52,100.0,1.52
MGMT,1.52,98.29,1.52
RET,1.52,100.0,1.52
HIF3A,1.52,99.27,1.52
PRR16,1.52,100.0,1.52
HAAO,1.52,99.76,1.52
MT1E,1.52,99.51,1.52
TSPAN2,1.52,100.0,1.52
SNX32,1.52,99.51,1.52
SLITRK5,1.52,99.51,1.52
HIST1H2BB,1.52,91.69,1.52
GATA4,1.52,100.0,1.52
SLC16A12,1.52,100.0,1.52
ZNF542,1.52,100.0,1.52
DTX1,1.52,96.82,1.52
DLK1,1.52,100.0,1.52
KCNC1,0.0,100.0,0.0
SNAI2,0.0,99.76,0.0
ERBB4,0.0,99.76,0.0
SDC2,0.0,99.02,0.0
FNBP1,0.0,100.0,0.0
MIR1908,0.0,100.0,0.0
ZNF569,0.0,96.58,0.0
VAV3,0.0,96.09,0.0
KCNQ3,0.0,100.0,0.0
PCDHGC3,0.0,99.51,0.0
ZNF345,0.0,96.33,0.0
ZNF570,0.0,99.76,0.0
UQCRH,0.0,98.53,0.0
PHF21B,0.0,99.76,0.0
CHCHD5,0.0,100.0,0.0
ZNF304,0.0,99.02,0.0
PRKG1,0.0,100.0,0.0
ADAM23,0.0,100.0,0.0
PTPN13,0.0,99.76,0.0
ZNF365,0.0,100.0,0.0
SPG20,0.0,100.0,0.0
MLH1,0.0,100.0,0.0
GSTP1,0.0,99.51,0.0
NELL2,0.0,99.51,0.0
ZBTB16,0.0,100.0,0.0
CACNG2,0.0,100.0,0.0
ATRNL1,0.0,100.0,0.0
FKBP11,0.0,100.0,0.0
RNF182,0.0,100.0,0.0
LOC283856,0.0,100.0,0.0
GRIN2A,0.0,100.0,0.0
ADAMTS3,0.0,100.0,0.0
SLC22A17,0.0,100.0,0.0
CRHR2,0.0,99.76,0.0
PAK7,0.0,100.0,0.0
GFRA1,0.0,93.89,0.0
LRRC4,0.0,99.76,0.0
SNCA,0.0,98.04,0.0
ELMO1,0.0,100.0,0.0
NPR3,0.0,97.56,0.0
RBM24,0.0,91.69,0.0
TNFRSF10D,0.0,99.76,0.0
BEND5,0.0,99.76,0.0
RPL39L,0.0,100.0,0.0
HIST1H3J,0.0,97.8,0.0
WDR17,0.0,99.51,0.0
LOXL3,0.0,100.0,0.0
NETO1,0.0,99.27,0.0
GRIN3A,0.0,99.76,0.0
MIR34B,0.0,99.76,0.0
KCNT2,0.0,99.76,0.0
GABRB2,0.0,100.0,0.0
ELOVL4,0.0,99.27,0.0
SORCS3,0.0,99.27,0.0
RERG,0.0,99.51,0.0
SOX5,0.0,98.04,0.0
NPAS1,0.0,100.0,0.0
JAKMIP1,0.0,71.64,0.0
KCNK9,0.0,100.0,0.0
MME,0.0,98.78,0.0
KCNS3,0.0,99.02,0.0
PLCB1,0.0,100.0,0.0
EPO,0.0,100.0,0.0
FAM20A,0.0,100.0,0.0
IRX4,0.0,99.76,0.0
EPHA7,0.0,100.0,0.0
PCDH17,0.0,100.0,0.0
ME3,0.0,100.0,0.0
AOX1,0.0,100.0,0.0
LOC100130148,0.0,99.51,0.0
