Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
DYDC2,78.79,89.24,78.79
SNTB1,75.76,100.0,75.76
SCRN1,65.15,86.8,65.15
LIMCH1,57.58,99.76,57.58
NUMA1,57.58,98.53,57.58
SRBD1,56.06,96.09,56.06
MRPL30,51.52,86.8,51.52
BSCL2,51.52,99.76,51.52
PRR18,50.0,99.51,50.0
DCLK1,50.0,100.0,50.0
EFNA3,48.48,100.0,48.48
NFKBIB,40.91,99.51,40.91
APOA4,37.88,94.13,37.88
LTB4R2,37.88,99.76,37.88
BSND,36.36,99.76,36.36
PLAGL1,36.36,98.78,36.36
CAPN2,36.36,97.56,36.36
ZDHHC3,33.33,99.02,33.33
IKBKAP,33.33,93.89,33.33
BEST4,33.33,93.15,33.33
KRT19,31.82,99.76,31.82
DIRAS3,30.3,96.82,30.3
CBLC,30.3,96.09,30.3
MAMDC4,30.3,89.49,30.3
SMAP1,30.3,90.95,30.3
NOS1,28.79,82.64,28.79
EIF3I,25.76,80.44,25.76
RNF8,21.21,99.02,21.21
ZNF532,19.7,99.02,19.7
CRH,18.18,94.62,18.18
KLHL1,18.18,81.66,18.18
TRPM6,18.18,98.04,18.18
DDX49,18.18,99.51,18.18
MRTO4,16.67,87.04,16.67
C1orf124,15.15,94.13,15.15
SNRPA,15.15,100.0,15.15
CRCT1,15.15,100.0,15.15
STRN3,15.15,93.64,15.15
RNF115,15.15,99.27,15.15
SYNE2,13.64,89.0,13.64
COQ3,13.64,83.37,13.64
SFN,12.12,100.0,12.12
TMEM138,12.12,100.0,12.12
C1orf229,12.12,100.0,12.12
S100A13,10.61,93.64,10.61
C11orf49,10.61,96.58,10.61
MTMR6,10.61,98.29,10.61
ELANE,10.61,100.0,10.61
HBZ,10.61,100.0,10.61
KCNIP1,9.09,99.51,9.09
PKN1,9.09,99.51,9.09
STXBP2,9.09,98.29,9.09
MTM1,9.09,100.0,9.09
RRM2,9.09,99.51,9.09
EXOC3L2,7.58,99.76,7.58
CDH4,7.58,99.76,7.58
DHX40,7.58,100.0,7.58
CACNG3,7.58,99.76,7.58
MAK16,7.58,100.0,7.58
UBE2V2,7.58,99.76,7.58
C21orf70,7.58,100.0,7.58
ZC3H3,7.58,95.6,7.58
PPP4C,6.06,91.44,6.06
TSPAN4,6.06,89.98,6.06
FANCG,6.06,99.02,6.06
EBPL,6.06,98.29,6.06
CRHR1,6.06,100.0,6.06
ATXN3,6.06,98.78,6.06
CALCB,4.55,100.0,4.55
OLFM1,4.55,100.0,4.55
CNTD2,4.55,100.0,4.55
BEND2,3.03,94.87,3.03
PDPK1,3.03,100.0,3.03
ACTL6B,3.03,100.0,3.03
C18orf16,3.03,100.0,3.03
ARL13B,3.03,82.64,3.03
TXNL4A,3.03,93.4,3.03
MSH3,3.03,89.98,3.03
C18orf22,3.03,98.78,3.03
TP73,3.03,100.0,3.03
TMEM90B,3.03,100.0,3.03
TOLLIP,1.52,99.76,1.52
SHANK1,1.52,100.0,1.52
C2orf47,1.52,100.0,1.52
CNOT6,1.52,100.0,1.52
TNFRSF10A,1.52,100.0,1.52
TDRD1,1.52,98.53,1.52
TKTL2,1.52,99.76,1.52
FAM129A,1.52,100.0,1.52
SLC2A10,0.0,100.0,0.0
LMLN,0.0,100.0,0.0
MFF,59.09,73.84,0.0
HIF3A,0.0,99.51,0.0
COG8,9.09,79.71,0.0
CACNA1H,0.0,100.0,0.0
SLC6A6,0.0,100.0,0.0
LUC7L,0.0,91.44,0.0
ABHD12B,0.0,78.48,0.0
GSTP1,0.0,99.76,0.0
DYRK2,0.0,94.13,0.0
FXC1,0.0,100.0,0.0
DCAF4L2,0.0,100.0,0.0
SLC12A5,24.24,79.46,0.0
RETN,0.0,99.76,0.0
PMEPA1,0.0,100.0,0.0
TRPC3,0.0,88.51,0.0
FOLH1,0.0,99.76,0.0
