Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
UQCRH,22.84,98.53,22.84
ZNF542,4.99,100.0,4.99
ELOVL4,4.41,99.27,4.41
GALR1,4.22,99.76,4.22
GFRA3,4.22,98.29,4.22
GRIN3A,4.03,99.76,4.03
SNX32,3.84,99.51,3.84
DTX1,3.07,96.82,3.07
HIST1H2BB,2.3,91.69,2.3
SCNN1B,2.3,97.8,2.3
RPL39L,1.92,100.0,1.92
LRRC4,1.92,99.76,1.92
RET,1.92,100.0,1.92
GATA4,1.73,100.0,1.73
NETO1,1.73,99.27,1.73
SNCA,1.73,98.04,1.73
EPO,1.73,100.0,1.73
MIR34B,1.73,99.76,1.73
PROK2,1.54,99.76,1.54
MT1E,1.54,99.51,1.54
SFRP5,1.54,92.91,1.54
GSTP1,1.34,99.51,1.34
PRR16,1.15,100.0,1.15
IRX4,1.15,99.76,1.15
TWIST1,1.15,100.0,1.15
SLC30A2,1.15,100.0,1.15
WNT7A,0.96,99.27,0.96
ST6GALNAC5,0.77,100.0,0.77
SLC6A1,0.77,100.0,0.77
FOXE1,0.77,95.35,0.77
DLK1,0.58,100.0,0.58
CUX2,0.58,99.02,0.58
SLC8A3,0.58,100.0,0.58
NDRG4,0.58,100.0,0.58
WDR17,0.58,99.51,0.58
CPXM1,0.58,100.0,0.58
NPAS1,0.38,100.0,0.38
KCNS3,0.38,99.02,0.38
LOC283856,0.38,100.0,0.38
JPH3,0.38,100.0,0.38
ATRNL1,0.38,100.0,0.38
FUT9,0.38,100.0,0.38
GABRB2,0.38,100.0,0.38
BMPER,0.38,100.0,0.38
MGMT,0.38,98.29,0.38
ADAM23,0.38,100.0,0.38
HIF3A,0.38,99.27,0.38
NELL2,0.38,99.51,0.38
ZNF569,0.38,96.58,0.38
CRHR2,0.38,99.76,0.38
RNF182,0.38,100.0,0.38
ZNF570,0.38,99.76,0.38
TMEM101,0.19,99.51,0.19
B3GALNT1,0.19,99.76,0.19
ZBTB16,0.19,100.0,0.19
SPDYA,0.19,99.02,0.19
PHF21B,0.19,99.76,0.19
LOXL3,0.19,100.0,0.19
EPHA7,0.19,100.0,0.19
HIST1H3J,0.19,97.8,0.19
AOX1,0.19,100.0,0.19
GRIN2A,0.19,100.0,0.19
SORCS3,0.19,99.27,0.19
ZNF345,0.19,96.33,0.19
RBM24,0.19,91.69,0.19
GFRA1,0.19,93.89,0.19
FAM20A,0.19,100.0,0.19
NPR3,0.19,97.56,0.19
SNAI2,0.19,99.76,0.19
CACNG2,0.0,100.0,0.0
EHD3,0.0,100.0,0.0
MIR1908,0.0,100.0,0.0
KCNC1,0.0,100.0,0.0
PTPN13,0.0,99.76,0.0
FNBP1,0.0,100.0,0.0
SPG20,0.0,100.0,0.0
ZNF365,0.0,100.0,0.0
KCNQ3,0.0,100.0,0.0
ZNF304,0.0,99.02,0.0
CHCHD5,0.0,100.0,0.0
FKBP11,0.0,100.0,0.0
MLH1,0.0,100.0,0.0
HAAO,0.0,99.76,0.0
ADAMTS3,0.0,100.0,0.0
SDC2,0.0,99.02,0.0
PCDHGC3,0.0,99.51,0.0
SLITRK5,0.0,99.51,0.0
TNFRSF10D,0.0,99.76,0.0
ELMO1,0.0,100.0,0.0
SLC16A12,0.0,100.0,0.0
PAK7,0.0,100.0,0.0
KCNT2,0.0,99.76,0.0
ME3,0.0,100.0,0.0
PCDH17,0.0,100.0,0.0
HIST1H4D,0.0,98.29,0.0
PLCB1,0.0,100.0,0.0
MME,0.0,98.78,0.0
KCNK9,0.0,100.0,0.0
JAKMIP1,0.38,71.64,0.0
SOX5,0.0,98.04,0.0
RERG,0.0,99.51,0.0
BEND5,0.0,99.76,0.0
SLC22A17,0.0,100.0,0.0
PRKG1,0.0,100.0,0.0
TSPAN2,0.0,100.0,0.0
VAV3,0.0,96.09,0.0
TMEM121,0.0,100.0,0.0
ERBB4,0.0,99.76,0.0
DFNA5,0.0,100.0,0.0
LOC100130148,0.0,99.51,0.0
