Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
MRTO4,21.11,87.04,21.11
IKBKAP,18.62,93.89,18.62
ARL13B,18.43,82.64,18.43
DYDC2,17.47,89.24,17.47
COQ3,15.55,83.37,15.55
MRPL30,14.2,86.8,14.2
NOS1,13.63,82.64,13.63
PPP4C,11.9,91.44,11.9
CAPN2,10.75,97.56,10.75
DYRK2,10.36,94.13,10.36
TRPC3,10.17,88.51,10.17
C18orf16,9.98,100.0,9.98
DCLK1,9.79,100.0,9.79
BEST4,9.21,93.15,9.21
C1orf229,8.83,100.0,8.83
C21orf70,7.87,100.0,7.87
RRM2,7.68,99.51,7.68
MSH3,7.68,89.98,7.68
TXNL4A,7.1,93.4,7.1
BEND2,6.72,94.87,6.72
SFN,6.14,100.0,6.14
STRN3,6.14,93.64,6.14
CRH,5.95,94.62,5.95
ZDHHC3,5.95,99.02,5.95
CACNG3,5.57,99.76,5.57
HBZ,5.37,100.0,5.37
ATXN3,5.18,98.78,5.18
SCRN1,5.18,86.8,5.18
KLHL1,4.8,81.66,4.8
KRT19,4.41,99.76,4.41
ELANE,4.22,100.0,4.22
ZNF532,4.22,99.02,4.22
MTMR6,4.22,98.29,4.22
LUC7L,3.65,91.44,3.65
TRPM6,3.65,98.04,3.65
ZC3H3,3.65,95.6,3.65
PRR18,3.45,99.51,3.45
LIMCH1,3.45,99.76,3.45
SRBD1,3.45,96.09,3.45
FAM129A,3.45,100.0,3.45
APOA4,3.45,94.13,3.45
SNTB1,3.26,100.0,3.26
HIF3A,3.26,99.51,3.26
CRCT1,3.07,100.0,3.07
FANCG,2.88,99.02,2.88
TDRD1,2.69,98.53,2.69
EFNA3,2.5,100.0,2.5
LTB4R2,2.5,99.76,2.5
C11orf49,2.5,96.58,2.5
RNF8,2.5,99.02,2.5
SMAP1,2.3,90.95,2.3
NFKBIB,2.3,99.51,2.3
DDX49,2.3,99.51,2.3
CRHR1,2.11,100.0,2.11
DIRAS3,2.11,96.82,2.11
TKTL2,2.11,99.76,2.11
BSCL2,1.92,99.76,1.92
ACTL6B,1.73,100.0,1.73
EBPL,1.73,98.29,1.73
PMEPA1,1.73,100.0,1.73
NUMA1,1.54,98.53,1.54
BSND,1.54,99.76,1.54
PKN1,1.54,99.51,1.54
CBLC,1.54,96.09,1.54
OLFM1,1.54,100.0,1.54
RNF115,1.54,99.27,1.54
EIF3I,1.34,80.44,1.34
C18orf22,1.34,98.78,1.34
TMEM138,1.34,100.0,1.34
SYNE2,1.34,89.0,1.34
PDPK1,1.15,100.0,1.15
SHANK1,1.15,100.0,1.15
TP73,1.15,100.0,1.15
CDH4,1.15,99.76,1.15
SNRPA,0.96,100.0,0.96
MTM1,0.96,100.0,0.96
RETN,0.96,99.76,0.96
KCNIP1,0.96,99.51,0.96
CALCB,0.96,100.0,0.96
TMEM90B,0.96,100.0,0.96
PLAGL1,0.77,98.78,0.77
UBE2V2,0.58,99.76,0.58
MAK16,0.58,100.0,0.58
MAMDC4,0.58,89.49,0.58
CNTD2,0.58,100.0,0.58
GSTP1,0.58,99.76,0.58
TSPAN4,0.58,89.98,0.58
DHX40,0.38,100.0,0.38
C1orf124,0.38,94.13,0.38
FOLH1,0.38,99.76,0.38
TOLLIP,0.19,99.76,0.19
LMLN,0.19,100.0,0.19
S100A13,0.19,93.64,0.19
C2orf47,0.19,100.0,0.19
DCAF4L2,0.19,100.0,0.19
CNOT6,0.19,100.0,0.19
COG8,21.11,79.71,0.0
SLC12A5,4.8,79.46,0.0
MFF,21.88,73.84,0.0
EXOC3L2,0.0,99.76,0.0
FXC1,0.0,100.0,0.0
SLC6A6,0.0,100.0,0.0
CACNA1H,0.0,100.0,0.0
STXBP2,0.0,98.29,0.0
ABHD12B,20.92,78.48,0.0
TNFRSF10A,0.0,100.0,0.0
SLC2A10,0.0,100.0,0.0
