Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
EBPL,41.72,93.1,41.72
FAM129A,35.39,85.06,35.39
TRPM6,35.39,82.76,35.39
CRHR1,33.93,83.91,33.93
OLFM1,33.77,88.51,33.77
MTM1,32.79,82.76,32.79
C11orf49,32.63,96.55,32.63
SLC6A6,32.14,98.85,32.14
C1orf124,31.33,93.1,31.33
RNF8,30.68,81.61,30.68
TKTL2,28.9,91.95,28.9
MSH3,28.73,87.36,28.73
DDX49,25.65,85.06,25.65
MFF,22.73,80.46,22.73
C18orf16,22.08,100.0,22.08
IKBKAP,21.1,98.85,21.1
MTMR6,20.94,91.95,20.94
TRPC3,20.78,97.7,20.78
BEND2,19.16,98.85,19.16
CNOT6,15.26,96.55,15.26
FANCG,13.8,96.55,13.8
SRBD1,12.18,96.55,12.18
PPP4C,10.71,93.1,10.71
DCLK1,9.25,100.0,9.25
C18orf22,8.93,98.85,8.93
CRCT1,8.12,100.0,8.12
TMEM90B,7.79,100.0,7.79
DCAF4L2,7.47,100.0,7.47
TSPAN4,7.31,97.7,7.31
S100A13,6.82,93.1,6.82
APOA4,6.66,97.7,6.66
SLC12A5,6.49,97.7,6.49
RETN,6.33,100.0,6.33
SCRN1,5.36,96.55,5.36
EFNA3,5.03,96.55,5.03
TP73,5.03,100.0,5.03
FXC1,5.03,100.0,5.03
EIF3I,4.87,100.0,4.87
CACNA1H,4.87,89.66,4.87
MRPL30,4.38,96.55,4.38
SYNE2,4.22,86.21,4.22
CDH4,3.57,100.0,3.57
ZNF532,3.41,97.7,3.41
DIRAS3,3.41,94.25,3.41
C1orf229,3.25,97.7,3.25
ZC3H3,3.25,96.55,3.25
NUMA1,2.76,100.0,2.76
SNRPA,2.6,100.0,2.6
CRH,2.6,100.0,2.6
LMLN,2.44,98.85,2.44
CALCB,2.27,100.0,2.27
SNTB1,1.95,100.0,1.95
BSND,1.14,100.0,1.14
RNF115,1.14,100.0,1.14
FOLH1,0.97,100.0,0.97
PLAGL1,0.81,95.4,0.81
TDRD1,0.81,95.4,0.81
SMAP1,0.81,100.0,0.81
KCNIP1,0.65,100.0,0.65
DHX40,0.49,100.0,0.49
PMEPA1,0.49,97.7,0.49
STXBP2,0.32,100.0,0.32
MAMDC4,0.16,100.0,0.16
SLC2A10,30.52,14.94,0.0
BSCL2,0.0,100.0,0.0
NFKBIB,0.0,100.0,0.0
EXOC3L2,0.0,97.7,0.0
LIMCH1,21.59,41.38,0.0
DYRK2,45.94,11.49,0.0
CACNG3,57.95,68.97,0.0
C2orf47,41.88,40.23,0.0
PKN1,36.69,5.75,0.0
HBZ,28.08,54.02,0.0
GSTP1,34.74,78.16,0.0
ARL13B,21.59,65.52,0.0
PRR18,53.9,12.64,0.0
ACTL6B,29.38,77.01,0.0
TMEM138,28.57,35.63,0.0
DYDC2,52.76,63.22,0.0
ATXN3,23.54,67.82,0.0
COG8,30.36,73.56,0.0
SFN,60.88,4.6,0.0
HIF3A,48.21,34.48,0.0
CAPN2,56.82,3.45,0.0
COQ3,54.06,26.44,0.0
ELANE,55.36,25.29,0.0
MRTO4,33.6,73.56,0.0
TXNL4A,58.6,74.71,0.0
CNTD2,36.53,13.79,0.0
CBLC,43.02,26.44,0.0
TOLLIP,59.25,11.49,0.0
TNFRSF10A,49.19,26.44,0.0
ZDHHC3,29.38,37.93,0.0
BEST4,18.83,66.67,0.0
RRM2,47.73,68.97,0.0
MAK16,34.74,4.6,0.0
UBE2V2,52.92,29.89,0.0
LUC7L,23.54,66.67,0.0
NOS1,27.11,58.62,0.0
PDPK1,40.91,29.89,0.0
C21orf70,12.66,70.11,0.0
KLHL1,10.88,65.52,0.0
KRT19,33.44,41.38,0.0
ABHD12B,39.94,39.08,0.0
STRN3,33.93,67.82,0.0
SHANK1,32.95,43.68,0.0
LTB4R2,0.0,100.0,0.0
