Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
HAAO,68.72,0,0
BEND5,1.7,0,0
ZNF570,0.85,0,0
PCDHGC3,3.4,0,0
DFNA5,4.26,0,0
WNT7A,1.28,0,0
ZNF569,0.0,0,0
ERBB4,4.68,0,0
TMEM121,0.85,0,0
VAV3,1.06,0,0
TSPAN2,3.62,0,0
PRKG1,7.23,0,0
SLC22A17,0.0,0,0
SLC8A3,0.64,0,0
PHF21B,1.7,0,0
BMPER,1.91,0,0
RERG,14.04,0,0
TMEM101,0.0,0,0
RET,2.55,0,0
SOX5,0.85,0,0
SLC6A1,0.64,0,0
B3GALNT1,7.23,0,0
NPAS1,1.49,0,0
JAKMIP1,2.55,0,0
PRR16,0.43,0,0
KCNK9,0.21,0,0
SDC2,3.4,0,0
GRIN2A,1.28,0,0
SCNN1B,2.13,0,0
GSTP1,0.21,0,0
MIR1908,0.85,0,0
KCNC1,0.21,0,0
SNAI2,0.0,0,0
FNBP1,0.21,0,0
KCNQ3,0.21,0,0
ZNF345,0.0,0,0
CHCHD5,0.0,0,0
LOC283856,0.21,0,0
FKBP11,3.19,0,0
ATRNL1,0.0,0,0
CACNG2,0.43,0,0
MLH1,0.85,0,0
MGMT,2.98,0,0
ZNF304,0.21,0,0
UQCRH,0.0,0,0
ADAM23,0.21,0,0
PTPN13,8.09,0,0
ZNF365,1.49,0,0
SPG20,0.0,0,0
NDRG4,0.0,0,0
EHD3,2.13,0,0
NELL2,0.21,0,0
ZBTB16,4.47,0,0
RNF182,12.98,0,0
MME,0.85,0,0
ADAMTS3,3.19,0,0
KCNS3,2.55,0,0
WDR17,1.49,0,0
SLC16A12,2.13,0,0
ELMO1,0.21,0,0
PROK2,12.34,0,0
NPR3,12.77,0,0
RBM24,60.21,0,0
CRHR2,0.21,0,0
TNFRSF10D,46.6,0,0
RPL39L,4.68,0,0
HIST1H3J,17.87,0,0
SLITRK5,0.43,0,0
CPXM1,3.4,0,0
FOXE1,16.6,0,0
PLCB1,1.28,0,0
GFRA3,37.23,0,0
HIST1H2BB,20.85,0,0
GATA4,11.49,0,0
GALR1,1.91,0,0
LOXL3,63.19,0,0
SNX32,0.64,0,0
ST6GALNAC5,9.15,0,0
NETO1,2.34,0,0
GRIN3A,4.04,0,0
ZNF542,3.62,0,0
MIR34B,16.17,0,0
SNCA,0.21,0,0
LRRC4,8.51,0,0
DTX1,3.62,0,0
DLK1,1.49,0,0
EPO,1.28,0,0
FAM20A,8.3,0,0
IRX4,0.21,0,0
JPH3,10.0,0,0
EPHA7,4.26,0,0
SLC30A2,26.6,0,0
HIST1H4D,16.17,0,0
CUX2,0.21,0,0
PCDH17,1.06,0,0
ME3,56.81,0,0
AOX1,22.77,0,0
SPDYA,5.11,0,0
SORCS3,0.21,0,0
ELOVL4,1.49,0,0
GABRB2,3.19,0,0
KCNT2,4.68,0,0
PAK7,0.85,0,0
MT1E,9.79,0,0
TWIST1,1.7,0,0
FUT9,3.62,0,0
SFRP5,35.96,0,0
GFRA1,0.21,0,0
HIF3A,19.36,0,0
LOC100130148,0.21,0,0
