Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,54.26,0,0
SMAP1,6.38,0,0
CRHR1,11.06,0,0
RETN,6.38,0,0
C1orf229,0.43,0,0
FXC1,1.7,0,0
TSPAN4,29.36,0,0
CNOT6,10.85,0,0
FAM129A,0.21,0,0
SLC2A10,0.43,0,0
SNTB1,0.21,0,0
SLC6A6,0.43,0,0
LMLN,4.89,0,0
PKN1,4.47,0,0
S100A13,36.17,0,0
EBPL,1.7,0,0
HBZ,1.49,0,0
ZDHHC3,18.51,0,0
FANCG,22.13,0,0
CDH4,19.15,0,0
BEST4,2.13,0,0
TMEM90B,38.94,0,0
SRBD1,0.43,0,0
RRM2,7.66,0,0
CRH,17.87,0,0
TDRD1,2.77,0,0
DCLK1,0.43,0,0
MAK16,28.3,0,0
EIF3I,1.28,0,0
NFKBIB,0.0,0,0
MAMDC4,0.0,0,0
PLAGL1,3.83,0,0
BSND,7.02,0,0
CACNA1H,3.83,0,0
BSCL2,0.43,0,0
DHX40,13.62,0,0
KCNIP1,0.43,0,0
EXOC3L2,0.21,0,0
APOA4,1.91,0,0
DIRAS3,0.21,0,0
LIMCH1,0.85,0,0
DCAF4L2,0.85,0,0
STXBP2,8.51,0,0
RNF115,4.89,0,0
SYNE2,0.0,0,0
EFNA3,0.0,0,0
CALCB,13.83,0,0
PMEPA1,9.36,0,0
SCRN1,1.7,0,0
DYRK2,0.43,0,0
MTM1,4.89,0,0
ZNF532,1.91,0,0
FOLH1,2.77,0,0
C2orf47,16.38,0,0
UBE2V2,49.57,0,0
PDPK1,20.85,0,0
CBLC,0.21,0,0
C18orf16,9.79,0,0
CNTD2,3.62,0,0
IKBKAP,12.13,0,0
GSTP1,21.7,0,0
ARL13B,3.4,0,0
PRR18,0.43,0,0
ACTL6B,35.53,0,0
TMEM138,41.06,0,0
DYDC2,8.09,0,0
MTMR6,3.19,0,0
CRCT1,42.34,0,0
ATXN3,17.02,0,0
COG8,22.55,0,0
SFN,0.43,0,0
HIF3A,19.36,0,0
CAPN2,2.98,0,0
COQ3,16.17,0,0
ELANE,27.02,0,0
MRTO4,17.45,0,0
MFF,31.49,0,0
TXNL4A,25.74,0,0
MRPL30,28.94,0,0
TOLLIP,10.85,0,0
SLC12A5,17.23,0,0
TP73,20.0,0,0
RNF8,21.06,0,0
C18orf22,7.23,0,0
MSH3,2.34,0,0
OLFM1,15.96,0,0
C1orf124,7.23,0,0
LUC7L,5.96,0,0
TRPM6,1.91,0,0
SNRPA,22.77,0,0
TKTL2,28.09,0,0
DDX49,15.11,0,0
TNFRSF10A,1.49,0,0
NOS1,33.4,0,0
C21orf70,0.64,0,0
PPP4C,4.68,0,0
KLHL1,2.13,0,0
NUMA1,7.02,0,0
KRT19,3.83,0,0
ABHD12B,4.04,0,0
ZC3H3,35.96,0,0
TRPC3,5.53,0,0
STRN3,20.0,0,0
BEND2,38.09,0,0
C11orf49,26.81,0,0
SHANK1,11.49,0,0
LTB4R2,0.0,0,0
