Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
HAAO,0.0,0,0
BEND5,12.5,0,0
ZNF570,8.33,0,0
PCDHGC3,6.25,0,0
DFNA5,4.17,0,0
WNT7A,45.83,0,0
ZNF569,2.08,0,0
ERBB4,75.0,0,0
TMEM121,35.42,0,0
VAV3,0.0,0,0
TSPAN2,22.92,0,0
PRKG1,58.33,0,0
SLC22A17,52.08,0,0
SLC8A3,20.83,0,0
PHF21B,39.58,0,0
BMPER,56.25,0,0
RERG,37.5,0,0
TMEM101,0.0,0,0
RET,64.58,0,0
SOX5,27.08,0,0
SLC6A1,35.42,0,0
B3GALNT1,27.08,0,0
NPAS1,14.58,0,0
JAKMIP1,43.75,0,0
PRR16,25.0,0,0
KCNK9,66.67,0,0
SDC2,39.58,0,0
GRIN2A,16.67,0,0
SCNN1B,60.42,0,0
GSTP1,0.0,0,0
MIR1908,16.67,0,0
KCNC1,25.0,0,0
SNAI2,16.67,0,0
FNBP1,2.08,0,0
KCNQ3,16.67,0,0
ZNF345,0.0,0,0
CHCHD5,2.08,0,0
LOC283856,16.67,0,0
FKBP11,0.0,0,0
ATRNL1,20.83,0,0
CACNG2,41.67,0,0
MLH1,0.0,0,0
MGMT,14.58,0,0
ZNF304,2.08,0,0
UQCRH,0.0,0,0
ADAM23,10.42,0,0
PTPN13,58.33,0,0
ZNF365,27.08,0,0
SPG20,22.92,0,0
NDRG4,2.08,0,0
EHD3,0.0,0,0
NELL2,45.83,0,0
ZBTB16,45.83,0,0
RNF182,10.42,0,0
MME,18.75,0,0
ADAMTS3,54.17,0,0
KCNS3,6.25,0,0
WDR17,6.25,0,0
SLC16A12,66.67,0,0
ELMO1,0.0,0,0
PROK2,45.83,0,0
NPR3,77.08,0,0
RBM24,64.58,0,0
CRHR2,33.33,0,0
TNFRSF10D,0.0,0,0
RPL39L,0.0,0,0
HIST1H3J,2.08,0,0
SLITRK5,54.17,0,0
CPXM1,14.58,0,0
FOXE1,52.08,0,0
PLCB1,58.33,0,0
GFRA3,6.25,0,0
HIST1H2BB,14.58,0,0
GATA4,47.92,0,0
GALR1,66.67,0,0
LOXL3,0.0,0,0
SNX32,66.67,0,0
ST6GALNAC5,70.83,0,0
NETO1,66.67,0,0
GRIN3A,79.17,0,0
ZNF542,50.0,0,0
MIR34B,70.83,0,0
SNCA,68.75,0,0
LRRC4,0.0,0,0
DTX1,0.0,0,0
DLK1,33.33,0,0
EPO,20.83,0,0
FAM20A,54.17,0,0
IRX4,47.92,0,0
JPH3,54.17,0,0
EPHA7,33.33,0,0
SLC30A2,77.08,0,0
HIST1H4D,0.0,0,0
CUX2,41.67,0,0
PCDH17,41.67,0,0
ME3,31.25,0,0
AOX1,29.17,0,0
SPDYA,47.92,0,0
SORCS3,33.33,0,0
ELOVL4,41.67,0,0
GABRB2,39.58,0,0
KCNT2,47.92,0,0
PAK7,68.75,0,0
MT1E,41.67,0,0
TWIST1,52.08,0,0
FUT9,50.0,0,0
SFRP5,37.5,0,0
GFRA1,43.75,0,0
HIF3A,35.42,0,0
LOC100130148,10.42,0,0
