Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,35.42,0,0
SMAP1,2.08,0,0
CRHR1,25.0,0,0
RETN,4.17,0,0
C1orf229,0.0,0,0
FXC1,0.0,0,0
TSPAN4,0.0,0,0
CNOT6,0.0,0,0
FAM129A,25.0,0,0
SLC2A10,0.0,0,0
SNTB1,12.5,0,0
SLC6A6,14.58,0,0
LMLN,0.0,0,0
PKN1,29.17,0,0
S100A13,22.92,0,0
EBPL,6.25,0,0
HBZ,37.5,0,0
ZDHHC3,2.08,0,0
FANCG,4.17,0,0
CDH4,0.0,0,0
BEST4,39.58,0,0
TMEM90B,2.08,0,0
SRBD1,33.33,0,0
RRM2,54.17,0,0
CRH,0.0,0,0
TDRD1,0.0,0,0
DCLK1,6.25,0,0
MAK16,16.67,0,0
EIF3I,4.17,0,0
NFKBIB,6.25,0,0
MAMDC4,0.0,0,0
PLAGL1,8.33,0,0
BSND,29.17,0,0
CACNA1H,8.33,0,0
BSCL2,4.17,0,0
DHX40,2.08,0,0
KCNIP1,0.0,0,0
EXOC3L2,0.0,0,0
APOA4,35.42,0,0
DIRAS3,0.0,0,0
LIMCH1,4.17,0,0
DCAF4L2,6.25,0,0
STXBP2,0.0,0,0
RNF115,0.0,0,0
SYNE2,8.33,0,0
EFNA3,25.0,0,0
CALCB,0.0,0,0
PMEPA1,14.58,0,0
SCRN1,18.75,0,0
DYRK2,10.42,0,0
MTM1,4.17,0,0
ZNF532,10.42,0,0
FOLH1,0.0,0,0
C2orf47,2.08,0,0
UBE2V2,16.67,0,0
PDPK1,14.58,0,0
CBLC,0.0,0,0
C18orf16,50.0,0,0
CNTD2,0.0,0,0
IKBKAP,14.58,0,0
GSTP1,12.5,0,0
ARL13B,2.08,0,0
PRR18,10.42,0,0
ACTL6B,12.5,0,0
TMEM138,35.42,0,0
DYDC2,31.25,0,0
MTMR6,4.17,0,0
CRCT1,33.33,0,0
ATXN3,27.08,0,0
COG8,45.83,0,0
SFN,35.42,0,0
HIF3A,22.92,0,0
CAPN2,27.08,0,0
COQ3,0.0,0,0
ELANE,25.0,0,0
MRTO4,14.58,0,0
MFF,43.75,0,0
TXNL4A,0.0,0,0
MRPL30,41.67,0,0
TOLLIP,16.67,0,0
SLC12A5,6.25,0,0
TP73,2.08,0,0
RNF8,16.67,0,0
C18orf22,18.75,0,0
MSH3,14.58,0,0
OLFM1,20.83,0,0
C1orf124,0.0,0,0
LUC7L,0.0,0,0
TRPM6,2.08,0,0
SNRPA,20.83,0,0
TKTL2,22.92,0,0
DDX49,10.42,0,0
TNFRSF10A,35.42,0,0
NOS1,8.33,0,0
C21orf70,12.5,0,0
PPP4C,25.0,0,0
KLHL1,0.0,0,0
NUMA1,6.25,0,0
KRT19,0.0,0,0
ABHD12B,12.5,0,0
ZC3H3,6.25,0,0
TRPC3,6.25,0,0
STRN3,0.0,0,0
BEND2,4.17,0,0
C11orf49,8.33,0,0
SHANK1,20.83,0,0
LTB4R2,0.0,0,0
