Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
NETO1,68.81,97.14,68.81
GRIN3A,64.04,91.43,64.04
TMEM101,56.88,91.43,56.88
SCNN1B,55.41,97.14,55.41
HIST1H2BB,49.91,97.14,49.91
GATA4,48.62,97.14,48.62
GABRB2,44.22,97.14,44.22
SPDYA,41.1,100.0,41.1
DLK1,38.17,100.0,38.17
GALR1,36.88,100.0,36.88
HIST1H3J,33.76,94.29,33.76
KCNT2,32.84,100.0,32.84
FOXE1,32.66,91.43,32.66
SORCS3,32.66,91.43,32.66
MLH1,31.56,100.0,31.56
MT1E,31.56,100.0,31.56
CHCHD5,31.19,88.57,31.19
MIR34B,27.16,100.0,27.16
GFRA1,26.24,94.29,26.24
WDR17,25.87,88.57,25.87
CRHR2,20.73,97.14,20.73
SNX32,20.73,88.57,20.73
ST6GALNAC5,17.8,91.43,17.8
PCDH17,15.23,97.14,15.23
TSPAN2,15.05,100.0,15.05
PRKG1,14.86,100.0,14.86
RPL39L,13.39,97.14,13.39
UQCRH,13.39,100.0,13.39
NPAS1,13.21,100.0,13.21
FKBP11,13.03,100.0,13.03
ELOVL4,13.03,82.86,13.03
SNCA,12.11,97.14,12.11
EPO,11.74,100.0,11.74
LRRC4,11.19,97.14,11.19
SFRP5,11.19,100.0,11.19
AOX1,10.28,97.14,10.28
KCNK9,10.28,100.0,10.28
FUT9,9.91,100.0,9.91
JPH3,8.99,97.14,8.99
ZNF542,8.62,97.14,8.62
IRX4,8.07,100.0,8.07
ZBTB16,7.89,100.0,7.89
RET,7.16,100.0,7.16
HIST1H4D,6.42,100.0,6.42
DTX1,5.87,97.14,5.87
SLC30A2,5.32,100.0,5.32
TNFRSF10D,4.77,100.0,4.77
HIF3A,4.77,97.14,4.77
DFNA5,4.77,100.0,4.77
GRIN2A,4.04,100.0,4.04
SLC6A1,3.85,100.0,3.85
ME3,3.67,100.0,3.67
SLITRK5,3.49,100.0,3.49
CUX2,2.75,97.14,2.75
PROK2,2.39,100.0,2.39
SLC8A3,2.39,100.0,2.39
GFRA3,2.39,100.0,2.39
RERG,2.02,100.0,2.02
SLC22A17,1.83,100.0,1.83
PRR16,1.65,100.0,1.65
FAM20A,1.65,100.0,1.65
SLC16A12,1.47,100.0,1.47
KCNS3,1.47,88.57,1.47
RBM24,1.28,100.0,1.28
BMPER,1.28,100.0,1.28
ZNF304,1.1,100.0,1.1
TMEM121,0.92,100.0,0.92
PCDHGC3,0.92,100.0,0.92
RNF182,0.92,97.14,0.92
ATRNL1,0.92,97.14,0.92
WNT7A,0.73,100.0,0.73
PAK7,0.73,100.0,0.73
ZNF570,0.73,100.0,0.73
NPR3,0.73,100.0,0.73
ADAM23,0.73,100.0,0.73
CACNG2,0.55,100.0,0.55
SPG20,0.55,100.0,0.55
EHD3,0.55,100.0,0.55
ZNF569,0.37,100.0,0.37
LOC283856,0.37,100.0,0.37
ELMO1,0.37,94.29,0.37
ZNF345,0.37,97.14,0.37
KCNQ3,0.37,100.0,0.37
LOXL3,0.37,100.0,0.37
TWIST1,0.37,100.0,0.37
NELL2,0.37,94.29,0.37
ADAMTS3,0.37,100.0,0.37
MIR1908,0.18,100.0,0.18
ZNF365,0.18,100.0,0.18
BEND5,0.18,100.0,0.18
EPHA7,0.18,100.0,0.18
PHF21B,0.18,100.0,0.18
SDC2,0.18,97.14,0.18
SNAI2,0.18,100.0,0.18
JAKMIP1,0.18,100.0,0.18
MGMT,0.18,100.0,0.18
KCNC1,0.0,100.0,0.0
FNBP1,0.0,100.0,0.0
HAAO,60.73,74.29,0.0
GSTP1,0.0,100.0,0.0
PTPN13,1.83,40.0,0.0
NDRG4,0.0,100.0,0.0
ERBB4,0.0,100.0,0.0
VAV3,0.37,71.43,0.0
SOX5,0.0,100.0,0.0
B3GALNT1,0.55,68.57,0.0
MME,6.97,74.29,0.0
PLCB1,0.0,100.0,0.0
CPXM1,37.06,77.14,0.0
LOC100130148,0.0,100.0,0.0
