Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
UBE2V2,63.3,88.57,63.3
ELANE,61.83,88.57,61.83
CACNG3,56.33,100.0,56.33
CNTD2,50.64,91.43,50.64
TXNL4A,49.72,100.0,49.72
HIF3A,46.42,100.0,46.42
CBLC,43.67,88.57,43.67
ARL13B,41.47,100.0,41.47
CRCT1,41.1,100.0,41.1
NUMA1,41.1,97.14,41.1
C21orf70,40.37,100.0,40.37
RNF8,40.37,88.57,40.37
COQ3,40.0,100.0,40.0
OLFM1,39.82,100.0,39.82
PKN1,39.27,100.0,39.27
PDPK1,37.25,100.0,37.25
LMLN,37.25,100.0,37.25
TMEM138,36.7,100.0,36.7
RNF115,35.78,100.0,35.78
SFN,35.6,100.0,35.6
FANCG,35.23,100.0,35.23
DDX49,33.21,100.0,33.21
SLC6A6,32.84,91.43,32.84
PPP4C,31.74,82.86,31.74
PRR18,31.74,100.0,31.74
CAPN2,31.74,100.0,31.74
EIF3I,31.56,85.71,31.56
HBZ,31.19,85.71,31.19
LUC7L,30.64,100.0,30.64
EXOC3L2,30.64,91.43,30.64
C2orf47,30.64,100.0,30.64
FOLH1,30.46,97.14,30.46
TRPM6,30.09,100.0,30.09
ATXN3,29.36,100.0,29.36
COG8,28.26,100.0,28.26
MAK16,28.07,100.0,28.07
NOS1,27.16,97.14,27.16
MRTO4,26.79,100.0,26.79
MRPL30,26.79,94.29,26.79
MTMR6,24.77,100.0,24.77
IKBKAP,22.39,100.0,22.39
ZC3H3,21.65,100.0,21.65
C1orf124,21.65,100.0,21.65
TKTL2,21.47,100.0,21.47
ACTL6B,20.55,100.0,20.55
STRN3,19.82,100.0,19.82
C18orf22,19.45,88.57,19.45
SLC12A5,19.27,100.0,19.27
TNFRSF10A,18.35,97.14,18.35
S100A13,17.43,97.14,17.43
SNTB1,17.06,100.0,17.06
ZDHHC3,16.7,100.0,16.7
FXC1,16.7,100.0,16.7
GSTP1,16.7,100.0,16.7
DYDC2,16.7,100.0,16.7
SNRPA,16.51,100.0,16.51
SYNE2,15.41,100.0,15.41
CRHR1,15.23,100.0,15.23
EBPL,14.68,100.0,14.68
C11orf49,14.31,97.14,14.31
C1orf229,14.13,91.43,14.13
KRT19,13.58,100.0,13.58
FAM129A,13.21,100.0,13.21
CDH4,12.66,100.0,12.66
TSPAN4,12.29,94.29,12.29
CNOT6,12.29,100.0,12.29
TOLLIP,12.11,100.0,12.11
TRPC3,11.19,100.0,11.19
MFF,10.64,100.0,10.64
BEST4,10.28,88.57,10.28
PMEPA1,9.17,100.0,9.17
SRBD1,8.99,97.14,8.99
C18orf16,8.99,97.14,8.99
CRH,8.81,97.14,8.81
STXBP2,8.62,100.0,8.62
TP73,8.62,100.0,8.62
RRM2,8.07,100.0,8.07
ZNF532,7.52,100.0,7.52
ABHD12B,7.16,100.0,7.16
TMEM90B,6.42,100.0,6.42
CALCB,6.24,100.0,6.24
DIRAS3,5.87,97.14,5.87
RETN,5.69,100.0,5.69
KLHL1,5.5,100.0,5.5
CACNA1H,5.5,100.0,5.5
DCAF4L2,4.59,100.0,4.59
DHX40,2.94,100.0,2.94
DYRK2,2.57,100.0,2.57
LIMCH1,2.57,100.0,2.57
TDRD1,2.57,97.14,2.57
KCNIP1,2.57,100.0,2.57
APOA4,2.39,91.43,2.39
SCRN1,2.2,85.71,2.2
EFNA3,2.2,91.43,2.2
BEND2,2.02,100.0,2.02
MTM1,2.02,100.0,2.02
SLC2A10,2.02,100.0,2.02
MSH3,1.83,100.0,1.83
BSND,1.65,100.0,1.65
PLAGL1,1.1,97.14,1.1
BSCL2,0.18,91.43,0.18
MAMDC4,0.18,97.14,0.18
NFKBIB,0.18,100.0,0.18
LTB4R2,0.18,100.0,0.18
DCLK1,2.94,60.0,0.0
SMAP1,8.81,65.71,0.0
SHANK1,32.11,68.57,0.0
