Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
ADAMTS3,73.03,87.5,73.03
SLC22A17,69.66,87.5,69.66
MIR34B,66.29,81.25,66.29
SCNN1B,66.29,81.25,66.29
ELOVL4,66.29,81.25,66.29
SLC30A2,65.17,81.25,65.17
SLITRK5,61.8,81.25,61.8
DTX1,61.8,87.5,61.8
BMPER,60.67,81.25,60.67
SLC16A12,59.55,81.25,59.55
FAM20A,57.3,87.5,57.3
GALR1,57.3,81.25,57.3
FNBP1,56.18,87.5,56.18
ZNF569,56.18,81.25,56.18
ZNF345,55.06,87.5,55.06
KCNK9,55.06,81.25,55.06
RET,53.93,87.5,53.93
NELL2,50.56,87.5,50.56
BEND5,50.56,81.25,50.56
ERBB4,50.56,81.25,50.56
ZNF570,49.44,81.25,49.44
PROK2,49.44,81.25,49.44
KCNQ3,49.44,81.25,49.44
EHD3,47.19,87.5,47.19
IRX4,47.19,87.5,47.19
SPDYA,47.19,81.25,47.19
PTPN13,46.07,81.25,46.07
SLC8A3,46.07,87.5,46.07
SOX5,44.94,87.5,44.94
VAV3,44.94,81.25,44.94
GFRA1,43.82,81.25,43.82
CRHR2,43.82,81.25,43.82
ATRNL1,43.82,87.5,43.82
LOC283856,43.82,87.5,43.82
CUX2,43.82,81.25,43.82
PCDH17,42.7,81.25,42.7
SDC2,42.7,81.25,42.7
PRR16,42.7,81.25,42.7
MIR1908,42.7,93.75,42.7
RNF182,41.57,81.25,41.57
KCNC1,41.57,87.5,41.57
WNT7A,41.57,81.25,41.57
PAK7,41.57,87.5,41.57
RBM24,40.45,87.5,40.45
EPHA7,40.45,87.5,40.45
PRKG1,40.45,87.5,40.45
ZBTB16,39.33,81.25,39.33
SNAI2,39.33,87.5,39.33
LOC100130148,39.33,100.0,39.33
GFRA3,39.33,87.5,39.33
NDRG4,37.08,87.5,37.08
ADAM23,37.08,87.5,37.08
ZNF365,37.08,93.75,37.08
TSPAN2,37.08,81.25,37.08
TMEM121,35.96,87.5,35.96
NPAS1,34.83,81.25,34.83
SLC6A1,34.83,81.25,34.83
PCDHGC3,34.83,87.5,34.83
CACNG2,33.71,81.25,33.71
DLK1,33.71,81.25,33.71
PHF21B,33.71,81.25,33.71
KCNS3,32.58,81.25,32.58
MGMT,31.46,81.25,31.46
EPO,30.34,87.5,30.34
RPL39L,25.84,87.5,25.84
SPG20,24.72,87.5,24.72
DFNA5,24.72,87.5,24.72
HAAO,21.35,87.5,21.35
SORCS3,21.35,81.25,21.35
GABRB2,19.1,81.25,19.1
PLCB1,17.98,87.5,17.98
RERG,14.61,87.5,14.61
HIST1H2BB,12.36,93.75,12.36
AOX1,12.36,100.0,12.36
GRIN2A,8.99,87.5,8.99
FUT9,7.87,81.25,7.87
HIST1H4D,6.74,100.0,6.74
HIF3A,6.74,100.0,6.74
GATA4,5.62,93.75,5.62
MLH1,4.49,100.0,4.49
SFRP5,4.49,100.0,4.49
ZNF304,3.37,93.75,3.37
CHCHD5,3.37,100.0,3.37
B3GALNT1,2.25,100.0,2.25
GSTP1,0.0,100.0,0.0
ME3,0.0,87.5,0.0
FKBP11,0.0,100.0,0.0
ELMO1,78.65,25.0,0.0
SNX32,83.15,68.75,0.0
ST6GALNAC5,78.65,56.25,0.0
NETO1,53.93,56.25,0.0
GRIN3A,73.03,68.75,0.0
ZNF542,82.02,56.25,0.0
LOXL3,0.0,87.5,0.0
TWIST1,77.53,62.5,0.0
UQCRH,0.0,100.0,0.0
NPR3,77.53,68.75,0.0
LRRC4,30.34,62.5,0.0
MME,46.07,75.0,0.0
TMEM101,0.0,100.0,0.0
FOXE1,59.55,75.0,0.0
WDR17,56.18,62.5,0.0
CPXM1,61.8,62.5,0.0
HIST1H3J,0.0,100.0,0.0
JAKMIP1,47.19,75.0,0.0
SNCA,59.55,50.0,0.0
KCNT2,48.31,56.25,0.0
TNFRSF10D,0.0,100.0,0.0
MT1E,0.0,87.5,0.0
JPH3,44.94,75.0,0.0
