Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
UBE2V2,65.17,87.5,65.17
ATXN3,58.43,81.25,58.43
MRPL30,56.18,93.75,56.18
TKTL2,50.56,81.25,50.56
ABHD12B,47.19,93.75,47.19
TNFRSF10A,42.7,81.25,42.7
TXNL4A,35.96,93.75,35.96
BEND2,35.96,93.75,35.96
MSH3,35.96,87.5,35.96
TRPC3,33.71,100.0,33.71
RRM2,32.58,81.25,32.58
EBPL,31.46,93.75,31.46
MTMR6,28.09,100.0,28.09
DYDC2,25.84,87.5,25.84
HIF3A,22.47,87.5,22.47
CNOT6,21.35,87.5,21.35
DYRK2,20.22,81.25,20.22
MTM1,20.22,81.25,20.22
TMEM138,17.98,81.25,17.98
RNF8,17.98,81.25,17.98
GSTP1,17.98,87.5,17.98
MFF,17.98,100.0,17.98
C11orf49,17.98,87.5,17.98
NOS1,15.73,81.25,15.73
PPP4C,15.73,81.25,15.73
KRT19,15.73,87.5,15.73
C2orf47,15.73,87.5,15.73
COG8,15.73,100.0,15.73
IKBKAP,14.61,87.5,14.61
DCLK1,14.61,81.25,14.61
DDX49,14.61,81.25,14.61
PKN1,13.48,81.25,13.48
MRTO4,13.48,87.5,13.48
SLC12A5,13.48,81.25,13.48
COQ3,11.24,81.25,11.24
CDH4,11.24,100.0,11.24
LMLN,8.99,100.0,8.99
ARL13B,8.99,100.0,8.99
STRN3,7.87,87.5,7.87
TMEM90B,7.87,93.75,7.87
APOA4,7.87,81.25,7.87
CACNA1H,6.74,93.75,6.74
FANCG,5.62,100.0,5.62
KLHL1,5.62,100.0,5.62
FOLH1,5.62,93.75,5.62
EIF3I,4.49,87.5,4.49
LUC7L,4.49,100.0,4.49
CALCB,4.49,93.75,4.49
PLAGL1,3.37,93.75,3.37
LIMCH1,3.37,81.25,3.37
SRBD1,3.37,93.75,3.37
DCAF4L2,3.37,100.0,3.37
SYNE2,3.37,87.5,3.37
RNF115,3.37,100.0,3.37
DIRAS3,2.25,93.75,2.25
CRH,2.25,100.0,2.25
ZNF532,2.25,100.0,2.25
BSND,2.25,93.75,2.25
STXBP2,1.12,93.75,1.12
RETN,1.12,100.0,1.12
PMEPA1,1.12,87.5,1.12
FXC1,5.62,62.5,0.0
C1orf229,3.37,25.0,0.0
CRHR1,7.87,62.5,0.0
TDRD1,0.0,100.0,0.0
KCNIP1,0.0,100.0,0.0
SCRN1,15.73,31.25,0.0
SMAP1,3.37,43.75,0.0
EXOC3L2,0.0,93.75,0.0
MAMDC4,0.0,81.25,0.0
EFNA3,7.87,25.0,0.0
NFKBIB,0.0,100.0,0.0
DHX40,0.0,100.0,0.0
BSCL2,0.0,100.0,0.0
CACNG3,47.19,56.25,0.0
TSPAN4,19.1,31.25,0.0
FAM129A,4.49,31.25,0.0
ELANE,13.48,75.0,0.0
CAPN2,46.07,25.0,0.0
SFN,42.7,18.75,0.0
CRCT1,19.1,75.0,0.0
ACTL6B,37.08,75.0,0.0
PRR18,13.48,25.0,0.0
CNTD2,37.08,25.0,0.0
C18orf16,20.22,50.0,0.0
CBLC,31.46,18.75,0.0
TOLLIP,43.82,68.75,0.0
PDPK1,21.35,56.25,0.0
SHANK1,31.46,75.0,0.0
ZC3H3,22.47,75.0,0.0
NUMA1,6.74,18.75,0.0
C21orf70,7.87,75.0,0.0
SNRPA,12.36,31.25,0.0
TRPM6,17.98,75.0,0.0
C1orf124,37.08,25.0,0.0
OLFM1,19.1,75.0,0.0
C18orf22,19.1,56.25,0.0
TP73,11.24,75.0,0.0
MAK16,20.22,31.25,0.0
BEST4,15.73,75.0,0.0
ZDHHC3,13.48,75.0,0.0
HBZ,5.62,25.0,0.0
S100A13,28.09,75.0,0.0
SLC6A6,12.36,75.0,0.0
SNTB1,5.62,75.0,0.0
SLC2A10,24.72,18.75,0.0
LTB4R2,0.0,100.0,0.0
