Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
LOXL3,47.92,87.5,47.92
ME3,39.58,87.5,39.58
FUT9,35.42,81.25,35.42
MIR34B,27.08,81.25,27.08
MT1E,25.0,87.5,25.0
SLITRK5,21.88,81.25,21.88
ZNF570,17.71,81.25,17.71
PLCB1,17.71,87.5,17.71
CRHR2,17.71,81.25,17.71
HIST1H2BB,14.58,93.75,14.58
GALR1,13.54,81.25,13.54
HAAO,12.5,87.5,12.5
SCNN1B,9.38,81.25,9.38
ZNF569,9.38,81.25,9.38
ZNF345,9.38,87.5,9.38
GFRA1,9.38,81.25,9.38
RET,8.33,87.5,8.33
EPO,8.33,87.5,8.33
RERG,8.33,87.5,8.33
DLK1,7.29,81.25,7.29
BEND5,7.29,81.25,7.29
EPHA7,7.29,87.5,7.29
SLC30A2,7.29,81.25,7.29
CUX2,7.29,81.25,7.29
PCDH17,7.29,81.25,7.29
GFRA3,7.29,87.5,7.29
DTX1,6.25,87.5,6.25
SLC16A12,6.25,81.25,6.25
ZBTB16,6.25,81.25,6.25
SPDYA,6.25,81.25,6.25
GABRB2,5.21,81.25,5.21
SORCS3,5.21,81.25,5.21
RBM24,5.21,87.5,5.21
BMPER,4.17,81.25,4.17
PRR16,4.17,81.25,4.17
VAV3,4.17,81.25,4.17
TMEM121,4.17,87.5,4.17
ERBB4,4.17,81.25,4.17
MGMT,4.17,81.25,4.17
AOX1,4.17,100.0,4.17
PHF21B,4.17,81.25,4.17
PROK2,4.17,81.25,4.17
FKBP11,4.17,100.0,4.17
GRIN2A,3.12,87.5,3.12
HIF3A,3.12,100.0,3.12
PAK7,3.12,87.5,3.12
HIST1H4D,3.12,100.0,3.12
TSPAN2,3.12,81.25,3.12
PCDHGC3,3.12,87.5,3.12
GATA4,2.08,93.75,2.08
PRKG1,2.08,87.5,2.08
NPAS1,2.08,81.25,2.08
CHCHD5,2.08,100.0,2.08
B3GALNT1,2.08,100.0,2.08
RPL39L,2.08,87.5,2.08
TNFRSF10D,2.08,100.0,2.08
EHD3,1.04,87.5,1.04
SLC8A3,1.04,87.5,1.04
WNT7A,1.04,81.25,1.04
KCNQ3,1.04,81.25,1.04
ZNF304,1.04,93.75,1.04
RNF182,1.04,81.25,1.04
SDC2,1.04,81.25,1.04
DFNA5,1.04,87.5,1.04
MLH1,1.04,100.0,1.04
ADAMTS3,1.04,87.5,1.04
SFRP5,1.04,100.0,1.04
SLC6A1,1.04,81.25,1.04
SOX5,1.04,87.5,1.04
KCNK9,1.04,81.25,1.04
FAM20A,1.04,87.5,1.04
HIST1H3J,1.04,100.0,1.04
TMEM101,0.0,100.0,0.0
ADAM23,0.0,87.5,0.0
UQCRH,0.0,100.0,0.0
FOXE1,0.0,75.0,0.0
SNX32,20.83,68.75,0.0
GSTP1,0.0,100.0,0.0
CACNG2,0.0,81.25,0.0
ATRNL1,0.0,87.5,0.0
LOC283856,0.0,87.5,0.0
ST6GALNAC5,40.62,56.25,0.0
ZNF365,0.0,93.75,0.0
NETO1,41.67,56.25,0.0
GRIN3A,31.25,68.75,0.0
ZNF542,59.38,56.25,0.0
FNBP1,0.0,87.5,0.0
SNAI2,0.0,87.5,0.0
KCNC1,0.0,87.5,0.0
MIR1908,0.0,93.75,0.0
PTPN13,0.0,81.25,0.0
WDR17,23.96,62.5,0.0
SPG20,0.0,87.5,0.0
NDRG4,0.0,87.5,0.0
JAKMIP1,6.25,75.0,0.0
SLC22A17,0.0,87.5,0.0
MME,6.25,75.0,0.0
KCNS3,0.0,81.25,0.0
IRX4,0.0,87.5,0.0
JPH3,6.25,75.0,0.0
ELOVL4,0.0,81.25,0.0
KCNT2,4.17,56.25,0.0
TWIST1,2.08,62.5,0.0
LRRC4,3.12,62.5,0.0
SNCA,7.29,50.0,0.0
ELMO1,13.54,25.0,0.0
NPR3,2.08,68.75,0.0
CPXM1,18.75,62.5,0.0
NELL2,0.0,87.5,0.0
LOC100130148,0.0,100.0,0.0
