Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
UBE2V2,43.75,87.5,43.75
BEND2,28.12,93.75,28.12
LMLN,27.08,100.0,27.08
MRPL30,23.96,93.75,23.96
PPP4C,21.88,81.25,21.88
TNFRSF10A,20.83,81.25,20.83
ATXN3,20.83,81.25,20.83
TKTL2,19.79,81.25,19.79
FOLH1,19.79,93.75,19.79
C11orf49,18.75,87.5,18.75
MFF,17.71,100.0,17.71
TMEM138,15.62,81.25,15.62
ABHD12B,14.58,93.75,14.58
EBPL,14.58,93.75,14.58
MTMR6,13.54,100.0,13.54
SLC12A5,12.5,81.25,12.5
TRPC3,12.5,100.0,12.5
RRM2,12.5,81.25,12.5
TXNL4A,11.46,93.75,11.46
HIF3A,10.42,87.5,10.42
DYDC2,9.38,87.5,9.38
MRTO4,9.38,87.5,9.38
C2orf47,7.29,87.5,7.29
DDX49,6.25,81.25,6.25
SRBD1,6.25,93.75,6.25
RNF8,6.25,81.25,6.25
APOA4,6.25,81.25,6.25
DIRAS3,6.25,93.75,6.25
DCAF4L2,5.21,100.0,5.21
DYRK2,5.21,81.25,5.21
CALCB,5.21,93.75,5.21
COQ3,5.21,81.25,5.21
CRH,5.21,100.0,5.21
CNOT6,5.21,87.5,5.21
MSH3,5.21,87.5,5.21
IKBKAP,5.21,87.5,5.21
TMEM90B,5.21,93.75,5.21
GSTP1,4.17,87.5,4.17
MTM1,4.17,81.25,4.17
RNF115,3.12,100.0,3.12
NOS1,3.12,81.25,3.12
PKN1,3.12,81.25,3.12
RETN,3.12,100.0,3.12
TDRD1,3.12,100.0,3.12
FANCG,2.08,100.0,2.08
CACNA1H,2.08,93.75,2.08
COG8,2.08,100.0,2.08
CDH4,1.04,100.0,1.04
EIF3I,1.04,87.5,1.04
DCLK1,1.04,81.25,1.04
ZNF532,1.04,100.0,1.04
KRT19,1.04,87.5,1.04
ARL13B,1.04,100.0,1.04
STRN3,1.04,87.5,1.04
LIMCH1,1.04,81.25,1.04
PMEPA1,1.04,87.5,1.04
BSND,1.04,93.75,1.04
BSCL2,0.0,100.0,0.0
FXC1,0.0,62.5,0.0
C1orf229,1.04,25.0,0.0
NFKBIB,0.0,100.0,0.0
MAMDC4,0.0,81.25,0.0
PLAGL1,0.0,93.75,0.0
CRHR1,6.25,62.5,0.0
SCRN1,2.08,31.25,0.0
SMAP1,4.17,43.75,0.0
DHX40,0.0,100.0,0.0
KCNIP1,0.0,100.0,0.0
EXOC3L2,0.0,93.75,0.0
STXBP2,0.0,93.75,0.0
SYNE2,0.0,87.5,0.0
EFNA3,0.0,25.0,0.0
TSPAN4,1.04,31.25,0.0
CACNG3,37.5,56.25,0.0
FAM129A,0.0,31.25,0.0
KLHL1,0.0,100.0,0.0
ELANE,12.5,75.0,0.0
CAPN2,7.29,25.0,0.0
SFN,22.92,18.75,0.0
CRCT1,3.12,75.0,0.0
ACTL6B,36.46,75.0,0.0
PRR18,2.08,25.0,0.0
CNTD2,5.21,25.0,0.0
C18orf16,13.54,50.0,0.0
CBLC,9.38,18.75,0.0
TOLLIP,17.71,68.75,0.0
PDPK1,9.38,56.25,0.0
SHANK1,12.5,75.0,0.0
ZC3H3,9.38,75.0,0.0
NUMA1,7.29,18.75,0.0
C21orf70,3.12,75.0,0.0
SLC2A10,3.12,18.75,0.0
SNRPA,4.17,31.25,0.0
TRPM6,13.54,75.0,0.0
LUC7L,0.0,100.0,0.0
C1orf124,11.46,25.0,0.0
OLFM1,3.12,75.0,0.0
C18orf22,5.21,56.25,0.0
TP73,55.21,75.0,0.0
MAK16,7.29,31.25,0.0
BEST4,2.08,75.0,0.0
ZDHHC3,1.04,75.0,0.0
HBZ,8.33,25.0,0.0
S100A13,4.17,75.0,0.0
SLC6A6,4.17,75.0,0.0
SNTB1,9.38,75.0,0.0
LTB4R2,0.0,100.0,0.0
