Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
SOX5,36.79,88.89,36.79
FNBP1,33.41,85.19,33.41
PCDHGC3,29.12,85.19,29.12
ZNF569,28.44,85.19,28.44
RPL39L,27.31,85.19,27.31
SLC8A3,26.86,81.48,26.86
ATRNL1,26.19,88.89,26.19
KCNS3,26.19,81.48,26.19
BEND5,25.73,88.89,25.73
LOC283856,25.28,81.48,25.28
EHD3,24.38,88.89,24.38
NPAS1,24.15,92.59,24.15
SNAI2,23.48,81.48,23.48
MME,22.57,88.89,22.57
HIST1H2BB,22.12,92.59,22.12
NDRG4,21.9,85.19,21.9
ZNF570,21.22,85.19,21.22
VAV3,19.19,100.0,19.19
LOC100130148,17.16,96.3,17.16
ZNF345,17.16,88.89,17.16
RNF182,16.48,81.48,16.48
ADAM23,15.58,88.89,15.58
MLH1,12.42,100.0,12.42
B3GALNT1,9.93,81.48,9.93
HAAO,9.71,88.89,9.71
HIST1H4D,5.64,100.0,5.64
ZNF304,5.19,92.59,5.19
HIST1H3J,4.06,100.0,4.06
CHCHD5,2.93,100.0,2.93
FKBP11,2.48,100.0,2.48
TNFRSF10D,1.58,100.0,1.58
GSTP1,0.68,100.0,0.68
LOXL3,0.23,100.0,0.23
KCNC1,23.93,37.04,0.0
DFNA5,12.42,59.26,0.0
GRIN2A,7.9,40.74,0.0
PHF21B,22.12,37.04,0.0
SDC2,21.9,62.96,0.0
FOXE1,39.95,3.7,0.0
WDR17,39.95,70.37,0.0
CPXM1,38.37,70.37,0.0
WNT7A,29.12,3.7,0.0
GFRA3,23.48,70.37,0.0
ERBB4,35.89,14.81,0.0
TMEM121,24.83,14.81,0.0
SLITRK5,54.4,0.0,0.0
TSPAN2,17.38,77.78,0.0
PRKG1,28.22,11.11,0.0
SLC22A17,41.08,7.41,0.0
MGMT,5.87,55.56,0.0
GATA4,1.58,14.81,0.0
ZBTB16,19.19,62.96,0.0
SNX32,62.75,0.0,0.0
ZNF542,67.04,14.81,0.0
KCNQ3,23.25,44.44,0.0
GRIN3A,43.12,3.7,0.0
NETO1,42.89,22.22,0.0
ST6GALNAC5,59.82,29.63,0.0
CACNG2,18.06,77.78,0.0
MIR1908,23.25,51.85,0.0
NELL2,29.8,77.78,0.0
UQCRH,0.0,100.0,0.0
PTPN13,31.83,66.67,0.0
ZNF365,28.44,22.22,0.0
SPG20,17.16,37.04,0.0
GALR1,49.89,3.7,0.0
MIR34B,48.08,7.41,0.0
SLC16A12,46.05,3.7,0.0
BMPER,37.47,18.52,0.0
SNCA,36.12,44.44,0.0
CUX2,29.8,3.7,0.0
ME3,0.23,33.33,0.0
AOX1,9.48,14.81,0.0
SPDYA,29.57,66.67,0.0
SORCS3,20.32,3.7,0.0
ELOVL4,39.28,0.0,0.0
GABRB2,15.8,33.33,0.0
KCNT2,29.57,18.52,0.0
PAK7,28.67,7.41,0.0
MT1E,3.16,29.63,0.0
TWIST1,50.34,55.56,0.0
FUT9,13.32,18.52,0.0
SFRP5,4.06,7.41,0.0
GFRA1,31.15,7.41,0.0
HIF3A,6.09,33.33,0.0
DLK1,23.93,14.81,0.0
DTX1,46.05,62.96,0.0
LRRC4,28.89,11.11,0.0
PCDH17,31.15,14.81,0.0
SLC30A2,37.02,3.7,0.0
RERG,17.61,37.04,0.0
EPHA7,29.35,22.22,0.0
TMEM101,0.0,100.0,0.0
RET,30.47,11.11,0.0
CRHR2,32.28,3.7,0.0
SLC6A1,20.77,7.41,0.0
RBM24,28.22,59.26,0.0
NPR3,55.08,51.85,0.0
JAKMIP1,27.31,44.44,0.0
PRR16,32.51,14.81,0.0
KCNK9,40.18,0.0,0.0
PROK2,35.21,25.93,0.0
SCNN1B,52.82,7.41,0.0
ELMO1,55.53,7.41,0.0
PLCB1,15.8,66.67,0.0
EPO,20.09,62.96,0.0
FAM20A,38.83,0.0,0.0
IRX4,30.02,7.41,0.0
JPH3,29.57,7.41,0.0
ADAMTS3,44.02,25.93,0.0
