Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
MRPL30,40.63,100.0,40.63
MSH3,33.86,81.48,33.86
UBE2V2,30.7,100.0,30.7
ABHD12B,29.35,92.59,29.35
ATXN3,28.67,100.0,28.67
TKTL2,23.93,100.0,23.93
TXNL4A,23.48,100.0,23.48
BEND2,23.25,100.0,23.25
TRPC3,23.02,100.0,23.02
ACTL6B,22.12,96.3,22.12
MTMR6,19.19,100.0,19.19
TNFRSF10A,18.96,85.19,18.96
COQ3,17.38,92.59,17.38
TOLLIP,17.38,96.3,17.38
S100A13,16.7,92.59,16.7
CNTD2,14.9,96.3,14.9
IKBKAP,13.54,85.19,13.54
C11orf49,13.09,96.3,13.09
EBPL,12.42,100.0,12.42
ARL13B,12.42,96.3,12.42
SHANK1,11.96,100.0,11.96
SLC12A5,11.29,85.19,11.29
CBLC,11.06,96.3,11.06
KRT19,11.06,96.3,11.06
GSTP1,10.84,96.3,10.84
CRCT1,10.84,88.89,10.84
OLFM1,10.61,100.0,10.61
DYRK2,10.16,96.3,10.16
MTM1,8.8,81.48,8.8
RNF8,8.35,100.0,8.35
APOA4,8.13,81.48,8.13
TMEM138,8.13,81.48,8.13
CDH4,8.13,100.0,8.13
CNOT6,7.9,100.0,7.9
C2orf47,7.45,100.0,7.45
TP73,7.45,100.0,7.45
TRPM6,7.22,100.0,7.22
ZDHHC3,6.77,96.3,6.77
FOLH1,6.77,100.0,6.77
STRN3,6.77,100.0,6.77
DCLK1,6.32,92.59,6.32
PDPK1,6.32,100.0,6.32
TMEM90B,5.64,100.0,5.64
SLC6A6,5.64,100.0,5.64
RNF115,5.42,100.0,5.42
FANCG,5.19,100.0,5.19
SRBD1,4.97,96.3,4.97
LUC7L,4.74,100.0,4.74
RETN,4.51,100.0,4.51
KLHL1,4.51,100.0,4.51
TSPAN4,4.29,96.3,4.29
LMLN,4.06,100.0,4.06
CRH,3.39,100.0,3.39
SMAP1,3.16,81.48,3.16
DCAF4L2,3.16,100.0,3.16
DIRAS3,3.16,96.3,3.16
C1orf229,2.93,92.59,2.93
NUMA1,2.71,100.0,2.71
ZNF532,2.71,100.0,2.71
CALCB,2.48,100.0,2.48
EIF3I,2.26,100.0,2.26
FXC1,2.03,96.3,2.03
CACNA1H,2.03,100.0,2.03
DHX40,1.35,100.0,1.35
SNTB1,1.35,100.0,1.35
BSND,1.13,100.0,1.13
PMEPA1,1.13,100.0,1.13
TDRD1,1.13,100.0,1.13
PLAGL1,0.68,100.0,0.68
KCNIP1,0.45,100.0,0.45
STXBP2,0.45,100.0,0.45
SYNE2,0.45,100.0,0.45
BSCL2,0.23,100.0,0.23
EXOC3L2,0.23,100.0,0.23
MAMDC4,0.23,100.0,0.23
SCRN1,8.8,70.37,0.0
EFNA3,3.84,77.78,0.0
NFKBIB,0.0,96.3,0.0
LIMCH1,2.93,70.37,0.0
CACNG3,27.31,62.96,0.0
CRHR1,5.42,70.37,0.0
PPP4C,7.67,14.81,0.0
MFF,27.54,74.07,0.0
MRTO4,30.93,74.07,0.0
ELANE,10.16,33.33,0.0
CAPN2,41.76,11.11,0.0
HIF3A,15.12,48.15,0.0
SFN,23.25,7.41,0.0
COG8,28.89,7.41,0.0
DYDC2,29.8,51.85,0.0
PRR18,10.84,62.96,0.0
C18orf16,13.77,37.04,0.0
ZC3H3,16.25,77.78,0.0
C21orf70,10.61,51.85,0.0
FAM129A,6.09,66.67,0.0
NOS1,9.71,29.63,0.0
DDX49,6.77,77.78,0.0
SNRPA,7.22,59.26,0.0
C1orf124,21.67,44.44,0.0
C18orf22,7.45,62.96,0.0
MAK16,5.87,48.15,0.0
RRM2,27.54,55.56,0.0
BEST4,14.0,40.74,0.0
HBZ,6.55,11.11,0.0
PKN1,5.64,62.96,0.0
SLC2A10,9.71,77.78,0.0
LTB4R2,0.0,100.0,0.0
