Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
HAAO,65.55,0,0
BEND5,0.0,0,0
ZNF570,0.0,0,0
PCDHGC3,0.24,0,0
DFNA5,0.0,0,0
WNT7A,0.48,0,0
ZNF569,0.0,0,0
ERBB4,0.0,0,0
TMEM121,0.0,0,0
VAV3,0.0,0,0
TSPAN2,0.96,0,0
PRKG1,2.63,0,0
SLC22A17,0.0,0,0
SLC8A3,0.72,0,0
PHF21B,0.0,0,0
BMPER,0.0,0,0
RERG,3.11,0,0
TMEM101,0.0,0,0
RET,2.15,0,0
SOX5,0.0,0,0
SLC6A1,0.0,0,0
B3GALNT1,1.67,0,0
NPAS1,1.2,0,0
JAKMIP1,0.0,0,0
PRR16,24.16,0,0
KCNK9,0.72,0,0
SDC2,0.0,0,0
GRIN2A,1.44,0,0
SCNN1B,16.51,0,0
GSTP1,0.0,0,0
MIR1908,0.0,0,0
KCNC1,0.0,0,0
SNAI2,0.0,0,0
FNBP1,0.0,0,0
KCNQ3,0.0,0,0
ZNF345,0.0,0,0
CHCHD5,0.0,0,0
LOC283856,0.0,0,0
FKBP11,1.44,0,0
ATRNL1,0.48,0,0
CACNG2,0.0,0,0
MLH1,0.0,0,0
MGMT,19.62,0,0
ZNF304,0.0,0,0
UQCRH,0.0,0,0
ADAM23,0.0,0,0
PTPN13,0.24,0,0
ZNF365,0.0,0,0
SPG20,0.0,0,0
NDRG4,0.0,0,0
EHD3,0.0,0,0
NELL2,0.0,0,0
ZBTB16,0.0,0,0
RNF182,0.24,0,0
MME,3.11,0,0
ADAMTS3,0.0,0,0
KCNS3,32.3,0,0
WDR17,0.0,0,0
SLC16A12,5.98,0,0
ELMO1,0.72,0,0
PROK2,0.96,0,0
NPR3,11.96,0,0
RBM24,6.7,0,0
CRHR2,3.59,0,0
TNFRSF10D,40.43,0,0
RPL39L,24.88,0,0
HIST1H3J,2.87,0,0
SLITRK5,0.0,0,0
CPXM1,0.0,0,0
FOXE1,7.89,0,0
PLCB1,0.0,0,0
GFRA3,0.48,0,0
HIST1H2BB,1.91,0,0
GATA4,5.26,0,0
GALR1,11.0,0,0
LOXL3,6.22,0,0
SNX32,0.0,0,0
ST6GALNAC5,0.0,0,0
NETO1,13.4,0,0
GRIN3A,33.73,0,0
ZNF542,11.48,0,0
MIR34B,11.48,0,0
SNCA,11.48,0,0
LRRC4,0.0,0,0
DTX1,0.0,0,0
DLK1,6.46,0,0
EPO,0.48,0,0
FAM20A,9.81,0,0
IRX4,5.5,0,0
JPH3,1.91,0,0
EPHA7,0.48,0,0
SLC30A2,3.59,0,0
HIST1H4D,6.46,0,0
CUX2,0.0,0,0
PCDH17,0.0,0,0
ME3,0.72,0,0
AOX1,2.87,0,0
SPDYA,1.67,0,0
SORCS3,3.11,0,0
ELOVL4,7.42,0,0
GABRB2,19.86,0,0
KCNT2,0.0,0,0
PAK7,1.67,0,0
MT1E,5.74,0,0
TWIST1,2.15,0,0
FUT9,0.96,0,0
SFRP5,0.72,0,0
GFRA1,2.87,0,0
HIF3A,1.67,0,0
LOC100130148,0.0,0,0
