Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,24.16,0,0
SMAP1,6.46,0,0
CRHR1,0.0,0,0
RETN,19.38,0,0
C1orf229,3.35,0,0
FXC1,8.61,0,0
TSPAN4,4.31,0,0
CNOT6,1.67,0,0
FAM129A,0.72,0,0
SLC2A10,0.24,0,0
SNTB1,0.96,0,0
SLC6A6,4.31,0,0
LMLN,0.96,0,0
PKN1,7.66,0,0
S100A13,0.96,0,0
EBPL,2.39,0,0
HBZ,15.07,0,0
ZDHHC3,11.72,0,0
FANCG,4.31,0,0
CDH4,9.33,0,0
BEST4,23.21,0,0
TMEM90B,3.35,0,0
SRBD1,2.87,0,0
RRM2,0.96,0,0
CRH,44.98,0,0
TDRD1,16.99,0,0
DCLK1,28.47,0,0
MAK16,0.24,0,0
EIF3I,0.24,0,0
NFKBIB,2.39,0,0
MAMDC4,0.24,0,0
PLAGL1,0.72,0,0
BSND,3.35,0,0
CACNA1H,0.0,0,0
BSCL2,28.71,0,0
DHX40,2.39,0,0
KCNIP1,3.11,0,0
EXOC3L2,2.39,0,0
APOA4,0.96,0,0
DIRAS3,1.67,0,0
LIMCH1,0.0,0,0
DCAF4L2,1.91,0,0
STXBP2,3.11,0,0
RNF115,4.07,0,0
SYNE2,1.44,0,0
EFNA3,0.24,0,0
CALCB,3.59,0,0
PMEPA1,9.33,0,0
SCRN1,2.39,0,0
DYRK2,0.0,0,0
MTM1,14.59,0,0
ZNF532,42.82,0,0
FOLH1,11.0,0,0
C2orf47,1.44,0,0
UBE2V2,6.22,0,0
PDPK1,0.48,0,0
CBLC,0.0,0,0
C18orf16,61.24,0,0
CNTD2,0.48,0,0
IKBKAP,26.56,0,0
GSTP1,24.4,0,0
ARL13B,28.71,0,0
PRR18,16.75,0,0
ACTL6B,34.69,0,0
TMEM138,26.56,0,0
DYDC2,62.68,0,0
MTMR6,28.71,0,0
CRCT1,51.67,0,0
ATXN3,3.83,0,0
COG8,26.08,0,0
SFN,1.2,0,0
HIF3A,52.87,0,0
CAPN2,9.81,0,0
COQ3,36.84,0,0
ELANE,27.75,0,0
MRTO4,29.43,0,0
MFF,47.13,0,0
TXNL4A,3.83,0,0
MRPL30,11.0,0,0
TOLLIP,0.24,0,0
SLC12A5,8.37,0,0
TP73,20.57,0,0
RNF8,1.91,0,0
C18orf22,4.31,0,0
MSH3,32.78,0,0
OLFM1,3.11,0,0
C1orf124,0.48,0,0
LUC7L,33.25,0,0
TRPM6,4.55,0,0
SNRPA,5.98,0,0
TKTL2,4.07,0,0
DDX49,2.39,0,0
TNFRSF10A,0.24,0,0
NOS1,18.66,0,0
C21orf70,8.61,0,0
PPP4C,33.73,0,0
KLHL1,27.75,0,0
NUMA1,0.0,0,0
KRT19,19.14,0,0
ABHD12B,25.12,0,0
ZC3H3,7.18,0,0
TRPC3,21.53,0,0
STRN3,2.63,0,0
BEND2,14.59,0,0
C11orf49,17.46,0,0
SHANK1,2.87,0,0
LTB4R2,0.0,0,0
