Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
UBE2V2,23.48,94.0,23.48
BEND2,20.83,98.0,20.83
LMLN,19.7,100.0,19.7
CACNG3,18.56,96.0,18.56
C18orf16,17.05,84.0,17.05
ATXN3,14.96,98.0,14.96
TNFRSF10A,14.39,100.0,14.39
TOLLIP,13.26,100.0,13.26
TMEM138,13.07,98.0,13.07
HBZ,11.93,84.0,11.93
MFF,11.93,98.0,11.93
HIF3A,10.98,90.0,10.98
TXNL4A,10.8,100.0,10.8
CAPN2,10.04,96.0,10.04
MTMR6,9.85,100.0,9.85
C11orf49,9.47,98.0,9.47
RRM2,9.47,100.0,9.47
EBPL,9.28,90.0,9.28
MRTO4,9.28,100.0,9.28
TKTL2,8.9,100.0,8.9
DYDC2,8.71,100.0,8.71
COQ3,8.33,100.0,8.33
BEST4,8.33,94.0,8.33
MRPL30,7.58,100.0,7.58
CRHR1,7.39,98.0,7.39
RNF8,6.82,96.0,6.82
ZC3H3,6.82,94.0,6.82
DDX49,6.82,100.0,6.82
FOLH1,6.63,96.0,6.63
MAK16,6.44,82.0,6.44
S100A13,6.44,92.0,6.44
ABHD12B,5.87,98.0,5.87
CNTD2,5.49,100.0,5.49
SCRN1,5.3,100.0,5.3
IKBKAP,4.73,100.0,4.73
ARL13B,4.73,100.0,4.73
PKN1,4.73,98.0,4.73
TRPC3,4.73,100.0,4.73
CRCT1,4.73,100.0,4.73
MTM1,4.73,100.0,4.73
C1orf124,4.73,98.0,4.73
C2orf47,4.55,100.0,4.55
GSTP1,4.55,84.0,4.55
SRBD1,3.98,92.0,3.98
SLC12A5,3.6,94.0,3.6
BSND,3.41,100.0,3.41
CNOT6,3.22,100.0,3.22
KRT19,3.03,96.0,3.03
FANCG,3.03,100.0,3.03
CACNA1H,2.84,98.0,2.84
STXBP2,2.84,96.0,2.84
C1orf229,2.84,94.0,2.84
DCAF4L2,2.65,100.0,2.65
SNRPA,2.46,86.0,2.46
COG8,2.46,98.0,2.46
TDRD1,2.46,100.0,2.46
PRR18,2.27,100.0,2.27
DCLK1,2.27,96.0,2.27
ZNF532,2.27,100.0,2.27
TSPAN4,2.27,84.0,2.27
MSH3,2.27,100.0,2.27
OLFM1,2.27,98.0,2.27
EFNA3,2.08,96.0,2.08
RETN,2.08,100.0,2.08
DHX40,1.89,100.0,1.89
CRH,1.89,96.0,1.89
CALCB,1.7,100.0,1.7
SYNE2,1.7,94.0,1.7
RNF115,1.7,100.0,1.7
PMEPA1,1.52,100.0,1.52
STRN3,1.52,100.0,1.52
NOS1,1.33,100.0,1.33
CDH4,1.33,100.0,1.33
KLHL1,1.14,100.0,1.14
DIRAS3,0.95,98.0,0.95
TMEM90B,0.95,100.0,0.95
FAM129A,0.76,100.0,0.76
ZDHHC3,0.57,92.0,0.57
LIMCH1,0.57,98.0,0.57
LUC7L,0.57,100.0,0.57
PLAGL1,0.19,86.0,0.19
KCNIP1,0.19,100.0,0.19
FXC1,0.19,98.0,0.19
PPP4C,15.34,26.0,0.0
TRPM6,12.31,80.0,0.0
BSCL2,0.0,100.0,0.0
C18orf22,8.52,46.0,0.0
EXOC3L2,0.0,96.0,0.0
APOA4,6.82,74.0,0.0
MAMDC4,0.0,100.0,0.0
NFKBIB,0.0,98.0,0.0
SHANK1,11.55,68.0,0.0
TP73,35.98,20.0,0.0
NUMA1,5.3,46.0,0.0
SLC2A10,4.73,58.0,0.0
ELANE,14.96,32.0,0.0
DYRK2,5.49,54.0,0.0
SFN,19.89,40.0,0.0
EIF3I,0.0,96.0,0.0
PDPK1,8.33,72.0,0.0
SMAP1,5.68,72.0,0.0
CBLC,9.28,54.0,0.0
ACTL6B,18.18,72.0,0.0
SLC6A6,5.11,16.0,0.0
SNTB1,7.2,58.0,0.0
C21orf70,1.33,56.0,0.0
LTB4R2,0.0,100.0,0.0
