Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
GSTP1,23.58,86.0,23.58
RPL39L,18.16,86.0,18.16
SNCA,16.53,90.0,16.53
CRHR2,15.99,100.0,15.99
ELOVL4,13.82,94.0,13.82
SLITRK5,13.55,100.0,13.55
CPXM1,13.55,86.0,13.55
TWIST1,11.92,96.0,11.92
EPHA7,11.38,98.0,11.38
ST6GALNAC5,10.84,92.0,10.84
BMPER,10.84,92.0,10.84
TMEM121,10.3,92.0,10.3
NETO1,9.21,96.0,9.21
FOXE1,8.94,88.0,8.94
HIF3A,8.67,100.0,8.67
NPAS1,7.32,100.0,7.32
MIR34B,7.32,100.0,7.32
SCNN1B,7.05,100.0,7.05
IRX4,6.23,100.0,6.23
GABRB2,6.23,100.0,6.23
BEND5,5.96,88.0,5.96
ADAMTS3,5.96,98.0,5.96
KCNQ3,5.42,100.0,5.42
CACNG2,5.42,100.0,5.42
SFRP5,5.42,98.0,5.42
GALR1,5.15,100.0,5.15
PCDHGC3,4.88,98.0,4.88
MT1E,4.61,100.0,4.61
PRR16,4.34,96.0,4.34
ERBB4,4.34,100.0,4.34
JPH3,4.07,82.0,4.07
RET,3.79,100.0,3.79
DLK1,3.79,100.0,3.79
ATRNL1,3.52,98.0,3.52
ME3,3.25,94.0,3.25
HIST1H4D,3.25,100.0,3.25
PAK7,3.25,100.0,3.25
NPR3,2.98,98.0,2.98
FUT9,2.98,98.0,2.98
DTX1,2.71,100.0,2.71
ZNF542,2.71,98.0,2.71
RBM24,2.44,100.0,2.44
RERG,2.44,84.0,2.44
SLC30A2,2.44,100.0,2.44
SLC8A3,2.17,100.0,2.17
ADAM23,2.17,100.0,2.17
PLCB1,1.9,100.0,1.9
KCNC1,1.36,100.0,1.36
SPG20,1.36,100.0,1.36
HIST1H2BB,1.36,88.0,1.36
MLH1,1.36,100.0,1.36
KCNT2,1.36,100.0,1.36
SLC16A12,1.36,100.0,1.36
ZNF570,1.36,98.0,1.36
PHF21B,1.36,100.0,1.36
KCNK9,1.08,100.0,1.08
SORCS3,1.08,100.0,1.08
NDRG4,1.08,100.0,1.08
DFNA5,1.08,100.0,1.08
ZNF569,0.81,100.0,0.81
GRIN3A,0.81,98.0,0.81
GRIN2A,0.81,100.0,0.81
MGMT,0.54,98.0,0.54
MIR1908,0.54,100.0,0.54
AOX1,0.54,98.0,0.54
EPO,0.54,100.0,0.54
FKBP11,0.27,100.0,0.27
LOC283856,0.27,100.0,0.27
ZBTB16,0.27,100.0,0.27
HAAO,0.27,98.0,0.27
SLC6A1,0.27,100.0,0.27
CUX2,0.27,100.0,0.27
SLC22A17,8.94,64.0,0.0
WDR17,8.94,62.0,0.0
LRRC4,51.76,0.0,0.0
UQCRH,0.0,100.0,0.0
ZNF304,0.0,88.0,0.0
ELMO1,0.0,100.0,0.0
PROK2,10.3,74.0,0.0
TNFRSF10D,0.0,100.0,0.0
HIST1H3J,37.13,52.0,0.0
GFRA3,85.91,0.0,0.0
ZNF365,1.9,72.0,0.0
CHCHD5,0.0,98.0,0.0
ZNF345,0.0,100.0,0.0
GATA4,0.0,100.0,0.0
FNBP1,0.0,100.0,0.0
SNAI2,0.0,96.0,0.0
LOXL3,36.31,78.0,0.0
SNX32,22.76,12.0,0.0
PTPN13,14.91,34.0,0.0
GFRA1,0.0,100.0,0.0
PRKG1,2.98,78.0,0.0
SPDYA,27.1,30.0,0.0
TSPAN2,14.36,78.0,0.0
VAV3,4.61,78.0,0.0
TMEM101,0.0,100.0,0.0
SOX5,0.0,96.0,0.0
WNT7A,4.61,72.0,0.0
B3GALNT1,26.83,4.0,0.0
JAKMIP1,9.49,72.0,0.0
MME,0.0,76.0,0.0
SDC2,0.0,98.0,0.0
KCNS3,15.72,20.0,0.0
FAM20A,0.0,100.0,0.0
RNF182,13.55,30.0,0.0
PCDH17,1.63,80.0,0.0
NELL2,5.42,76.0,0.0
EHD3,1.9,56.0,0.0
LOC100130148,0.0,98.0,0.0
