Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
UBE2V2,57.18,100.0,57.18
TKTL2,52.3,100.0,52.3
MTMR6,47.43,98.0,47.43
CRCT1,47.15,100.0,47.15
KLHL1,45.53,100.0,45.53
BEND2,44.44,96.0,44.44
CDH4,44.17,86.0,44.17
TMEM90B,39.84,96.0,39.84
TOLLIP,39.3,82.0,39.3
TRPC3,38.21,100.0,38.21
SLC12A5,35.77,100.0,35.77
CAPN2,35.23,98.0,35.23
DCLK1,34.96,98.0,34.96
NOS1,34.69,98.0,34.69
TXNL4A,34.42,100.0,34.42
DCAF4L2,34.42,100.0,34.42
MRPL30,34.42,96.0,34.42
PMEPA1,32.79,96.0,32.79
MFF,32.79,100.0,32.79
HIF3A,31.71,100.0,31.71
TDRD1,31.44,98.0,31.44
CALCB,31.44,98.0,31.44
KRT19,31.17,100.0,31.17
ATXN3,30.62,100.0,30.62
RETN,30.35,98.0,30.35
KCNIP1,30.08,100.0,30.08
CRHR1,29.54,100.0,29.54
SHANK1,27.37,100.0,27.37
C2orf47,27.37,82.0,27.37
ZC3H3,25.47,96.0,25.47
STRN3,25.2,100.0,25.2
COQ3,24.93,100.0,24.93
C1orf124,23.58,100.0,23.58
COG8,23.31,100.0,23.31
MTM1,22.76,98.0,22.76
DDX49,21.14,98.0,21.14
ARL13B,17.89,98.0,17.89
TSPAN4,17.89,100.0,17.89
MRTO4,14.91,100.0,14.91
TRPM6,14.63,100.0,14.63
ACTL6B,14.36,100.0,14.36
ABHD12B,14.09,100.0,14.09
IKBKAP,13.82,100.0,13.82
PDPK1,13.28,100.0,13.28
PKN1,11.38,100.0,11.38
ELANE,10.84,100.0,10.84
TNFRSF10A,9.49,100.0,9.49
TMEM138,9.49,100.0,9.49
C18orf16,9.21,100.0,9.21
S100A13,7.32,100.0,7.32
C21orf70,6.78,98.0,6.78
HBZ,6.78,100.0,6.78
EBPL,6.78,100.0,6.78
DIRAS3,6.78,100.0,6.78
SCRN1,5.96,100.0,5.96
RRM2,5.15,100.0,5.15
SNRPA,5.15,100.0,5.15
CRH,4.61,98.0,4.61
BSND,4.61,100.0,4.61
DYRK2,4.34,100.0,4.34
SLC6A6,4.34,100.0,4.34
MSH3,4.34,100.0,4.34
APOA4,4.07,98.0,4.07
DYDC2,3.79,100.0,3.79
GSTP1,3.52,100.0,3.52
RNF8,3.52,100.0,3.52
BEST4,3.52,100.0,3.52
PLAGL1,3.52,94.0,3.52
MAK16,3.25,100.0,3.25
RNF115,3.25,100.0,3.25
FOLH1,2.98,100.0,2.98
SFN,2.98,100.0,2.98
LIMCH1,2.71,100.0,2.71
LUC7L,2.17,100.0,2.17
CNOT6,2.17,100.0,2.17
CACNA1H,2.17,100.0,2.17
EXOC3L2,2.17,90.0,2.17
ZDHHC3,1.63,100.0,1.63
FANCG,1.63,100.0,1.63
SRBD1,1.63,100.0,1.63
C18orf22,1.63,100.0,1.63
SMAP1,1.36,100.0,1.36
TP73,1.36,100.0,1.36
ZNF532,1.08,100.0,1.08
LTB4R2,0.81,100.0,0.81
PPP4C,0.54,100.0,0.54
DHX40,0.54,100.0,0.54
SYNE2,0.54,100.0,0.54
SLC2A10,0.54,100.0,0.54
LMLN,0.54,100.0,0.54
EFNA3,0.27,100.0,0.27
STXBP2,0.27,100.0,0.27
SNTB1,0.27,100.0,0.27
BSCL2,0.27,100.0,0.27
NFKBIB,0.0,100.0,0.0
MAMDC4,21.68,16.0,0.0
PRR18,39.3,10.0,0.0
CNTD2,59.35,0.0,0.0
CBLC,0.0,100.0,0.0
EIF3I,0.0,100.0,0.0
C11orf49,27.1,72.0,0.0
NUMA1,0.0,100.0,0.0
C1orf229,29.54,34.0,0.0
OLFM1,33.06,78.0,0.0
FAM129A,49.32,10.0,0.0
FXC1,0.0,100.0,0.0
CACNG3,59.08,64.0,0.0
