Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,39.42,0,0
SMAP1,33.65,0,0
CRHR1,7.69,0,0
RETN,11.54,0,0
C1orf229,7.69,0,0
FXC1,0.0,0,0
TSPAN4,10.58,0,0
CNOT6,0.0,0,0
FAM129A,8.65,0,0
SLC2A10,0.0,0,0
SNTB1,0.96,0,0
SLC6A6,21.15,0,0
LMLN,0.0,0,0
PKN1,0.0,0,0
S100A13,4.81,0,0
EBPL,16.35,0,0
HBZ,19.23,0,0
ZDHHC3,3.85,0,0
FANCG,7.69,0,0
CDH4,4.81,0,0
BEST4,6.73,0,0
TMEM90B,1.92,0,0
SRBD1,2.88,0,0
RRM2,2.88,0,0
CRH,19.23,0,0
TDRD1,12.5,0,0
DCLK1,30.77,0,0
MAK16,4.81,0,0
EIF3I,0.0,0,0
NFKBIB,0.0,0,0
MAMDC4,1.92,0,0
PLAGL1,0.0,0,0
BSND,3.85,0,0
CACNA1H,0.96,0,0
BSCL2,0.0,0,0
DHX40,2.88,0,0
KCNIP1,2.88,0,0
EXOC3L2,2.88,0,0
APOA4,6.73,0,0
DIRAS3,8.65,0,0
LIMCH1,0.96,0,0
DCAF4L2,0.96,0,0
STXBP2,8.65,0,0
RNF115,1.92,0,0
SYNE2,1.92,0,0
EFNA3,0.0,0,0
CALCB,5.77,0,0
PMEPA1,2.88,0,0
SCRN1,2.88,0,0
DYRK2,0.0,0,0
MTM1,4.81,0,0
ZNF532,1.92,0,0
FOLH1,6.73,0,0
C2orf47,0.96,0,0
UBE2V2,7.69,0,0
PDPK1,11.54,0,0
CBLC,0.0,0,0
C18orf16,45.19,0,0
CNTD2,8.65,0,0
IKBKAP,11.54,0,0
GSTP1,2.88,0,0
ARL13B,4.81,0,0
PRR18,0.96,0,0
ACTL6B,30.77,0,0
TMEM138,37.5,0,0
DYDC2,34.62,0,0
MTMR6,13.46,0,0
CRCT1,26.92,0,0
ATXN3,42.31,0,0
COG8,14.42,0,0
SFN,0.96,0,0
HIF3A,14.42,0,0
CAPN2,1.92,0,0
COQ3,13.46,0,0
ELANE,13.46,0,0
MRTO4,19.23,0,0
MFF,25.0,0,0
TXNL4A,5.77,0,0
MRPL30,43.27,0,0
TOLLIP,2.88,0,0
SLC12A5,18.27,0,0
TP73,31.73,0,0
RNF8,9.62,0,0
C18orf22,6.73,0,0
MSH3,5.77,0,0
OLFM1,11.54,0,0
C1orf124,3.85,0,0
LUC7L,0.96,0,0
TRPM6,0.96,0,0
SNRPA,1.92,0,0
TKTL2,17.31,0,0
DDX49,5.77,0,0
TNFRSF10A,0.0,0,0
NOS1,24.04,0,0
C21orf70,0.96,0,0
PPP4C,8.65,0,0
KLHL1,16.35,0,0
NUMA1,0.0,0,0
KRT19,1.92,0,0
ABHD12B,25.96,0,0
ZC3H3,10.58,0,0
TRPC3,13.46,0,0
STRN3,5.77,0,0
BEND2,21.15,0,0
C11orf49,6.73,0,0
SHANK1,8.65,0,0
LTB4R2,0.0,0,0
