Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,29.03,0,0
SMAP1,12.9,0,0
CRHR1,1.61,0,0
RETN,8.06,0,0
C1orf229,1.61,0,0
FXC1,0.0,0,0
TSPAN4,16.13,0,0
CNOT6,3.23,0,0
FAM129A,0.0,0,0
SLC2A10,1.61,0,0
SNTB1,0.0,0,0
SLC6A6,1.61,0,0
LMLN,0.0,0,0
PKN1,0.0,0,0
S100A13,9.68,0,0
EBPL,11.29,0,0
HBZ,20.97,0,0
ZDHHC3,4.84,0,0
FANCG,11.29,0,0
CDH4,4.84,0,0
BEST4,3.23,0,0
TMEM90B,9.68,0,0
SRBD1,3.23,0,0
RRM2,0.0,0,0
CRH,9.68,0,0
TDRD1,6.45,0,0
DCLK1,25.81,0,0
MAK16,12.9,0,0
EIF3I,0.0,0,0
NFKBIB,0.0,0,0
MAMDC4,0.0,0,0
PLAGL1,3.23,0,0
BSND,3.23,0,0
CACNA1H,1.61,0,0
BSCL2,0.0,0,0
DHX40,4.84,0,0
KCNIP1,4.84,0,0
EXOC3L2,0.0,0,0
APOA4,4.84,0,0
DIRAS3,0.0,0,0
LIMCH1,0.0,0,0
DCAF4L2,0.0,0,0
STXBP2,3.23,0,0
RNF115,3.23,0,0
SYNE2,0.0,0,0
EFNA3,0.0,0,0
CALCB,3.23,0,0
PMEPA1,0.0,0,0
SCRN1,1.61,0,0
DYRK2,0.0,0,0
MTM1,0.0,0,0
ZNF532,3.23,0,0
FOLH1,11.29,0,0
C2orf47,3.23,0,0
UBE2V2,9.68,0,0
PDPK1,4.84,0,0
CBLC,0.0,0,0
C18orf16,17.74,0,0
CNTD2,8.06,0,0
IKBKAP,4.84,0,0
GSTP1,3.23,0,0
ARL13B,12.9,0,0
PRR18,1.61,0,0
ACTL6B,32.26,0,0
TMEM138,14.52,0,0
DYDC2,16.13,0,0
MTMR6,22.58,0,0
CRCT1,11.29,0,0
ATXN3,48.39,0,0
COG8,9.68,0,0
SFN,0.0,0,0
HIF3A,3.23,0,0
CAPN2,0.0,0,0
COQ3,11.29,0,0
ELANE,17.74,0,0
MRTO4,12.9,0,0
MFF,24.19,0,0
TXNL4A,24.19,0,0
MRPL30,46.77,0,0
TOLLIP,6.45,0,0
SLC12A5,12.9,0,0
TP73,9.68,0,0
RNF8,6.45,0,0
C18orf22,1.61,0,0
MSH3,11.29,0,0
OLFM1,3.23,0,0
C1orf124,3.23,0,0
LUC7L,3.23,0,0
TRPM6,1.61,0,0
SNRPA,0.0,0,0
TKTL2,14.52,0,0
DDX49,9.68,0,0
TNFRSF10A,0.0,0,0
NOS1,14.52,0,0
C21orf70,1.61,0,0
PPP4C,3.23,0,0
KLHL1,9.68,0,0
NUMA1,0.0,0,0
KRT19,0.0,0,0
ABHD12B,38.71,0,0
ZC3H3,3.23,0,0
TRPC3,24.19,0,0
STRN3,4.84,0,0
BEND2,33.87,0,0
C11orf49,3.23,0,0
SHANK1,6.45,0,0
LTB4R2,0.0,0,0
