Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
SCNN1B,23.4,83.74,23.4
GRIN3A,22.57,99.19,22.57
SNX32,16.36,95.93,16.36
SNCA,15.94,98.37,15.94
TWIST1,14.49,98.37,14.49
GALR1,14.49,100.0,14.49
NPR3,12.63,100.0,12.63
SFRP5,12.42,86.99,12.42
ZNF542,12.42,99.19,12.42
GATA4,12.22,99.19,12.22
PROK2,10.97,100.0,10.97
NETO1,10.56,97.56,10.56
HIST1H3J,9.94,99.19,9.94
MIR34B,9.32,98.37,9.32
ELMO1,9.32,96.75,9.32
PAK7,9.11,100.0,9.11
HIST1H2BB,8.49,91.87,8.49
CPXM1,8.49,99.19,8.49
ELOVL4,7.45,99.19,7.45
DTX1,7.25,97.56,7.25
FUT9,7.04,99.19,7.04
ST6GALNAC5,6.83,100.0,6.83
SLC8A3,6.63,100.0,6.63
NPAS1,6.21,100.0,6.21
CUX2,6.0,100.0,6.0
SLC30A2,5.8,100.0,5.8
RET,5.59,100.0,5.59
RBM24,5.59,94.31,5.59
IRX4,5.38,100.0,5.38
DLK1,5.18,100.0,5.18
MT1E,4.76,100.0,4.76
GFRA1,4.76,98.37,4.76
FOXE1,4.76,95.93,4.76
JPH3,4.76,99.19,4.76
KCNK9,4.35,99.19,4.35
KCNT2,4.35,98.37,4.35
SLC16A12,4.35,98.37,4.35
SLC22A17,4.35,100.0,4.35
HIST1H4D,4.35,100.0,4.35
GABRB2,4.14,100.0,4.14
BMPER,3.93,99.19,3.93
GFRA3,3.93,100.0,3.93
LRRC4,3.73,100.0,3.73
HIF3A,3.52,91.06,3.52
KCNC1,3.52,100.0,3.52
HAAO,3.31,100.0,3.31
WDR17,3.31,97.56,3.31
CRHR2,3.11,100.0,3.11
PRR16,3.11,99.19,3.11
ZNF365,2.9,99.19,2.9
PCDHGC3,2.9,100.0,2.9
TMEM121,2.69,100.0,2.69
EPO,2.48,100.0,2.48
AOX1,2.48,100.0,2.48
DFNA5,2.48,100.0,2.48
ATRNL1,2.48,100.0,2.48
SPDYA,2.28,100.0,2.28
PLCB1,2.28,100.0,2.28
PHF21B,2.28,99.19,2.28
BEND5,2.28,100.0,2.28
B3GALNT1,2.28,96.75,2.28
CHCHD5,2.28,98.37,2.28
SORCS3,2.28,100.0,2.28
SLITRK5,2.07,95.93,2.07
VAV3,2.07,92.68,2.07
FKBP11,2.07,100.0,2.07
JAKMIP1,2.07,92.68,2.07
ADAM23,2.07,99.19,2.07
SLC6A1,1.86,100.0,1.86
ZNF569,1.86,100.0,1.86
GRIN2A,1.66,100.0,1.66
MGMT,1.66,99.19,1.66
EPHA7,1.66,100.0,1.66
CACNG2,1.45,100.0,1.45
ADAMTS3,1.45,100.0,1.45
LOXL3,1.45,99.19,1.45
RPL39L,1.24,100.0,1.24
ZBTB16,1.24,100.0,1.24
WNT7A,1.24,96.75,1.24
PRKG1,1.24,100.0,1.24
ZNF570,1.24,100.0,1.24
TMEM101,1.24,99.19,1.24
SOX5,1.04,99.19,1.04
TSPAN2,1.04,100.0,1.04
RNF182,1.04,100.0,1.04
LOC283856,0.83,99.19,0.83
NDRG4,0.83,100.0,0.83
EHD3,0.62,100.0,0.62
KCNS3,0.62,100.0,0.62
MME,0.62,96.75,0.62
ME3,0.62,100.0,0.62
TNFRSF10D,0.62,100.0,0.62
NELL2,0.41,100.0,0.41
SDC2,0.41,100.0,0.41
SNAI2,0.41,100.0,0.41
FNBP1,0.41,100.0,0.41
PCDH17,0.41,98.37,0.41
RERG,0.41,100.0,0.41
ERBB4,0.41,100.0,0.41
UQCRH,0.21,100.0,0.21
ZNF304,0.21,97.56,0.21
KCNQ3,0.0,97.56,0.0
MIR1908,0.0,100.0,0.0
PTPN13,0.0,95.12,0.0
ZNF345,0.0,98.37,0.0
GSTP1,0.0,100.0,0.0
MLH1,0.0,100.0,0.0
FAM20A,0.0,98.37,0.0
SPG20,0.0,100.0,0.0
LOC100130148,0.0,100.0,0.0
