Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
UBE2V2,22.98,98.37,22.98
CRCT1,19.25,100.0,19.25
TXNL4A,16.56,93.5,16.56
CAPN2,16.36,85.37,16.36
MRPL30,15.11,92.68,15.11
MRTO4,13.87,80.49,13.87
RRM2,13.87,100.0,13.87
CACNG3,13.66,100.0,13.66
C1orf124,12.42,80.49,12.42
ATXN3,12.22,99.19,12.22
CNTD2,11.8,85.37,11.8
RNF8,10.97,99.19,10.97
SNTB1,10.97,99.19,10.97
MFF,10.77,86.18,10.77
MSH3,10.77,84.55,10.77
MTM1,10.77,82.93,10.77
TNFRSF10A,10.56,100.0,10.56
S100A13,10.35,100.0,10.35
COQ3,10.35,85.37,10.35
MTMR6,9.94,98.37,9.94
PKN1,9.73,100.0,9.73
SNRPA,9.52,100.0,9.52
NUMA1,9.32,97.56,9.32
LIMCH1,9.32,96.75,9.32
GSTP1,9.11,97.56,9.11
ELANE,8.7,97.56,8.7
SYNE2,8.28,97.56,8.28
TOLLIP,8.28,100.0,8.28
STRN3,8.28,98.37,8.28
SHANK1,8.07,97.56,8.07
ABHD12B,7.45,84.55,7.45
TKTL2,7.25,99.19,7.25
PDPK1,7.04,100.0,7.04
LMLN,7.04,100.0,7.04
ACTL6B,7.04,99.19,7.04
BEND2,6.83,100.0,6.83
EBPL,6.21,99.19,6.21
C2orf47,6.21,100.0,6.21
SLC12A5,6.21,86.99,6.21
C18orf22,6.0,83.74,6.0
PRR18,5.8,98.37,5.8
KRT19,5.8,86.99,5.8
CBLC,5.8,99.19,5.8
NOS1,5.59,93.5,5.59
TRPC3,5.38,91.06,5.38
SMAP1,5.38,95.93,5.38
PPP4C,5.18,97.56,5.18
ZC3H3,4.97,95.12,4.97
ARL13B,4.76,90.24,4.76
IKBKAP,4.76,94.31,4.76
OLFM1,4.76,100.0,4.76
TMEM138,4.55,100.0,4.55
RETN,4.55,100.0,4.55
TP73,4.35,98.37,4.35
C21orf70,4.35,100.0,4.35
CDH4,4.14,85.37,4.14
SCRN1,4.14,100.0,4.14
TSPAN4,3.93,99.19,3.93
CRHR1,3.73,100.0,3.73
KLHL1,3.73,94.31,3.73
LUC7L,3.52,95.12,3.52
SLC6A6,3.52,99.19,3.52
C11orf49,3.31,96.75,3.31
DYRK2,3.11,99.19,3.11
FANCG,2.9,100.0,2.9
HBZ,2.9,100.0,2.9
PMEPA1,2.9,99.19,2.9
MAK16,2.9,100.0,2.9
DDX49,2.69,100.0,2.69
TDRD1,2.48,99.19,2.48
CNOT6,2.48,100.0,2.48
CALCB,2.28,100.0,2.28
C1orf229,2.07,100.0,2.07
SLC2A10,2.07,99.19,2.07
FOLH1,2.07,96.75,2.07
APOA4,1.66,99.19,1.66
PLAGL1,1.45,94.31,1.45
SRBD1,1.45,100.0,1.45
KCNIP1,1.24,100.0,1.24
DCAF4L2,1.24,100.0,1.24
ZNF532,1.24,100.0,1.24
BEST4,1.04,90.24,1.04
DHX40,1.04,100.0,1.04
CACNA1H,1.04,100.0,1.04
DIRAS3,0.83,98.37,0.83
EXOC3L2,0.62,100.0,0.62
STXBP2,0.41,100.0,0.41
RNF115,0.41,100.0,0.41
FXC1,0.41,100.0,0.41
ZDHHC3,0.41,98.37,0.41
EFNA3,0.21,100.0,0.21
BSND,0.21,100.0,0.21
BSCL2,0.21,100.0,0.21
EIF3I,0.21,100.0,0.21
TRPM6,0.21,99.19,0.21
NFKBIB,0.0,100.0,0.0
MAMDC4,0.0,100.0,0.0
FAM129A,16.98,76.42,0.0
HIF3A,16.77,72.36,0.0
SFN,20.5,76.42,0.0
COG8,11.59,75.61,0.0
DCLK1,7.04,75.61,0.0
DYDC2,11.59,71.54,0.0
TMEM90B,3.73,71.54,0.0
C18orf16,23.81,7.32,0.0
CRH,8.28,73.98,0.0
LTB4R2,0.0,100.0,0.0
