Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
ZNF542,34.66,99.19,34.66
ME3,33.67,100.0,33.67
MIR34B,31.67,98.37,31.67
LOXL3,31.67,99.19,31.67
MT1E,21.31,100.0,21.31
HIST1H2BB,18.73,91.87,18.73
HAAO,17.13,100.0,17.13
GATA4,16.93,99.19,16.93
NETO1,15.34,97.56,15.34
FUT9,14.54,99.19,14.54
HIST1H3J,13.94,99.19,13.94
CRHR2,9.56,100.0,9.56
GRIN3A,9.16,99.19,9.16
GALR1,8.37,100.0,8.37
WDR17,7.57,97.56,7.57
SPDYA,7.17,100.0,7.17
ST6GALNAC5,7.17,100.0,7.17
DLK1,6.77,100.0,6.77
B3GALNT1,6.77,96.75,6.77
HIF3A,6.18,91.06,6.18
SCNN1B,5.38,83.74,5.38
SORCS3,4.78,100.0,4.78
RERG,4.78,100.0,4.78
TNFRSF10D,4.78,100.0,4.78
EPO,4.58,100.0,4.58
SNX32,4.38,95.93,4.38
NPR3,4.18,100.0,4.18
ELMO1,4.18,96.75,4.18
CPXM1,3.98,99.19,3.98
AOX1,3.98,100.0,3.98
PLCB1,3.78,100.0,3.78
HIST1H4D,3.78,100.0,3.78
GFRA1,3.59,98.37,3.59
ZNF569,2.99,100.0,2.99
MGMT,2.99,99.19,2.99
FOXE1,2.79,95.93,2.79
CHCHD5,2.59,98.37,2.59
RPL39L,2.59,100.0,2.59
SLC16A12,2.59,98.37,2.59
IRX4,2.39,100.0,2.39
GRIN2A,2.39,100.0,2.39
PROK2,2.39,100.0,2.39
SFRP5,2.39,86.99,2.39
CUX2,2.19,100.0,2.19
GFRA3,2.19,100.0,2.19
ZNF570,2.19,100.0,2.19
DTX1,2.19,97.56,2.19
RBM24,2.19,94.31,2.19
SLC30A2,1.99,100.0,1.99
RET,1.59,100.0,1.59
PCDHGC3,1.59,100.0,1.59
SLITRK5,1.59,95.93,1.59
SLC8A3,1.39,100.0,1.39
TWIST1,1.2,98.37,1.2
LRRC4,1.2,100.0,1.2
PRR16,1.2,99.19,1.2
PAK7,1.2,100.0,1.2
SLC6A1,1.2,100.0,1.2
FKBP11,1.2,100.0,1.2
SNCA,1.0,98.37,1.0
ZBTB16,1.0,100.0,1.0
JPH3,0.8,99.19,0.8
KCNK9,0.8,99.19,0.8
ADAM23,0.8,99.19,0.8
BMPER,0.6,99.19,0.6
PRKG1,0.6,100.0,0.6
BEND5,0.6,100.0,0.6
ZNF345,0.6,98.37,0.6
SOX5,0.6,99.19,0.6
NPAS1,0.6,100.0,0.6
MME,0.6,96.75,0.6
FAM20A,0.6,98.37,0.6
NDRG4,0.4,100.0,0.4
ATRNL1,0.4,100.0,0.4
KCNC1,0.4,100.0,0.4
WNT7A,0.4,96.75,0.4
ADAMTS3,0.4,100.0,0.4
ERBB4,0.4,100.0,0.4
VAV3,0.4,92.68,0.4
KCNT2,0.4,98.37,0.4
TSPAN2,0.4,100.0,0.4
SLC22A17,0.4,100.0,0.4
GABRB2,0.4,100.0,0.4
ELOVL4,0.4,99.19,0.4
EPHA7,0.4,100.0,0.4
DFNA5,0.2,100.0,0.2
MIR1908,0.2,100.0,0.2
KCNQ3,0.2,97.56,0.2
LOC283856,0.2,99.19,0.2
PCDH17,0.2,98.37,0.2
MLH1,0.2,100.0,0.2
KCNS3,0.2,100.0,0.2
NELL2,0.2,100.0,0.2
RNF182,0.2,100.0,0.2
SPG20,0.2,100.0,0.2
JAKMIP1,0.2,92.68,0.2
PHF21B,0.2,99.19,0.2
ZNF365,0.2,99.19,0.2
TMEM121,0.0,100.0,0.0
SDC2,0.0,100.0,0.0
SNAI2,0.0,100.0,0.0
FNBP1,0.0,100.0,0.0
PTPN13,0.0,95.12,0.0
TMEM101,0.0,99.19,0.0
EHD3,0.0,100.0,0.0
CACNG2,0.0,100.0,0.0
GSTP1,0.0,100.0,0.0
ZNF304,0.0,97.56,0.0
UQCRH,0.0,100.0,0.0
LOC100130148,0.0,100.0,0.0
