Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
MRTO4,39.84,80.49,39.84
MFF,33.07,86.18,33.07
CACNG3,28.29,100.0,28.29
ELANE,27.69,97.56,27.69
TXNL4A,26.69,93.5,26.69
COQ3,26.29,85.37,26.29
UBE2V2,26.1,98.37,26.1
TP73,25.9,98.37,25.9
PPP4C,25.3,97.56,25.3
LMLN,23.9,100.0,23.9
FOLH1,23.31,96.75,23.31
ACTL6B,23.31,99.19,23.31
MTMR6,22.71,98.37,22.71
MSH3,20.32,84.55,20.32
C11orf49,19.92,96.75,19.92
LUC7L,18.92,95.12,18.92
TRPC3,18.53,91.06,18.53
MRPL30,18.53,92.68,18.53
TMEM138,18.13,100.0,18.13
GSTP1,18.13,97.56,18.13
ZC3H3,17.93,95.12,17.93
SLC12A5,17.73,86.99,17.73
C18orf22,17.53,83.74,17.53
ARL13B,17.33,90.24,17.33
BEND2,17.13,100.0,17.13
TRPM6,17.13,99.19,17.13
ATXN3,17.13,99.19,17.13
RRM2,16.93,100.0,16.93
KRT19,16.14,86.99,16.14
MTM1,15.34,82.93,15.34
C2orf47,14.74,100.0,14.74
CAPN2,14.74,85.37,14.74
IKBKAP,14.54,94.31,14.54
C1orf124,14.14,80.49,14.14
SHANK1,13.55,97.56,13.55
TOLLIP,13.35,100.0,13.35
KLHL1,13.35,94.31,13.35
CNTD2,13.15,85.37,13.15
CBLC,13.15,99.19,13.15
ABHD12B,12.55,84.55,12.55
SMAP1,12.55,95.93,12.55
DDX49,12.55,100.0,12.55
HBZ,11.95,100.0,11.95
FANCG,11.75,100.0,11.75
EBPL,11.16,99.19,11.16
RNF8,10.76,99.19,10.76
NUMA1,10.36,97.56,10.36
SLC6A6,10.16,99.19,10.16
PRR18,9.96,98.37,9.96
TNFRSF10A,9.76,100.0,9.76
MAK16,9.36,100.0,9.36
ZDHHC3,9.36,98.37,9.36
PKN1,9.16,100.0,9.16
SNTB1,8.96,99.19,8.96
OLFM1,8.57,100.0,8.57
PDPK1,8.17,100.0,8.17
CRCT1,7.97,100.0,7.97
RNF115,7.97,100.0,7.97
STRN3,7.77,98.37,7.77
CDH4,7.77,85.37,7.77
TKTL2,7.37,99.19,7.37
SNRPA,7.37,100.0,7.37
SCRN1,7.17,100.0,7.17
SLC2A10,6.97,99.19,6.97
CRHR1,6.97,100.0,6.97
NOS1,6.77,93.5,6.77
RETN,6.77,100.0,6.77
BEST4,6.57,90.24,6.57
S100A13,6.37,100.0,6.37
DYRK2,6.18,99.19,6.18
ZNF532,5.98,100.0,5.98
SRBD1,5.78,100.0,5.78
CNOT6,5.18,100.0,5.18
PMEPA1,4.98,99.19,4.98
DCAF4L2,4.18,100.0,4.18
DIRAS3,3.78,98.37,3.78
C21orf70,3.78,100.0,3.78
APOA4,3.78,99.19,3.78
C1orf229,3.78,100.0,3.78
CACNA1H,3.78,100.0,3.78
CALCB,3.59,100.0,3.59
DHX40,3.59,100.0,3.59
FXC1,2.99,100.0,2.99
SYNE2,2.99,97.56,2.99
TDRD1,2.79,99.19,2.79
TSPAN4,2.59,99.19,2.59
EFNA3,2.59,100.0,2.59
STXBP2,2.39,100.0,2.39
KCNIP1,1.99,100.0,1.99
LIMCH1,1.59,96.75,1.59
BSND,1.39,100.0,1.39
EIF3I,1.2,100.0,1.2
PLAGL1,1.0,94.31,1.0
EXOC3L2,0.8,100.0,0.8
MAMDC4,0.6,100.0,0.6
BSCL2,0.4,100.0,0.4
NFKBIB,0.4,100.0,0.4
C18orf16,15.34,7.32,0.0
DCLK1,2.79,75.61,0.0
FAM129A,2.59,76.42,0.0
HIF3A,30.88,72.36,0.0
TMEM90B,5.58,71.54,0.0
SFN,37.85,76.42,0.0
CRH,13.75,73.98,0.0
COG8,24.9,75.61,0.0
DYDC2,31.67,71.54,0.0
LTB4R2,0.0,100.0,0.0
