Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,1.54,0,0
SMAP1,0.77,0,0
CRHR1,0.0,0,0
RETN,1.54,0,0
C1orf229,0.0,0,0
FXC1,0.0,0,0
TSPAN4,0.77,0,0
CNOT6,0.77,0,0
FAM129A,0.0,0,0
SLC2A10,0.0,0,0
SNTB1,0.0,0,0
SLC6A6,0.0,0,0
LMLN,0.0,0,0
PKN1,0.77,0,0
S100A13,0.0,0,0
EBPL,1.54,0,0
HBZ,0.0,0,0
ZDHHC3,1.54,0,0
FANCG,0.0,0,0
CDH4,0.0,0,0
BEST4,2.31,0,0
TMEM90B,0.0,0,0
SRBD1,0.0,0,0
RRM2,0.0,0,0
CRH,34.62,0,0
TDRD1,3.08,0,0
DCLK1,3.08,0,0
MAK16,0.0,0,0
EIF3I,0.0,0,0
NFKBIB,0.77,0,0
MAMDC4,0.0,0,0
PLAGL1,0.77,0,0
BSND,0.77,0,0
CACNA1H,0.0,0,0
BSCL2,4.62,0,0
DHX40,1.54,0,0
KCNIP1,0.0,0,0
EXOC3L2,0.0,0,0
APOA4,0.0,0,0
DIRAS3,1.54,0,0
LIMCH1,0.0,0,0
DCAF4L2,0.0,0,0
STXBP2,0.77,0,0
RNF115,2.31,0,0
SYNE2,0.0,0,0
EFNA3,0.0,0,0
CALCB,0.77,0,0
PMEPA1,1.54,0,0
SCRN1,0.0,0,0
DYRK2,0.0,0,0
MTM1,0.0,0,0
ZNF532,11.54,0,0
FOLH1,0.0,0,0
C2orf47,0.0,0,0
UBE2V2,5.38,0,0
PDPK1,0.0,0,0
CBLC,0.0,0,0
C18orf16,7.69,0,0
CNTD2,0.0,0,0
IKBKAP,1.54,0,0
GSTP1,0.0,0,0
ARL13B,9.23,0,0
PRR18,0.0,0,0
ACTL6B,10.0,0,0
TMEM138,3.85,0,0
DYDC2,7.69,0,0
MTMR6,0.77,0,0
CRCT1,6.92,0,0
ATXN3,0.0,0,0
COG8,5.38,0,0
SFN,0.0,0,0
HIF3A,13.85,0,0
CAPN2,0.77,0,0
COQ3,0.77,0,0
ELANE,0.77,0,0
MRTO4,10.77,0,0
MFF,31.54,0,0
TXNL4A,0.77,0,0
MRPL30,22.31,0,0
TOLLIP,0.0,0,0
SLC12A5,0.0,0,0
TP73,0.77,0,0
RNF8,0.0,0,0
C18orf22,0.77,0,0
MSH3,0.0,0,0
OLFM1,0.0,0,0
C1orf124,0.0,0,0
LUC7L,0.0,0,0
TRPM6,0.0,0,0
SNRPA,0.0,0,0
TKTL2,1.54,0,0
DDX49,1.54,0,0
TNFRSF10A,0.0,0,0
NOS1,3.85,0,0
C21orf70,0.0,0,0
PPP4C,0.77,0,0
KLHL1,8.46,0,0
NUMA1,0.0,0,0
KRT19,0.77,0,0
ABHD12B,3.08,0,0
ZC3H3,4.62,0,0
TRPC3,8.46,0,0
STRN3,0.0,0,0
BEND2,6.15,0,0
C11orf49,3.08,0,0
SHANK1,0.0,0,0
LTB4R2,0.0,0,0
