Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,0.53,0,0
SMAP1,1.58,0,0
CRHR1,0.0,0,0
RETN,0.0,0,0
C1orf229,0.53,0,0
FXC1,0.0,0,0
TSPAN4,0.53,0,0
CNOT6,0.53,0,0
FAM129A,0.0,0,0
SLC2A10,0.0,0,0
SNTB1,0.0,0,0
SLC6A6,0.0,0,0
LMLN,0.0,0,0
PKN1,0.53,0,0
S100A13,2.11,0,0
EBPL,3.16,0,0
HBZ,0.53,0,0
ZDHHC3,1.05,0,0
FANCG,0.0,0,0
CDH4,0.0,0,0
BEST4,4.21,0,0
TMEM90B,0.0,0,0
SRBD1,0.0,0,0
RRM2,0.0,0,0
CRH,23.16,0,0
TDRD1,3.16,0,0
DCLK1,1.58,0,0
MAK16,0.0,0,0
EIF3I,1.58,0,0
NFKBIB,0.0,0,0
MAMDC4,0.0,0,0
PLAGL1,0.53,0,0
BSND,0.0,0,0
CACNA1H,0.0,0,0
BSCL2,1.58,0,0
DHX40,1.05,0,0
KCNIP1,0.53,0,0
EXOC3L2,0.53,0,0
APOA4,0.0,0,0
DIRAS3,7.89,0,0
LIMCH1,0.0,0,0
DCAF4L2,0.0,0,0
STXBP2,0.53,0,0
RNF115,0.53,0,0
SYNE2,0.0,0,0
EFNA3,0.0,0,0
CALCB,0.53,0,0
PMEPA1,1.05,0,0
SCRN1,0.0,0,0
DYRK2,0.0,0,0
MTM1,0.0,0,0
ZNF532,7.89,0,0
FOLH1,0.0,0,0
C2orf47,0.0,0,0
UBE2V2,8.42,0,0
PDPK1,0.53,0,0
CBLC,0.0,0,0
C18orf16,3.68,0,0
CNTD2,0.0,0,0
IKBKAP,3.68,0,0
GSTP1,0.53,0,0
ARL13B,5.79,0,0
PRR18,0.0,0,0
ACTL6B,27.89,0,0
TMEM138,1.05,0,0
DYDC2,2.11,0,0
MTMR6,2.11,0,0
CRCT1,4.21,0,0
ATXN3,2.63,0,0
COG8,3.16,0,0
SFN,0.0,0,0
HIF3A,17.89,0,0
CAPN2,1.05,0,0
COQ3,1.58,0,0
ELANE,1.05,0,0
MRTO4,15.79,0,0
MFF,32.63,0,0
TXNL4A,1.05,0,0
MRPL30,21.58,0,0
TOLLIP,0.0,0,0
SLC12A5,1.05,0,0
TP73,1.58,0,0
RNF8,0.0,0,0
C18orf22,0.53,0,0
MSH3,0.0,0,0
OLFM1,0.53,0,0
C1orf124,0.53,0,0
LUC7L,0.0,0,0
TRPM6,0.0,0,0
SNRPA,0.53,0,0
TKTL2,1.58,0,0
DDX49,0.53,0,0
TNFRSF10A,0.0,0,0
NOS1,1.05,0,0
C21orf70,0.53,0,0
PPP4C,1.05,0,0
KLHL1,3.68,0,0
NUMA1,0.0,0,0
KRT19,0.0,0,0
ABHD12B,4.74,0,0
ZC3H3,6.32,0,0
TRPC3,7.89,0,0
STRN3,0.0,0,0
BEND2,5.26,0,0
C11orf49,5.79,0,0
SHANK1,0.53,0,0
LTB4R2,0.0,0,0
