Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
HAAO,43.74,0,0
BEND5,0.0,0,0
ZNF570,0.0,0,0
PCDHGC3,1.37,0,0
DFNA5,0.17,0,0
WNT7A,0.17,0,0
ZNF569,0.17,0,0
ERBB4,0.0,0,0
TMEM121,2.74,0,0
VAV3,0.0,0,0
TSPAN2,0.0,0,0
PRKG1,0.86,0,0
SLC22A17,0.17,0,0
SLC8A3,0.69,0,0
PHF21B,0.17,0,0
BMPER,0.34,0,0
RERG,0.69,0,0
TMEM101,11.49,0,0
RET,0.51,0,0
SOX5,0.0,0,0
SLC6A1,0.17,0,0
B3GALNT1,0.51,0,0
NPAS1,0.69,0,0
JAKMIP1,0.0,0,0
PRR16,0.0,0,0
KCNK9,0.17,0,0
SDC2,0.0,0,0
GRIN2A,0.17,0,0
SCNN1B,7.89,0,0
GSTP1,0.0,0,0
MIR1908,0.0,0,0
KCNC1,0.0,0,0
SNAI2,0.34,0,0
FNBP1,0.0,0,0
KCNQ3,0.17,0,0
ZNF345,0.0,0,0
CHCHD5,1.72,0,0
LOC283856,0.0,0,0
FKBP11,7.03,0,0
ATRNL1,0.17,0,0
CACNG2,0.17,0,0
MLH1,1.54,0,0
MGMT,0.0,0,0
ZNF304,0.0,0,0
UQCRH,22.98,0,0
ADAM23,0.0,0,0
PTPN13,0.51,0,0
ZNF365,0.17,0,0
SPG20,0.0,0,0
NDRG4,0.0,0,0
EHD3,0.0,0,0
NELL2,0.0,0,0
ZBTB16,0.69,0,0
RNF182,0.0,0,0
MME,0.17,0,0
ADAMTS3,0.17,0,0
KCNS3,0.0,0,0
WDR17,1.37,0,0
SLC16A12,0.86,0,0
ELMO1,0.0,0,0
PROK2,2.23,0,0
NPR3,0.69,0,0
RBM24,0.17,0,0
CRHR2,9.61,0,0
TNFRSF10D,2.92,0,0
RPL39L,0.34,0,0
HIST1H3J,31.56,0,0
SLITRK5,0.34,0,0
CPXM1,0.0,0,0
FOXE1,1.89,0,0
PLCB1,0.51,0,0
GFRA3,0.17,0,0
HIST1H2BB,30.87,0,0
GATA4,6.52,0,0
GALR1,0.86,0,0
LOXL3,1.37,0,0
SNX32,0.34,0,0
ST6GALNAC5,0.0,0,0
NETO1,8.23,0,0
GRIN3A,30.02,0,0
ZNF542,1.37,0,0
MIR34B,1.54,0,0
SNCA,0.17,0,0
LRRC4,1.37,0,0
DTX1,0.34,0,0
DLK1,4.8,0,0
EPO,0.34,0,0
FAM20A,0.0,0,0
IRX4,1.03,0,0
JPH3,1.03,0,0
EPHA7,0.17,0,0
SLC30A2,3.6,0,0
HIST1H4D,10.98,0,0
CUX2,0.86,0,0
PCDH17,1.37,0,0
ME3,1.03,0,0
AOX1,0.34,0,0
SPDYA,1.2,0,0
SORCS3,1.54,0,0
ELOVL4,1.2,0,0
GABRB2,0.17,0,0
KCNT2,1.54,0,0
PAK7,0.0,0,0
MT1E,9.61,0,0
TWIST1,0.34,0,0
FUT9,2.57,0,0
SFRP5,7.38,0,0
GFRA1,1.89,0,0
HIF3A,0.17,0,0
LOC100130148,0.0,0,0
