Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,74.27,0,0
SMAP1,35.51,0,0
CRHR1,7.38,0,0
RETN,50.09,0,0
C1orf229,28.82,0,0
FXC1,66.21,0,0
TSPAN4,19.9,0,0
CNOT6,34.48,0,0
FAM129A,11.66,0,0
SLC2A10,4.63,0,0
SNTB1,51.46,0,0
SLC6A6,35.68,0,0
LMLN,62.09,0,0
PKN1,31.9,0,0
S100A13,2.57,0,0
EBPL,12.18,0,0
HBZ,31.73,0,0
ZDHHC3,52.14,0,0
FANCG,51.97,0,0
CDH4,31.9,0,0
BEST4,48.71,0,0
TMEM90B,47.17,0,0
SRBD1,92.97,0,0
RRM2,22.98,0,0
CRH,26.07,0,0
TDRD1,7.2,0,0
DCLK1,11.66,0,0
MAK16,56.95,0,0
EIF3I,23.16,0,0
NFKBIB,0.34,0,0
MAMDC4,3.6,0,0
PLAGL1,1.89,0,0
BSND,0.17,0,0
CACNA1H,8.06,0,0
BSCL2,2.57,0,0
DHX40,9.26,0,0
KCNIP1,12.86,0,0
EXOC3L2,7.89,0,0
APOA4,1.2,0,0
DIRAS3,12.35,0,0
LIMCH1,16.64,0,0
DCAF4L2,12.52,0,0
STXBP2,23.33,0,0
RNF115,24.7,0,0
SYNE2,35.33,0,0
EFNA3,4.12,0,0
CALCB,14.75,0,0
PMEPA1,21.27,0,0
SCRN1,16.64,0,0
DYRK2,2.23,0,0
MTM1,3.6,0,0
ZNF532,47.68,0,0
FOLH1,89.71,0,0
C2orf47,48.2,0,0
UBE2V2,56.26,0,0
PDPK1,52.32,0,0
CBLC,65.52,0,0
C18orf16,6.86,0,0
CNTD2,31.56,0,0
IKBKAP,71.87,0,0
GSTP1,72.21,0,0
ARL13B,61.58,0,0
PRR18,40.48,0,0
ACTL6B,52.83,0,0
TMEM138,63.46,0,0
DYDC2,33.79,0,0
MTMR6,69.81,0,0
CRCT1,42.02,0,0
ATXN3,42.54,0,0
COG8,76.16,0,0
SFN,84.05,0,0
HIF3A,75.81,0,0
CAPN2,23.16,0,0
COQ3,84.22,0,0
ELANE,95.54,0,0
MRTO4,48.89,0,0
MFF,33.62,0,0
TXNL4A,86.11,0,0
MRPL30,18.7,0,0
TOLLIP,39.62,0,0
SLC12A5,54.37,0,0
TP73,13.38,0,0
RNF8,75.47,0,0
C18orf22,71.36,0,0
MSH3,61.23,0,0
OLFM1,47.68,0,0
C1orf124,39.45,0,0
LUC7L,82.5,0,0
TRPM6,69.64,0,0
SNRPA,40.31,0,0
TKTL2,7.03,0,0
DDX49,27.62,0,0
TNFRSF10A,42.2,0,0
NOS1,22.81,0,0
C21orf70,33.1,0,0
PPP4C,43.05,0,0
KLHL1,57.12,0,0
NUMA1,35.85,0,0
KRT19,65.01,0,0
ABHD12B,38.59,0,0
ZC3H3,28.13,0,0
TRPC3,51.11,0,0
STRN3,58.49,0,0
BEND2,6.52,0,0
C11orf49,35.68,0,0
SHANK1,50.09,0,0
LTB4R2,0.0,0,0
