Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
ZNF542,23.43,90.0,23.43
ST6GALNAC5,20.57,90.0,20.57
TWIST1,18.29,90.0,18.29
NPR3,16.57,100.0,16.57
RET,16.0,100.0,16.0
SNX32,15.43,100.0,15.43
SNCA,12.0,90.0,12.0
SLITRK5,12.0,90.0,12.0
SOX5,11.43,90.0,11.43
MIR34B,10.29,100.0,10.29
KCNK9,9.14,90.0,9.14
KCNT2,9.14,90.0,9.14
TSPAN2,8.57,100.0,8.57
IRX4,8.57,100.0,8.57
CRHR2,8.0,90.0,8.0
SCNN1B,8.0,100.0,8.0
NETO1,8.0,90.0,8.0
KCNS3,7.43,90.0,7.43
JAKMIP1,7.43,90.0,7.43
BMPER,7.43,100.0,7.43
ELOVL4,6.29,100.0,6.29
PROK2,6.29,100.0,6.29
SLC30A2,6.29,100.0,6.29
GFRA1,6.29,90.0,6.29
SORCS3,5.71,100.0,5.71
GRIN3A,5.71,100.0,5.71
PAK7,5.71,100.0,5.71
SLC16A12,5.14,90.0,5.14
ADAMTS3,5.14,90.0,5.14
PCDH17,5.14,90.0,5.14
DTX1,4.57,90.0,4.57
LOC283856,4.57,100.0,4.57
PHF21B,4.57,100.0,4.57
PRR16,4.57,90.0,4.57
JPH3,4.0,100.0,4.0
CUX2,4.0,100.0,4.0
RPL39L,4.0,100.0,4.0
WDR17,4.0,100.0,4.0
GALR1,4.0,90.0,4.0
VAV3,3.43,100.0,3.43
KCNQ3,2.86,90.0,2.86
SLC22A17,2.86,100.0,2.86
SLC8A3,2.86,100.0,2.86
TMEM121,2.86,100.0,2.86
SLC6A1,2.86,100.0,2.86
NPAS1,2.86,100.0,2.86
FOXE1,2.86,100.0,2.86
ADAM23,2.29,90.0,2.29
PCDHGC3,2.29,100.0,2.29
NDRG4,2.29,90.0,2.29
NELL2,2.29,100.0,2.29
HIST1H4D,2.29,100.0,2.29
ZNF304,1.71,100.0,1.71
WNT7A,1.71,100.0,1.71
RNF182,1.71,100.0,1.71
PTPN13,1.71,100.0,1.71
EPHA7,1.71,100.0,1.71
ZNF570,1.71,90.0,1.71
ZNF345,1.14,100.0,1.14
MGMT,1.14,100.0,1.14
MIR1908,1.14,100.0,1.14
ZNF569,1.14,90.0,1.14
HIST1H2BB,1.14,90.0,1.14
CACNG2,1.14,100.0,1.14
ATRNL1,1.14,100.0,1.14
ZNF365,1.14,100.0,1.14
GABRB2,1.14,100.0,1.14
DFNA5,0.57,90.0,0.57
ZBTB16,0.57,100.0,0.57
ERBB4,0.57,100.0,0.57
SDC2,0.57,100.0,0.57
GRIN2A,0.57,100.0,0.57
SNAI2,0.57,100.0,0.57
BEND5,0.57,100.0,0.57
SFRP5,0.57,100.0,0.57
FUT9,0.57,100.0,0.57
FNBP1,0.57,100.0,0.57
MME,0.57,90.0,0.57
HIST1H3J,0.57,100.0,0.57
PLCB1,0.57,100.0,0.57
DLK1,0.57,100.0,0.57
FAM20A,0.57,100.0,0.57
RBM24,0.57,100.0,0.57
CHCHD5,0.0,100.0,0.0
GSTP1,0.0,100.0,0.0
MLH1,0.0,100.0,0.0
SPG20,0.0,90.0,0.0
KCNC1,0.0,100.0,0.0
UQCRH,0.0,100.0,0.0
FKBP11,0.0,100.0,0.0
HAAO,0.0,100.0,0.0
EHD3,0.0,100.0,0.0
HIF3A,0.0,100.0,0.0
LOXL3,0.0,100.0,0.0
GATA4,0.0,100.0,0.0
GFRA3,4.57,30.0,0.0
CPXM1,12.0,70.0,0.0
TNFRSF10D,0.0,90.0,0.0
ELMO1,16.57,80.0,0.0
LRRC4,4.0,20.0,0.0
MT1E,0.0,100.0,0.0
PRKG1,0.0,100.0,0.0
SPDYA,0.0,100.0,0.0
AOX1,0.0,100.0,0.0
ME3,0.0,100.0,0.0
EPO,5.71,80.0,0.0
B3GALNT1,0.0,100.0,0.0
TMEM101,0.0,100.0,0.0
RERG,0.0,100.0,0.0
LOC100130148,0.0,100.0,0.0
