Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
ATXN3,18.86,90.0,18.86
CAPN2,17.14,90.0,17.14
UBE2V2,16.57,100.0,16.57
TKTL2,14.86,100.0,14.86
MSH3,14.29,100.0,14.29
BEND2,14.29,100.0,14.29
TXNL4A,12.57,100.0,12.57
ABHD12B,10.86,100.0,10.86
MTMR6,9.14,90.0,9.14
MRTO4,8.57,90.0,8.57
ARL13B,7.43,100.0,7.43
DYDC2,7.43,100.0,7.43
TRPC3,7.43,100.0,7.43
EBPL,5.71,100.0,5.71
TOLLIP,5.14,100.0,5.14
KLHL1,5.14,100.0,5.14
TDRD1,5.14,100.0,5.14
COQ3,5.14,100.0,5.14
CACNG3,4.57,100.0,4.57
TNFRSF10A,4.0,100.0,4.0
RRM2,4.0,100.0,4.0
KRT19,3.43,100.0,3.43
IKBKAP,3.43,100.0,3.43
STRN3,3.43,100.0,3.43
CBLC,3.43,100.0,3.43
SFN,2.86,100.0,2.86
HBZ,2.86,90.0,2.86
SNTB1,2.86,100.0,2.86
ACTL6B,2.29,100.0,2.29
RETN,2.29,100.0,2.29
FOLH1,2.29,100.0,2.29
C18orf16,2.29,100.0,2.29
GSTP1,2.29,100.0,2.29
MTM1,2.29,100.0,2.29
SLC2A10,2.29,100.0,2.29
CNOT6,2.29,90.0,2.29
DCLK1,1.71,100.0,1.71
DYRK2,1.71,100.0,1.71
PMEPA1,1.71,100.0,1.71
C2orf47,1.71,100.0,1.71
SHANK1,1.71,100.0,1.71
PDPK1,1.71,100.0,1.71
RNF8,1.71,90.0,1.71
HIF3A,1.71,100.0,1.71
PRR18,1.71,100.0,1.71
CDH4,1.14,100.0,1.14
LIMCH1,1.14,100.0,1.14
EFNA3,1.14,100.0,1.14
SRBD1,1.14,100.0,1.14
OLFM1,1.14,100.0,1.14
COG8,1.14,100.0,1.14
FANCG,1.14,100.0,1.14
PKN1,1.14,100.0,1.14
SLC12A5,0.57,90.0,0.57
C21orf70,0.57,100.0,0.57
SLC6A6,0.57,100.0,0.57
CRCT1,0.57,90.0,0.57
ZNF532,0.57,100.0,0.57
ELANE,0.57,100.0,0.57
DIRAS3,0.57,100.0,0.57
APOA4,0.57,90.0,0.57
CRHR1,0.57,100.0,0.57
TMEM138,0.57,100.0,0.57
PPP4C,0.57,100.0,0.57
TRPM6,0.57,100.0,0.57
CRH,0.57,100.0,0.57
NUMA1,0.57,100.0,0.57
TP73,0.57,100.0,0.57
ZDHHC3,0.0,90.0,0.0
SNRPA,0.0,100.0,0.0
SYNE2,0.57,70.0,0.0
RNF115,0.0,100.0,0.0
STXBP2,0.0,100.0,0.0
DCAF4L2,0.0,100.0,0.0
DDX49,1.14,70.0,0.0
EXOC3L2,0.0,80.0,0.0
MRPL30,36.57,80.0,0.0
KCNIP1,0.0,100.0,0.0
DHX40,0.0,100.0,0.0
BSCL2,0.0,100.0,0.0
CACNA1H,0.0,100.0,0.0
BSND,0.0,100.0,0.0
PLAGL1,0.0,100.0,0.0
MAMDC4,0.0,60.0,0.0
NFKBIB,0.0,100.0,0.0
CALCB,0.0,100.0,0.0
MFF,14.86,80.0,0.0
SCRN1,2.86,50.0,0.0
BEST4,4.57,60.0,0.0
TMEM90B,0.0,100.0,0.0
S100A13,7.43,40.0,0.0
LMLN,0.0,100.0,0.0
MAK16,3.43,70.0,0.0
CNTD2,8.57,50.0,0.0
C11orf49,0.57,60.0,0.0
FAM129A,0.0,60.0,0.0
NOS1,0.0,100.0,0.0
TSPAN4,0.57,50.0,0.0
FXC1,0.0,70.0,0.0
C1orf229,0.0,100.0,0.0
C18orf22,0.0,100.0,0.0
ZC3H3,3.43,70.0,0.0
SMAP1,3.43,70.0,0.0
C1orf124,8.57,60.0,0.0
EIF3I,0.0,100.0,0.0
LUC7L,0.0,100.0,0.0
LTB4R2,0.0,100.0,0.0
