Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
SFRP5,19.24,92.91,19.24
GFRA3,7.56,98.29,7.56
DTX1,6.87,96.82,6.87
HIF3A,6.53,99.27,6.53
HIST1H2BB,6.19,91.69,6.19
FOXE1,6.19,95.35,6.19
MT1E,5.5,99.51,5.5
SNX32,5.15,99.51,5.15
PROK2,5.15,99.76,5.15
RPL39L,4.81,100.0,4.81
SLC30A2,4.81,100.0,4.81
SCNN1B,4.81,97.8,4.81
AOX1,4.47,100.0,4.47
CPXM1,4.47,100.0,4.47
HAAO,4.12,99.76,4.12
RBM24,4.12,91.69,4.12
TSPAN2,4.12,100.0,4.12
JPH3,3.78,100.0,3.78
MIR1908,3.44,100.0,3.44
B3GALNT1,3.44,99.76,3.44
SLC16A12,3.44,100.0,3.44
MIR34B,3.44,99.76,3.44
ERBB4,3.09,99.76,3.09
LOXL3,3.09,100.0,3.09
FNBP1,3.09,100.0,3.09
ELOVL4,3.09,99.27,3.09
ZNF542,3.09,100.0,3.09
GRIN2A,3.09,100.0,3.09
FKBP11,3.09,100.0,3.09
FAM20A,3.09,100.0,3.09
SPDYA,3.09,99.02,3.09
RET,2.75,100.0,2.75
EHD3,2.75,100.0,2.75
NETO1,2.75,99.27,2.75
NPAS1,2.75,100.0,2.75
KCNS3,2.75,99.02,2.75
NDRG4,2.41,100.0,2.41
SNCA,2.41,98.04,2.41
GATA4,2.41,100.0,2.41
TMEM121,2.41,100.0,2.41
RNF182,2.41,100.0,2.41
CRHR2,2.41,99.76,2.41
SLC6A1,2.06,100.0,2.06
GABRB2,2.06,100.0,2.06
KCNT2,2.06,99.76,2.06
LRRC4,2.06,99.76,2.06
MME,1.72,98.78,1.72
NELL2,1.72,99.51,1.72
IRX4,1.72,99.76,1.72
UQCRH,1.72,98.53,1.72
KCNQ3,1.72,100.0,1.72
HIST1H3J,1.72,97.8,1.72
VAV3,1.37,96.09,1.37
ST6GALNAC5,1.37,100.0,1.37
SLITRK5,1.37,99.51,1.37
GSTP1,1.37,99.51,1.37
NPR3,1.37,97.56,1.37
HIST1H4D,1.37,98.29,1.37
TWIST1,1.03,100.0,1.03
FUT9,1.03,100.0,1.03
GRIN3A,1.03,99.76,1.03
EPO,1.03,100.0,1.03
GALR1,1.03,99.76,1.03
ZBTB16,1.03,100.0,1.03
BMPER,1.03,100.0,1.03
CUX2,1.03,99.02,1.03
KCNK9,1.03,100.0,1.03
PCDH17,0.69,100.0,0.69
ZNF570,0.69,99.76,0.69
ZNF569,0.69,96.58,0.69
PCDHGC3,0.69,99.51,0.69
SORCS3,0.69,99.27,0.69
DLK1,0.69,100.0,0.69
DFNA5,0.69,100.0,0.69
WNT7A,0.69,99.27,0.69
CACNG2,0.34,100.0,0.34
WDR17,0.34,99.51,0.34
ZNF365,0.34,100.0,0.34
PRR16,0.34,100.0,0.34
SLC22A17,0.34,100.0,0.34
BEND5,0.34,99.76,0.34
RERG,0.34,99.51,0.34
TMEM101,0.34,99.51,0.34
GFRA1,0.34,93.89,0.34
SNAI2,0.34,99.76,0.34
CHCHD5,0.0,100.0,0.0
KCNC1,0.0,100.0,0.0
ADAM23,0.0,100.0,0.0
ZNF345,0.0,96.33,0.0
MLH1,0.0,100.0,0.0
LOC283856,0.0,100.0,0.0
ZNF304,0.0,99.02,0.0
ATRNL1,0.0,100.0,0.0
ADAMTS3,0.0,100.0,0.0
PTPN13,0.0,99.76,0.0
SPG20,0.0,100.0,0.0
MGMT,0.0,98.29,0.0
PHF21B,0.0,99.76,0.0
SDC2,0.0,99.02,0.0
PRKG1,0.0,100.0,0.0
SLC8A3,0.0,100.0,0.0
SOX5,0.0,98.04,0.0
JAKMIP1,0.34,71.64,0.0
PLCB1,0.0,100.0,0.0
EPHA7,0.0,100.0,0.0
ME3,0.0,100.0,0.0
PAK7,0.0,100.0,0.0
ELMO1,0.0,100.0,0.0
TNFRSF10D,0.0,99.76,0.0
LOC100130148,0.0,99.51,0.0
