Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
DYRK2,40.89,94.13,40.89
C1orf229,36.08,100.0,36.08
EIF3I,31.96,80.44,31.96
MRPL30,25.09,86.8,25.09
SFN,19.93,100.0,19.93
IKBKAP,19.24,93.89,19.24
NOS1,13.4,82.64,13.4
CAPN2,13.4,97.56,13.4
STRN3,12.37,93.64,12.37
SCRN1,11.34,86.8,11.34
BEND2,11.0,94.87,11.0
C11orf49,8.93,96.58,8.93
ATXN3,8.25,98.78,8.25
CACNG3,7.22,99.76,7.22
KLHL1,6.87,81.66,6.87
CRH,6.53,94.62,6.53
PDPK1,5.5,100.0,5.5
TRPC3,5.5,88.51,5.5
SRBD1,5.15,96.09,5.15
ZC3H3,5.15,95.6,5.15
TDRD1,4.81,98.53,4.81
RRM2,4.81,99.51,4.81
CNTD2,4.81,100.0,4.81
TXNL4A,4.81,93.4,4.81
MRTO4,4.81,87.04,4.81
OLFM1,4.81,100.0,4.81
FAM129A,4.12,100.0,4.12
SYNE2,4.12,89.0,4.12
ARL13B,3.78,82.64,3.78
APOA4,3.78,94.13,3.78
HIF3A,3.44,99.51,3.44
FANCG,3.44,99.02,3.44
UBE2V2,3.44,99.76,3.44
SMAP1,3.44,90.95,3.44
SHANK1,3.44,100.0,3.44
EBPL,3.44,98.29,3.44
TSPAN4,3.44,89.98,3.44
SNTB1,3.44,100.0,3.44
TKTL2,3.09,99.76,3.09
DIRAS3,3.09,96.82,3.09
CRCT1,3.09,100.0,3.09
MTMR6,3.09,98.29,3.09
RNF8,2.75,99.02,2.75
HBZ,2.75,100.0,2.75
PLAGL1,2.75,98.78,2.75
PPP4C,2.75,91.44,2.75
DHX40,2.75,100.0,2.75
COQ3,2.75,83.37,2.75
ACTL6B,2.75,100.0,2.75
TMEM138,2.41,100.0,2.41
BEST4,2.41,93.15,2.41
DCLK1,2.06,100.0,2.06
CALCB,2.06,100.0,2.06
C2orf47,2.06,100.0,2.06
DYDC2,2.06,89.24,2.06
CBLC,2.06,96.09,2.06
KRT19,2.06,99.76,2.06
NUMA1,2.06,98.53,2.06
DDX49,2.06,99.51,2.06
MAK16,1.72,100.0,1.72
S100A13,1.72,93.64,1.72
TOLLIP,1.72,99.76,1.72
CNOT6,1.72,100.0,1.72
ELANE,1.72,100.0,1.72
RETN,1.37,99.76,1.37
TP73,1.37,100.0,1.37
EFNA3,1.37,100.0,1.37
C18orf22,1.37,98.78,1.37
CRHR1,1.03,100.0,1.03
LIMCH1,1.03,99.76,1.03
BSND,1.03,99.76,1.03
PRR18,1.03,99.51,1.03
GSTP1,1.03,99.76,1.03
PMEPA1,1.03,100.0,1.03
C18orf16,1.03,100.0,1.03
MTM1,1.03,100.0,1.03
TRPM6,1.03,98.04,1.03
SLC2A10,1.03,100.0,1.03
CDH4,1.03,99.76,1.03
PKN1,1.03,99.51,1.03
TNFRSF10A,1.03,100.0,1.03
MSH3,1.03,89.98,1.03
SNRPA,0.69,100.0,0.69
SLC6A6,0.69,100.0,0.69
KCNIP1,0.69,99.51,0.69
EXOC3L2,0.69,99.76,0.69
ZDHHC3,0.69,99.02,0.69
TMEM90B,0.69,100.0,0.69
LMLN,0.69,100.0,0.69
ZNF532,0.69,99.02,0.69
BSCL2,0.69,99.76,0.69
C1orf124,0.69,94.13,0.69
FOLH1,0.69,99.76,0.69
LUC7L,0.34,91.44,0.34
STXBP2,0.34,98.29,0.34
CACNA1H,0.34,100.0,0.34
C21orf70,0.34,100.0,0.34
NFKBIB,0.34,99.51,0.34
MAMDC4,0.0,89.49,0.0
MFF,15.12,73.84,0.0
ABHD12B,7.56,78.48,0.0
COG8,6.53,79.71,0.0
DCAF4L2,0.0,100.0,0.0
RNF115,0.0,99.27,0.0
SLC12A5,12.71,79.46,0.0
FXC1,0.0,100.0,0.0
LTB4R2,0.0,99.76,0.0
