Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,35.63,0,0
SMAP1,8.05,0,0
CRHR1,0.0,0,0
RETN,3.45,0,0
C1orf229,1.15,0,0
FXC1,0.0,0,0
TSPAN4,10.34,0,0
CNOT6,1.15,0,0
FAM129A,1.15,0,0
SLC2A10,0.0,0,0
SNTB1,4.6,0,0
SLC6A6,0.0,0,0
LMLN,0.0,0,0
PKN1,0.0,0,0
S100A13,4.6,0,0
EBPL,3.45,0,0
HBZ,0.0,0,0
ZDHHC3,0.0,0,0
FANCG,5.75,0,0
CDH4,0.0,0,0
BEST4,1.15,0,0
TMEM90B,4.6,0,0
SRBD1,0.0,0,0
RRM2,1.15,0,0
CRH,1.15,0,0
TDRD1,8.05,0,0
DCLK1,1.15,0,0
MAK16,6.9,0,0
EIF3I,1.15,0,0
NFKBIB,0.0,0,0
MAMDC4,3.45,0,0
PLAGL1,1.15,0,0
BSND,2.3,0,0
CACNA1H,0.0,0,0
BSCL2,0.0,0,0
DHX40,2.3,0,0
KCNIP1,1.15,0,0
EXOC3L2,0.0,0,0
APOA4,2.3,0,0
DIRAS3,2.3,0,0
LIMCH1,0.0,0,0
DCAF4L2,0.0,0,0
STXBP2,0.0,0,0
RNF115,4.6,0,0
SYNE2,0.0,0,0
EFNA3,1.15,0,0
CALCB,2.3,0,0
PMEPA1,0.0,0,0
SCRN1,3.45,0,0
DYRK2,0.0,0,0
MTM1,2.3,0,0
ZNF532,0.0,0,0
FOLH1,5.75,0,0
C2orf47,2.3,0,0
UBE2V2,11.49,0,0
PDPK1,1.15,0,0
CBLC,2.3,0,0
C18orf16,8.05,0,0
CNTD2,3.45,0,0
IKBKAP,12.64,0,0
GSTP1,0.0,0,0
ARL13B,21.84,0,0
PRR18,0.0,0,0
ACTL6B,2.3,0,0
TMEM138,6.9,0,0
DYDC2,4.6,0,0
MTMR6,19.54,0,0
CRCT1,8.05,0,0
ATXN3,11.49,0,0
COG8,22.99,0,0
SFN,4.6,0,0
HIF3A,0.0,0,0
CAPN2,1.15,0,0
COQ3,10.34,0,0
ELANE,2.3,0,0
MRTO4,10.34,0,0
MFF,49.43,0,0
TXNL4A,19.54,0,0
MRPL30,59.77,0,0
TOLLIP,6.9,0,0
SLC12A5,8.05,0,0
TP73,2.3,0,0
RNF8,1.15,0,0
C18orf22,6.9,0,0
MSH3,2.3,0,0
OLFM1,3.45,0,0
C1orf124,2.3,0,0
LUC7L,0.0,0,0
TRPM6,0.0,0,0
SNRPA,1.15,0,0
TKTL2,2.3,0,0
DDX49,1.15,0,0
TNFRSF10A,0.0,0,0
NOS1,9.2,0,0
C21orf70,0.0,0,0
PPP4C,0.0,0,0
KLHL1,26.44,0,0
NUMA1,0.0,0,0
KRT19,4.6,0,0
ABHD12B,3.45,0,0
ZC3H3,6.9,0,0
TRPC3,19.54,0,0
STRN3,18.39,0,0
BEND2,43.68,0,0
C11orf49,2.3,0,0
SHANK1,6.9,0,0
LTB4R2,0.0,0,0
