Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
HIF3A,63.25,82.0,63.25
GFRA3,49.2,86.0,49.2
AOX1,42.97,84.0,42.97
HIST1H4D,36.14,90.0,36.14
SFRP5,35.14,96.0,35.14
GSTP1,32.93,88.0,32.93
LRRC4,23.49,84.0,23.49
GATA4,16.06,90.0,16.06
SLC16A12,12.65,90.0,12.65
HIST1H2BB,12.45,92.0,12.45
SPDYA,12.05,94.0,12.05
ME3,10.24,88.0,10.24
CPXM1,8.84,90.0,8.84
B3GALNT1,8.63,96.0,8.63
TNFRSF10D,8.23,84.0,8.23
RBM24,7.83,100.0,7.83
RPL39L,7.43,96.0,7.43
PAK7,7.23,92.0,7.23
EPO,7.23,90.0,7.23
KCNT2,6.02,90.0,6.02
SNX32,5.82,90.0,5.82
SNCA,5.82,98.0,5.82
SLITRK5,5.02,96.0,5.02
FUT9,4.02,86.0,4.02
TSPAN2,3.82,98.0,3.82
PRKG1,3.21,98.0,3.21
GALR1,3.01,98.0,3.01
SOX5,2.41,94.0,2.41
PCDHGC3,2.21,100.0,2.21
NETO1,1.81,98.0,1.81
DLK1,1.81,96.0,1.81
WDR17,1.81,98.0,1.81
DFNA5,1.61,100.0,1.61
NPR3,1.61,96.0,1.61
KCNS3,1.41,100.0,1.41
ELMO1,1.41,94.0,1.41
WNT7A,1.2,100.0,1.2
RERG,1.2,94.0,1.2
MME,1.0,84.0,1.0
GRIN2A,1.0,94.0,1.0
PCDH17,1.0,82.0,1.0
JPH3,1.0,98.0,1.0
GABRB2,0.8,100.0,0.8
ELOVL4,0.8,100.0,0.8
TMEM121,0.8,98.0,0.8
CRHR2,0.8,100.0,0.8
FKBP11,0.6,98.0,0.6
PTPN13,0.6,94.0,0.6
BMPER,0.6,100.0,0.6
SLC30A2,0.6,100.0,0.6
KCNQ3,0.6,94.0,0.6
GRIN3A,0.6,100.0,0.6
ST6GALNAC5,0.6,98.0,0.6
NPAS1,0.4,100.0,0.4
LOC283856,0.4,100.0,0.4
SORCS3,0.4,100.0,0.4
BEND5,0.4,100.0,0.4
DTX1,0.4,100.0,0.4
MIR1908,0.2,100.0,0.2
ZNF542,0.2,100.0,0.2
VAV3,0.2,94.0,0.2
FAM20A,0.2,100.0,0.2
TWIST1,0.2,100.0,0.2
RNF182,0.0,100.0,0.0
ZBTB16,0.0,100.0,0.0
NELL2,0.0,100.0,0.0
EHD3,0.0,100.0,0.0
NDRG4,0.0,100.0,0.0
HAAO,53.82,70.0,0.0
SPG20,0.0,100.0,0.0
ZNF365,0.0,100.0,0.0
ADAM23,0.0,98.0,0.0
UQCRH,0.0,100.0,0.0
ZNF304,0.0,100.0,0.0
MLH1,0.0,100.0,0.0
CACNG2,0.0,98.0,0.0
ATRNL1,0.0,100.0,0.0
CHCHD5,0.0,100.0,0.0
ZNF345,0.0,98.0,0.0
FNBP1,0.0,100.0,0.0
SNAI2,0.0,100.0,0.0
KCNC1,0.0,100.0,0.0
MGMT,0.0,96.0,0.0
ADAMTS3,0.0,100.0,0.0
PHF21B,0.0,100.0,0.0
SDC2,0.0,98.0,0.0
MIR34B,55.62,46.0,0.0
LOXL3,49.6,32.0,0.0
FOXE1,20.68,70.0,0.0
HIST1H3J,35.14,74.0,0.0
PROK2,34.34,22.0,0.0
GFRA1,0.0,100.0,0.0
MT1E,13.86,68.0,0.0
CUX2,0.0,100.0,0.0
EPHA7,0.0,100.0,0.0
IRX4,0.0,100.0,0.0
PLCB1,0.0,100.0,0.0
SCNN1B,29.52,52.0,0.0
KCNK9,0.0,100.0,0.0
PRR16,0.0,100.0,0.0
JAKMIP1,0.0,100.0,0.0
SLC6A1,0.0,100.0,0.0
RET,0.0,100.0,0.0
TMEM101,0.0,98.0,0.0
SLC8A3,0.0,100.0,0.0
SLC22A17,0.0,100.0,0.0
ERBB4,0.0,100.0,0.0
ZNF569,0.0,100.0,0.0
ZNF570,0.0,100.0,0.0
LOC100130148,0.0,100.0,0.0
