Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
MRPL30,58.43,98.0,58.43
TDRD1,38.15,94.0,38.15
ATXN3,29.32,92.0,29.32
UBE2V2,29.12,90.0,29.12
CACNG3,23.49,92.0,23.49
CAPN2,23.09,94.0,23.09
MRTO4,22.49,100.0,22.49
DDX49,22.29,92.0,22.29
ZC3H3,17.87,92.0,17.87
IKBKAP,17.27,90.0,17.27
C11orf49,16.87,84.0,16.87
CRCT1,16.47,92.0,16.47
COG8,14.66,100.0,14.66
BEND2,14.46,100.0,14.46
FOLH1,13.25,100.0,13.25
MTMR6,13.05,100.0,13.05
MFF,12.45,100.0,12.45
PMEPA1,12.25,94.0,12.25
S100A13,11.65,94.0,11.65
STRN3,11.24,100.0,11.24
TKTL2,11.04,96.0,11.04
TRPC3,10.64,100.0,10.64
FXC1,9.84,98.0,9.84
KLHL1,9.44,100.0,9.44
TSPAN4,8.84,94.0,8.84
COQ3,8.23,96.0,8.23
PDPK1,7.63,96.0,7.63
ARL13B,7.23,100.0,7.23
SNRPA,7.23,88.0,7.23
ABHD12B,6.22,100.0,6.22
CNOT6,6.22,98.0,6.22
TMEM90B,6.02,100.0,6.02
ZDHHC3,6.02,84.0,6.02
CDH4,5.82,100.0,5.82
EBPL,5.42,98.0,5.42
C2orf47,5.02,98.0,5.02
TMEM138,4.42,96.0,4.42
ACTL6B,3.82,96.0,3.82
TXNL4A,3.82,100.0,3.82
FANCG,2.61,92.0,2.61
DCAF4L2,2.61,100.0,2.61
MSH3,2.41,100.0,2.41
C18orf16,2.01,82.0,2.01
RNF8,2.01,96.0,2.01
OLFM1,2.01,98.0,2.01
ZNF532,1.81,100.0,1.81
KCNIP1,1.81,98.0,1.81
DIRAS3,1.61,100.0,1.61
CALCB,1.61,96.0,1.61
SHANK1,1.41,94.0,1.41
MTM1,1.2,100.0,1.2
PKN1,1.2,98.0,1.2
SNTB1,1.0,100.0,1.0
DYDC2,1.0,100.0,1.0
CRH,0.6,94.0,0.6
RNF115,0.6,100.0,0.6
SRBD1,0.4,98.0,0.4
HIF3A,0.4,100.0,0.4
STXBP2,0.4,100.0,0.4
DCLK1,0.4,96.0,0.4
DHX40,0.4,100.0,0.4
LUC7L,0.4,100.0,0.4
TNFRSF10A,0.4,100.0,0.4
BSND,0.2,100.0,0.2
EIF3I,0.2,86.0,0.2
RETN,0.2,100.0,0.2
PLAGL1,0.2,94.0,0.2
SCRN1,0.0,100.0,0.0
NFKBIB,0.0,66.0,0.0
MAMDC4,0.0,100.0,0.0
DYRK2,0.0,100.0,0.0
SMAP1,21.08,10.0,0.0
LIMCH1,0.0,100.0,0.0
CACNA1H,0.0,100.0,0.0
BSCL2,0.0,100.0,0.0
EXOC3L2,0.0,92.0,0.0
EFNA3,0.0,84.0,0.0
SYNE2,0.0,96.0,0.0
APOA4,0.0,100.0,0.0
KRT19,0.0,100.0,0.0
SLC2A10,49.4,18.0,0.0
ELANE,8.03,68.0,0.0
CRHR1,0.0,100.0,0.0
PPP4C,0.8,60.0,0.0
C21orf70,80.92,18.0,0.0
NOS1,0.0,96.0,0.0
SLC12A5,11.04,72.0,0.0
TOLLIP,30.72,34.0,0.0
TRPM6,6.02,38.0,0.0
C1orf124,11.24,40.0,0.0
C18orf22,7.43,60.0,0.0
TP73,5.62,10.0,0.0
CBLC,14.26,8.0,0.0
MAK16,8.84,68.0,0.0
RRM2,0.0,100.0,0.0
CNTD2,7.63,70.0,0.0
BEST4,0.0,100.0,0.0
GSTP1,35.54,28.0,0.0
PRR18,41.37,62.0,0.0
HBZ,0.0,100.0,0.0
LMLN,0.0,100.0,0.0
SLC6A6,5.22,34.0,0.0
NUMA1,58.43,12.0,0.0
FAM129A,0.0,100.0,0.0
SFN,0.0,90.0,0.0
C1orf229,0.0,90.0,0.0
LTB4R2,0.0,100.0,0.0
