Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,17.91,0,0
SMAP1,5.97,0,0
CRHR1,8.21,0,0
RETN,3.73,0,0
C1orf229,3.73,0,0
FXC1,1.49,0,0
TSPAN4,3.73,0,0
CNOT6,8.96,0,0
FAM129A,11.94,0,0
SLC2A10,7.46,0,0
SNTB1,8.21,0,0
SLC6A6,7.46,0,0
LMLN,4.48,0,0
PKN1,11.94,0,0
S100A13,19.4,0,0
EBPL,6.72,0,0
HBZ,7.46,0,0
ZDHHC3,5.22,0,0
FANCG,3.73,0,0
CDH4,8.21,0,0
BEST4,14.18,0,0
TMEM90B,5.97,0,0
SRBD1,8.96,0,0
RRM2,21.64,0,0
CRH,13.43,0,0
TDRD1,58.96,0,0
DCLK1,5.97,0,0
MAK16,8.21,0,0
EIF3I,5.97,0,0
NFKBIB,1.49,0,0
MAMDC4,4.48,0,0
PLAGL1,35.82,0,0
BSND,8.21,0,0
CACNA1H,6.72,0,0
BSCL2,3.73,0,0
DHX40,5.22,0,0
KCNIP1,3.73,0,0
EXOC3L2,4.48,0,0
APOA4,5.97,0,0
DIRAS3,23.88,0,0
LIMCH1,5.22,0,0
DCAF4L2,9.7,0,0
STXBP2,6.72,0,0
RNF115,23.88,0,0
SYNE2,8.21,0,0
EFNA3,13.43,0,0
CALCB,3.73,0,0
PMEPA1,5.97,0,0
SCRN1,11.19,0,0
DYRK2,7.46,0,0
MTM1,7.46,0,0
ZNF532,4.48,0,0
FOLH1,7.46,0,0
C2orf47,3.73,0,0
UBE2V2,31.34,0,0
PDPK1,2.99,0,0
CBLC,5.22,0,0
C18orf16,6.72,0,0
CNTD2,8.21,0,0
IKBKAP,4.48,0,0
GSTP1,0.75,0,0
ARL13B,29.1,0,0
PRR18,7.46,0,0
ACTL6B,17.91,0,0
TMEM138,5.22,0,0
DYDC2,8.21,0,0
MTMR6,29.1,0,0
CRCT1,16.42,0,0
ATXN3,3.73,0,0
COG8,41.79,0,0
SFN,11.19,0,0
HIF3A,8.96,0,0
CAPN2,31.34,0,0
COQ3,2.99,0,0
ELANE,8.21,0,0
MRTO4,27.61,0,0
MFF,46.27,0,0
TXNL4A,29.1,0,0
MRPL30,55.22,0,0
TOLLIP,4.48,0,0
SLC12A5,10.45,0,0
TP73,13.43,0,0
RNF8,13.43,0,0
C18orf22,5.22,0,0
MSH3,17.91,0,0
OLFM1,6.72,0,0
C1orf124,29.1,0,0
LUC7L,3.73,0,0
TRPM6,9.7,0,0
SNRPA,8.96,0,0
TKTL2,4.48,0,0
DDX49,5.97,0,0
TNFRSF10A,24.63,0,0
NOS1,10.45,0,0
C21orf70,19.4,0,0
PPP4C,13.43,0,0
KLHL1,22.39,0,0
NUMA1,3.73,0,0
KRT19,4.48,0,0
ABHD12B,3.73,0,0
ZC3H3,16.42,0,0
TRPC3,8.96,0,0
STRN3,4.48,0,0
BEND2,23.88,0,0
C11orf49,5.97,0,0
SHANK1,8.21,0,0
LTB4R2,4.48,0,0
