Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,0.88,0,0
SMAP1,12.39,0,0
CRHR1,0.0,0,0
RETN,0.0,0,0
C1orf229,0.0,0,0
FXC1,0.0,0,0
TSPAN4,5.31,0,0
CNOT6,1.77,0,0
FAM129A,1.77,0,0
SLC2A10,0.88,0,0
SNTB1,9.73,0,0
SLC6A6,0.0,0,0
LMLN,0.0,0,0
PKN1,2.65,0,0
S100A13,14.16,0,0
EBPL,6.19,0,0
HBZ,5.31,0,0
ZDHHC3,0.0,0,0
FANCG,1.77,0,0
CDH4,0.0,0,0
BEST4,0.88,0,0
TMEM90B,0.0,0,0
SRBD1,12.39,0,0
RRM2,0.0,0,0
CRH,4.42,0,0
TDRD1,7.96,0,0
DCLK1,2.65,0,0
MAK16,7.96,0,0
EIF3I,0.88,0,0
NFKBIB,0.0,0,0
MAMDC4,0.0,0,0
PLAGL1,0.88,0,0
BSND,0.0,0,0
CACNA1H,0.0,0,0
BSCL2,0.0,0,0
DHX40,4.42,0,0
KCNIP1,0.88,0,0
EXOC3L2,0.0,0,0
APOA4,2.65,0,0
DIRAS3,0.88,0,0
LIMCH1,0.0,0,0
DCAF4L2,0.0,0,0
STXBP2,0.0,0,0
RNF115,2.65,0,0
SYNE2,2.65,0,0
EFNA3,0.88,0,0
CALCB,2.65,0,0
PMEPA1,1.77,0,0
SCRN1,0.0,0,0
DYRK2,0.0,0,0
MTM1,0.0,0,0
ZNF532,0.0,0,0
FOLH1,9.73,0,0
C2orf47,1.77,0,0
UBE2V2,14.16,0,0
PDPK1,0.0,0,0
CBLC,7.08,0,0
C18orf16,13.27,0,0
CNTD2,10.62,0,0
IKBKAP,11.5,0,0
GSTP1,2.65,0,0
ARL13B,22.12,0,0
PRR18,0.0,0,0
ACTL6B,7.08,0,0
TMEM138,3.54,0,0
DYDC2,5.31,0,0
MTMR6,7.96,0,0
CRCT1,3.54,0,0
ATXN3,15.04,0,0
COG8,3.54,0,0
SFN,2.65,0,0
HIF3A,8.85,0,0
CAPN2,3.54,0,0
COQ3,7.08,0,0
ELANE,11.5,0,0
MRTO4,9.73,0,0
MFF,37.17,0,0
TXNL4A,8.85,0,0
MRPL30,40.71,0,0
TOLLIP,10.62,0,0
SLC12A5,2.65,0,0
TP73,23.01,0,0
RNF8,7.08,0,0
C18orf22,7.08,0,0
MSH3,0.88,0,0
OLFM1,2.65,0,0
C1orf124,0.0,0,0
LUC7L,0.0,0,0
TRPM6,6.19,0,0
SNRPA,4.42,0,0
TKTL2,0.0,0,0
DDX49,7.96,0,0
TNFRSF10A,5.31,0,0
NOS1,3.54,0,0
C21orf70,0.0,0,0
PPP4C,12.39,0,0
KLHL1,3.54,0,0
NUMA1,0.88,0,0
KRT19,0.0,0,0
ABHD12B,0.0,0,0
ZC3H3,7.96,0,0
TRPC3,3.54,0,0
STRN3,2.65,0,0
BEND2,18.58,0,0
C11orf49,7.96,0,0
SHANK1,14.16,0,0
LTB4R2,0.0,0,0
