Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
NPR3,1.39,92.86,1.39
HIST1H3J,0.99,94.64,0.99
CPXM1,0.99,100.0,0.99
FUT9,0.79,98.21,0.79
SLC6A1,0.79,98.21,0.79
HIST1H2BB,0.6,91.07,0.6
GFRA3,0.4,100.0,0.4
TNFRSF10D,0.4,96.43,0.4
RPL39L,0.4,100.0,0.4
LRRC4,0.4,100.0,0.4
DTX1,0.4,98.21,0.4
RERG,0.4,100.0,0.4
MIR34B,0.4,100.0,0.4
PCDHGC3,0.2,100.0,0.2
WNT7A,0.2,96.43,0.2
HIST1H4D,0.2,100.0,0.2
ELOVL4,0.2,98.21,0.2
KCNS3,0.2,92.86,0.2
MT1E,0.2,100.0,0.2
KCNK9,0.2,96.43,0.2
NPAS1,0.2,100.0,0.2
B3GALNT1,0.2,92.86,0.2
SFRP5,0.2,98.21,0.2
TWIST1,0.2,96.43,0.2
BMPER,0.2,98.21,0.2
ELMO1,0.2,98.21,0.2
PROK2,0.2,98.21,0.2
GALR1,0.2,98.21,0.2
NETO1,0.2,100.0,0.2
GSTP1,0.0,100.0,0.0
FNBP1,0.0,98.21,0.0
ZNF570,0.0,100.0,0.0
ZNF345,0.0,96.43,0.0
DFNA5,0.0,100.0,0.0
KCNQ3,0.0,100.0,0.0
ZNF569,0.0,98.21,0.0
ERBB4,0.0,98.21,0.0
VAV3,0.0,91.07,0.0
TMEM121,0.0,98.21,0.0
PHF21B,0.0,100.0,0.0
SNAI2,0.0,98.21,0.0
KCNC1,0.0,98.21,0.0
TSPAN2,0.0,100.0,0.0
PRKG1,0.0,96.43,0.0
SLC22A17,0.0,96.43,0.0
MIR1908,0.0,100.0,0.0
SDC2,0.0,91.07,0.0
CHCHD5,0.0,100.0,0.0
GRIN2A,0.0,98.21,0.0
MLH1,0.0,100.0,0.0
ZNF304,0.0,100.0,0.0
UQCRH,0.0,100.0,0.0
ADAM23,0.0,100.0,0.0
CACNG2,0.0,100.0,0.0
ATRNL1,0.0,100.0,0.0
BEND5,0.0,100.0,0.0
FKBP11,0.0,100.0,0.0
PTPN13,0.0,94.64,0.0
ZNF365,0.0,98.21,0.0
SPG20,0.0,100.0,0.0
LOC283856,0.0,100.0,0.0
NDRG4,0.0,100.0,0.0
EHD3,0.0,98.21,0.0
NELL2,0.0,100.0,0.0
ZBTB16,0.0,100.0,0.0
RNF182,0.0,98.21,0.0
MGMT,0.0,94.64,0.0
HAAO,0.0,100.0,0.0
ADAMTS3,0.0,98.21,0.0
SLC8A3,0.0,100.0,0.0
GABRB2,0.0,100.0,0.0
PAK7,0.0,98.21,0.0
GFRA1,0.0,94.64,0.0
HIF3A,0.0,100.0,0.0
DLK1,0.0,100.0,0.0
SNCA,0.0,98.21,0.0
SLC16A12,0.0,98.21,0.0
RBM24,0.0,98.21,0.0
CRHR2,0.0,98.21,0.0
SLITRK5,0.0,98.21,0.0
WDR17,0.0,96.43,0.0
FOXE1,0.0,98.21,0.0
GATA4,0.0,100.0,0.0
LOXL3,0.0,100.0,0.0
SNX32,0.0,96.43,0.0
ST6GALNAC5,0.0,98.21,0.0
GRIN3A,0.0,98.21,0.0
ZNF542,0.0,98.21,0.0
KCNT2,0.0,98.21,0.0
SORCS3,0.0,96.43,0.0
TMEM101,0.0,98.21,0.0
SPDYA,0.0,98.21,0.0
RET,0.0,100.0,0.0
SOX5,0.0,100.0,0.0
JAKMIP1,0.0,100.0,0.0
PRR16,0.0,100.0,0.0
MME,0.0,64.29,0.0
SCNN1B,9.13,46.43,0.0
PLCB1,0.0,98.21,0.0
EPO,0.0,100.0,0.0
FAM20A,0.0,98.21,0.0
IRX4,0.0,100.0,0.0
JPH3,0.0,98.21,0.0
EPHA7,0.0,100.0,0.0
SLC30A2,0.0,96.43,0.0
CUX2,0.0,98.21,0.0
PCDH17,0.0,96.43,0.0
ME3,0.0,94.64,0.0
AOX1,0.0,98.21,0.0
LOC100130148,0.0,100.0,0.0
