Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
SNTB1,32.94,98.21,32.94
SLC12A5,17.26,82.14,17.26
RNF8,11.51,91.07,11.51
EFNA3,11.31,100.0,11.31
C1orf229,9.92,100.0,9.92
CBLC,9.92,100.0,9.92
C21orf70,8.93,80.36,8.93
IKBKAP,8.93,100.0,8.93
CACNG3,7.54,100.0,7.54
TMEM138,6.75,100.0,6.75
C11orf49,6.15,100.0,6.15
MFF,5.56,87.5,5.56
ZC3H3,4.96,100.0,4.96
FANCG,4.96,98.21,4.96
UBE2V2,4.76,96.43,4.76
DHX40,4.56,98.21,4.56
MRPL30,3.77,98.21,3.77
PKN1,3.37,100.0,3.37
SHANK1,2.38,98.21,2.38
MTMR6,2.38,100.0,2.38
ACTL6B,2.38,98.21,2.38
KCNIP1,2.18,100.0,2.18
TMEM90B,1.79,100.0,1.79
CALCB,1.79,100.0,1.79
CAPN2,1.59,100.0,1.59
TDRD1,1.59,96.43,1.59
TXNL4A,1.39,100.0,1.39
CRCT1,1.39,100.0,1.39
ATXN3,1.39,100.0,1.39
DCLK1,1.39,100.0,1.39
RETN,1.19,100.0,1.19
OLFM1,1.19,96.43,1.19
MRTO4,1.19,98.21,1.19
NOS1,1.19,100.0,1.19
SFN,0.99,100.0,0.99
TKTL2,0.99,100.0,0.99
DIRAS3,0.79,98.21,0.79
HBZ,0.79,87.5,0.79
BEST4,0.79,100.0,0.79
MTM1,0.79,100.0,0.79
ELANE,0.79,100.0,0.79
COQ3,0.79,100.0,0.79
COG8,0.6,100.0,0.6
C18orf22,0.6,98.21,0.6
MAK16,0.4,100.0,0.4
CDH4,0.4,100.0,0.4
MSH3,0.4,100.0,0.4
TOLLIP,0.4,100.0,0.4
GSTP1,0.4,100.0,0.4
DYRK2,0.4,100.0,0.4
TSPAN4,0.4,100.0,0.4
TRPC3,0.4,100.0,0.4
RRM2,0.2,100.0,0.2
EBPL,0.2,100.0,0.2
ARL13B,0.2,100.0,0.2
KRT19,0.2,100.0,0.2
HIF3A,0.2,100.0,0.2
RNF115,0.2,98.21,0.2
DDX49,0.2,100.0,0.2
KLHL1,0.2,100.0,0.2
C1orf124,0.2,100.0,0.2
STRN3,0.2,100.0,0.2
BEND2,0.2,100.0,0.2
NFKBIB,0.0,100.0,0.0
MAMDC4,0.0,100.0,0.0
EIF3I,45.63,8.93,0.0
SMAP1,0.0,100.0,0.0
ZNF532,0.0,100.0,0.0
EXOC3L2,24.21,19.64,0.0
PMEPA1,0.0,100.0,0.0
SCRN1,0.0,100.0,0.0
BSCL2,0.0,100.0,0.0
PLAGL1,0.0,96.43,0.0
APOA4,8.93,60.71,0.0
LIMCH1,0.0,100.0,0.0
BSND,0.0,100.0,0.0
DCAF4L2,0.0,100.0,0.0
CACNA1H,0.0,100.0,0.0
STXBP2,0.0,100.0,0.0
SYNE2,26.39,17.86,0.0
C2orf47,0.0,100.0,0.0
CRHR1,0.0,100.0,0.0
FXC1,0.0,100.0,0.0
DYDC2,0.0,100.0,0.0
PRR18,0.0,100.0,0.0
CNTD2,6.75,75.0,0.0
C18orf16,74.21,0.0,0.0
PDPK1,0.0,100.0,0.0
ABHD12B,0.0,100.0,0.0
NUMA1,0.0,100.0,0.0
PPP4C,0.0,100.0,0.0
TNFRSF10A,0.0,100.0,0.0
SNRPA,51.39,14.29,0.0
TRPM6,0.0,100.0,0.0
LUC7L,0.0,100.0,0.0
TP73,0.0,100.0,0.0
FOLH1,0.0,100.0,0.0
CRH,38.69,32.14,0.0
SRBD1,42.06,8.93,0.0
ZDHHC3,0.0,100.0,0.0
S100A13,0.0,100.0,0.0
LMLN,0.0,100.0,0.0
SLC6A6,0.0,100.0,0.0
SLC2A10,0.0,100.0,0.0
FAM129A,0.0,100.0,0.0
CNOT6,0.0,100.0,0.0
LTB4R2,0.0,100.0,0.0
