Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
HAAO,8.16,0,0
BEND5,0.0,0,0
ZNF570,2.04,0,0
PCDHGC3,0.0,0,0
DFNA5,0.0,0,0
WNT7A,2.04,0,0
ZNF569,0.0,0,0
ERBB4,0.0,0,0
TMEM121,0.0,0,0
VAV3,0.0,0,0
TSPAN2,4.08,0,0
PRKG1,0.0,0,0
SLC22A17,0.0,0,0
SLC8A3,0.0,0,0
PHF21B,0.0,0,0
BMPER,2.04,0,0
RERG,0.0,0,0
TMEM101,0.0,0,0
RET,0.0,0,0
SOX5,0.0,0,0
SLC6A1,2.04,0,0
B3GALNT1,2.04,0,0
NPAS1,2.04,0,0
JAKMIP1,4.08,0,0
PRR16,0.0,0,0
KCNK9,2.04,0,0
SDC2,0.0,0,0
GRIN2A,2.04,0,0
SCNN1B,6.12,0,0
GSTP1,0.0,0,0
MIR1908,0.0,0,0
KCNC1,4.08,0,0
SNAI2,0.0,0,0
FNBP1,2.04,0,0
KCNQ3,0.0,0,0
ZNF345,0.0,0,0
CHCHD5,0.0,0,0
LOC283856,2.04,0,0
FKBP11,2.04,0,0
ATRNL1,0.0,0,0
CACNG2,0.0,0,0
MLH1,0.0,0,0
MGMT,2.04,0,0
ZNF304,0.0,0,0
UQCRH,0.0,0,0
ADAM23,0.0,0,0
PTPN13,10.2,0,0
ZNF365,0.0,0,0
SPG20,0.0,0,0
NDRG4,0.0,0,0
EHD3,0.0,0,0
NELL2,0.0,0,0
ZBTB16,0.0,0,0
RNF182,0.0,0,0
MME,2.04,0,0
ADAMTS3,0.0,0,0
KCNS3,4.08,0,0
WDR17,2.04,0,0
SLC16A12,0.0,0,0
ELMO1,0.0,0,0
PROK2,2.04,0,0
NPR3,2.04,0,0
RBM24,4.08,0,0
CRHR2,0.0,0,0
TNFRSF10D,4.08,0,0
RPL39L,8.16,0,0
HIST1H3J,2.04,0,0
SLITRK5,6.12,0,0
CPXM1,2.04,0,0
FOXE1,4.08,0,0
PLCB1,0.0,0,0
GFRA3,2.04,0,0
HIST1H2BB,2.04,0,0
GATA4,0.0,0,0
GALR1,0.0,0,0
LOXL3,0.0,0,0
SNX32,2.04,0,0
ST6GALNAC5,0.0,0,0
NETO1,0.0,0,0
GRIN3A,4.08,0,0
ZNF542,8.16,0,0
MIR34B,4.08,0,0
SNCA,4.08,0,0
LRRC4,6.12,0,0
DTX1,0.0,0,0
DLK1,0.0,0,0
EPO,0.0,0,0
FAM20A,2.04,0,0
IRX4,0.0,0,0
JPH3,0.0,0,0
EPHA7,2.04,0,0
SLC30A2,0.0,0,0
HIST1H4D,2.04,0,0
CUX2,0.0,0,0
PCDH17,0.0,0,0
ME3,0.0,0,0
AOX1,2.04,0,0
SPDYA,4.08,0,0
SORCS3,0.0,0,0
ELOVL4,0.0,0,0
GABRB2,2.04,0,0
KCNT2,0.0,0,0
PAK7,4.08,0,0
MT1E,2.04,0,0
TWIST1,0.0,0,0
FUT9,0.0,0,0
SFRP5,0.0,0,0
GFRA1,2.04,0,0
HIF3A,2.04,0,0
LOC100130148,0.0,0,0
