Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,51.02,0,0
SMAP1,12.24,0,0
CRHR1,18.37,0,0
RETN,26.53,0,0
C1orf229,10.2,0,0
FXC1,0.0,0,0
TSPAN4,16.33,0,0
CNOT6,2.04,0,0
FAM129A,2.04,0,0
SLC2A10,0.0,0,0
SNTB1,2.04,0,0
SLC6A6,6.12,0,0
LMLN,0.0,0,0
PKN1,0.0,0,0
S100A13,6.12,0,0
EBPL,24.49,0,0
HBZ,32.65,0,0
ZDHHC3,6.12,0,0
FANCG,12.24,0,0
CDH4,8.16,0,0
BEST4,20.41,0,0
TMEM90B,14.29,0,0
SRBD1,2.04,0,0
RRM2,8.16,0,0
CRH,8.16,0,0
TDRD1,10.2,0,0
DCLK1,44.9,0,0
MAK16,12.24,0,0
EIF3I,0.0,0,0
NFKBIB,0.0,0,0
MAMDC4,0.0,0,0
PLAGL1,0.0,0,0
BSND,30.61,0,0
CACNA1H,12.24,0,0
BSCL2,0.0,0,0
DHX40,2.04,0,0
KCNIP1,10.2,0,0
EXOC3L2,0.0,0,0
APOA4,16.33,0,0
DIRAS3,8.16,0,0
LIMCH1,0.0,0,0
DCAF4L2,6.12,0,0
STXBP2,6.12,0,0
RNF115,2.04,0,0
SYNE2,2.04,0,0
EFNA3,0.0,0,0
CALCB,14.29,0,0
PMEPA1,4.08,0,0
SCRN1,4.08,0,0
DYRK2,0.0,0,0
MTM1,2.04,0,0
ZNF532,0.0,0,0
FOLH1,14.29,0,0
C2orf47,0.0,0,0
UBE2V2,10.2,0,0
PDPK1,18.37,0,0
CBLC,0.0,0,0
C18orf16,36.73,0,0
CNTD2,10.2,0,0
IKBKAP,6.12,0,0
GSTP1,4.08,0,0
ARL13B,14.29,0,0
PRR18,6.12,0,0
ACTL6B,44.9,0,0
TMEM138,14.29,0,0
DYDC2,36.73,0,0
MTMR6,36.73,0,0
CRCT1,36.73,0,0
ATXN3,46.94,0,0
COG8,6.12,0,0
SFN,2.04,0,0
HIF3A,20.41,0,0
CAPN2,4.08,0,0
COQ3,8.16,0,0
ELANE,18.37,0,0
MRTO4,4.08,0,0
MFF,38.78,0,0
TXNL4A,22.45,0,0
MRPL30,59.18,0,0
TOLLIP,6.12,0,0
SLC12A5,26.53,0,0
TP73,36.73,0,0
RNF8,16.33,0,0
C18orf22,4.08,0,0
MSH3,20.41,0,0
OLFM1,20.41,0,0
C1orf124,2.04,0,0
LUC7L,0.0,0,0
TRPM6,10.2,0,0
SNRPA,8.16,0,0
TKTL2,30.61,0,0
DDX49,10.2,0,0
TNFRSF10A,0.0,0,0
NOS1,32.65,0,0
C21orf70,8.16,0,0
PPP4C,8.16,0,0
KLHL1,32.65,0,0
NUMA1,0.0,0,0
KRT19,12.24,0,0
ABHD12B,38.78,0,0
ZC3H3,10.2,0,0
TRPC3,34.69,0,0
STRN3,4.08,0,0
BEND2,48.98,0,0
C11orf49,18.37,0,0
SHANK1,22.45,0,0
LTB4R2,0.0,0,0
