Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
TMEM101,83.93,91.43,83.93
HIST1H2BB,78.57,97.14,78.57
HIST1H3J,51.79,94.29,51.79
NETO1,44.64,97.14,44.64
FKBP11,37.5,100.0,37.5
SCNN1B,33.93,97.14,33.93
GRIN3A,33.93,91.43,33.93
UQCRH,32.14,100.0,32.14
SPDYA,25.0,100.0,25.0
GATA4,21.43,97.14,21.43
FOXE1,21.43,91.43,21.43
MT1E,16.07,100.0,16.07
DLK1,16.07,100.0,16.07
HIST1H4D,12.5,100.0,12.5
SORCS3,12.5,91.43,12.5
CHCHD5,12.5,88.57,12.5
PCDHGC3,8.93,100.0,8.93
KCNT2,7.14,100.0,7.14
RPL39L,7.14,97.14,7.14
PCDH17,5.36,97.14,5.36
GALR1,5.36,100.0,5.36
MIR34B,5.36,100.0,5.36
ZNF542,5.36,97.14,5.36
SNCA,5.36,97.14,5.36
WDR17,5.36,88.57,5.36
FUT9,3.57,100.0,3.57
MLH1,3.57,100.0,3.57
PRKG1,3.57,100.0,3.57
SNX32,3.57,88.57,3.57
ZNF569,3.57,100.0,3.57
SLC30A2,3.57,100.0,3.57
IRX4,3.57,100.0,3.57
TNFRSF10D,3.57,100.0,3.57
GABRB2,1.79,97.14,1.79
AOX1,1.79,97.14,1.79
ST6GALNAC5,1.79,91.43,1.79
PRR16,1.79,100.0,1.79
ZNF304,1.79,100.0,1.79
TSPAN2,1.79,100.0,1.79
DFNA5,1.79,100.0,1.79
ZNF570,1.79,100.0,1.79
SFRP5,1.79,100.0,1.79
GFRA1,1.79,94.29,1.79
CRHR2,1.79,97.14,1.79
LRRC4,1.79,97.14,1.79
ZNF345,1.79,97.14,1.79
NPR3,1.79,100.0,1.79
RBM24,1.79,100.0,1.79
MGMT,0.0,100.0,0.0
ZBTB16,0.0,100.0,0.0
RNF182,0.0,97.14,0.0
PHF21B,0.0,100.0,0.0
GRIN2A,0.0,100.0,0.0
SDC2,0.0,97.14,0.0
NELL2,0.0,94.29,0.0
WNT7A,0.0,100.0,0.0
HAAO,37.5,74.29,0.0
EHD3,0.0,100.0,0.0
ATRNL1,0.0,97.14,0.0
MIR1908,0.0,100.0,0.0
KCNC1,0.0,100.0,0.0
SNAI2,0.0,100.0,0.0
FNBP1,0.0,100.0,0.0
KCNQ3,0.0,100.0,0.0
LOC283856,0.0,100.0,0.0
CACNG2,0.0,100.0,0.0
NDRG4,0.0,100.0,0.0
TMEM121,0.0,100.0,0.0
GSTP1,0.0,100.0,0.0
ADAM23,0.0,100.0,0.0
PTPN13,0.0,40.0,0.0
ZNF365,0.0,100.0,0.0
SPG20,0.0,100.0,0.0
ERBB4,0.0,100.0,0.0
ADAMTS3,0.0,100.0,0.0
VAV3,0.0,71.43,0.0
DTX1,0.0,97.14,0.0
CUX2,0.0,97.14,0.0
ME3,0.0,100.0,0.0
ELOVL4,0.0,82.86,0.0
PAK7,0.0,100.0,0.0
TWIST1,0.0,100.0,0.0
HIF3A,0.0,97.14,0.0
SLC16A12,0.0,100.0,0.0
JPH3,0.0,97.14,0.0
ELMO1,0.0,94.29,0.0
PROK2,0.0,100.0,0.0
SLITRK5,0.0,100.0,0.0
CPXM1,10.71,77.14,0.0
GFRA3,0.0,100.0,0.0
LOXL3,0.0,100.0,0.0
EPHA7,0.0,100.0,0.0
FAM20A,0.0,100.0,0.0
SLC22A17,0.0,100.0,0.0
SLC6A1,0.0,100.0,0.0
BEND5,0.0,100.0,0.0
SLC8A3,0.0,100.0,0.0
BMPER,0.0,100.0,0.0
RERG,0.0,100.0,0.0
RET,0.0,100.0,0.0
SOX5,0.0,100.0,0.0
B3GALNT1,0.0,68.57,0.0
EPO,0.0,100.0,0.0
NPAS1,0.0,100.0,0.0
JAKMIP1,0.0,100.0,0.0
KCNK9,0.0,100.0,0.0
MME,0.0,74.29,0.0
KCNS3,0.0,88.57,0.0
PLCB1,0.0,100.0,0.0
LOC100130148,0.0,100.0,0.0
