Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,78.57,100.0,78.57
ELANE,75.0,88.57,75.0
UBE2V2,69.64,88.57,69.64
CNTD2,62.5,91.43,62.5
RNF8,57.14,88.57,57.14
COQ3,55.36,100.0,55.36
ACTL6B,51.79,100.0,51.79
FANCG,51.79,100.0,51.79
FOLH1,51.79,97.14,51.79
TXNL4A,48.21,100.0,48.21
C18orf22,46.43,88.57,46.43
PDPK1,42.86,100.0,42.86
SYNE2,42.86,100.0,42.86
TSPAN4,42.86,94.29,42.86
OLFM1,39.29,100.0,39.29
CRH,39.29,97.14,39.29
TMEM138,39.29,100.0,39.29
CDH4,37.5,100.0,37.5
EBPL,37.5,100.0,37.5
S100A13,37.5,97.14,37.5
LUC7L,37.5,100.0,37.5
MAK16,35.71,100.0,35.71
ZNF532,35.71,100.0,35.71
STRN3,35.71,100.0,35.71
STXBP2,32.14,100.0,32.14
C1orf124,32.14,100.0,32.14
DHX40,32.14,100.0,32.14
CACNA1H,32.14,100.0,32.14
ZC3H3,30.36,100.0,30.36
SLC12A5,30.36,100.0,30.36
MTMR6,25.0,100.0,25.0
PPP4C,25.0,82.86,25.0
NOS1,23.21,97.14,23.21
C2orf47,23.21,100.0,23.21
ARL13B,23.21,100.0,23.21
TOLLIP,23.21,100.0,23.21
CNOT6,21.43,100.0,21.43
COG8,21.43,100.0,21.43
IKBKAP,21.43,100.0,21.43
HIF3A,19.64,100.0,19.64
EIF3I,17.86,85.71,17.86
CRCT1,17.86,100.0,17.86
CALCB,16.07,100.0,16.07
TNFRSF10A,16.07,97.14,16.07
DIRAS3,16.07,97.14,16.07
BSCL2,14.29,91.43,14.29
DDX49,14.29,100.0,14.29
RNF115,14.29,100.0,14.29
NUMA1,14.29,97.14,14.29
TP73,14.29,100.0,14.29
CBLC,12.5,88.57,12.5
HBZ,12.5,85.71,12.5
EXOC3L2,10.71,91.43,10.71
ATXN3,10.71,100.0,10.71
MRTO4,10.71,100.0,10.71
MRPL30,10.71,94.29,10.71
C11orf49,10.71,97.14,10.71
GSTP1,8.93,100.0,8.93
DCAF4L2,8.93,100.0,8.93
RETN,8.93,100.0,8.93
C21orf70,8.93,100.0,8.93
ZDHHC3,8.93,100.0,8.93
PMEPA1,8.93,100.0,8.93
MFF,8.93,100.0,8.93
LMLN,7.14,100.0,7.14
PKN1,7.14,100.0,7.14
SNTB1,7.14,100.0,7.14
TKTL2,7.14,100.0,7.14
KCNIP1,7.14,100.0,7.14
KLHL1,7.14,100.0,7.14
PRR18,7.14,100.0,7.14
C18orf16,7.14,97.14,7.14
PLAGL1,5.36,97.14,5.36
BEND2,5.36,100.0,5.36
CAPN2,5.36,100.0,5.36
DYDC2,3.57,100.0,3.57
FXC1,3.57,100.0,3.57
C1orf229,3.57,91.43,3.57
FAM129A,3.57,100.0,3.57
RRM2,3.57,100.0,3.57
TMEM90B,3.57,100.0,3.57
BSND,1.79,100.0,1.79
SCRN1,1.79,85.71,1.79
APOA4,1.79,91.43,1.79
TRPC3,1.79,100.0,1.79
SLC6A6,1.79,91.43,1.79
KRT19,1.79,100.0,1.79
CRHR1,1.79,100.0,1.79
SFN,1.79,100.0,1.79
TRPM6,1.79,100.0,1.79
SRBD1,1.79,97.14,1.79
BEST4,0.0,88.57,0.0
NFKBIB,0.0,100.0,0.0
MAMDC4,0.0,97.14,0.0
SNRPA,0.0,100.0,0.0
SHANK1,37.5,68.57,0.0
MSH3,0.0,100.0,0.0
DYRK2,0.0,100.0,0.0
MTM1,0.0,100.0,0.0
ABHD12B,0.0,100.0,0.0
LIMCH1,0.0,100.0,0.0
SLC2A10,0.0,100.0,0.0
TDRD1,0.0,97.14,0.0
EFNA3,0.0,91.43,0.0
SMAP1,28.57,65.71,0.0
DCLK1,1.79,60.0,0.0
LTB4R2,0.0,100.0,0.0
