Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,10.13,0,0
SMAP1,1.27,0,0
CRHR1,0.0,0,0
RETN,0.0,0,0
C1orf229,0.0,0,0
FXC1,0.0,0,0
TSPAN4,62.03,0,0
CNOT6,1.27,0,0
FAM129A,0.0,0,0
SLC2A10,0.0,0,0
SNTB1,0.0,0,0
SLC6A6,0.0,0,0
LMLN,0.0,0,0
PKN1,10.13,0,0
S100A13,37.97,0,0
EBPL,0.0,0,0
HBZ,0.0,0,0
ZDHHC3,17.72,0,0
FANCG,31.65,0,0
CDH4,0.0,0,0
BEST4,0.0,0,0
TMEM90B,22.78,0,0
SRBD1,0.0,0,0
RRM2,0.0,0,0
CRH,10.13,0,0
TDRD1,7.59,0,0
DCLK1,0.0,0,0
MAK16,16.46,0,0
EIF3I,0.0,0,0
NFKBIB,0.0,0,0
MAMDC4,3.8,0,0
PLAGL1,2.53,0,0
BSND,0.0,0,0
CACNA1H,1.27,0,0
BSCL2,0.0,0,0
DHX40,7.59,0,0
KCNIP1,1.27,0,0
EXOC3L2,0.0,0,0
APOA4,0.0,0,0
DIRAS3,7.59,0,0
LIMCH1,0.0,0,0
DCAF4L2,0.0,0,0
STXBP2,1.27,0,0
RNF115,1.27,0,0
SYNE2,0.0,0,0
EFNA3,0.0,0,0
CALCB,3.8,0,0
PMEPA1,2.53,0,0
SCRN1,0.0,0,0
DYRK2,0.0,0,0
MTM1,3.8,0,0
ZNF532,0.0,0,0
FOLH1,0.0,0,0
C2orf47,6.33,0,0
UBE2V2,13.92,0,0
PDPK1,0.0,0,0
CBLC,0.0,0,0
C18orf16,0.0,0,0
CNTD2,0.0,0,0
IKBKAP,24.05,0,0
GSTP1,8.86,0,0
ARL13B,53.16,0,0
PRR18,0.0,0,0
ACTL6B,27.85,0,0
TMEM138,45.57,0,0
DYDC2,0.0,0,0
MTMR6,0.0,0,0
CRCT1,13.92,0,0
ATXN3,1.27,0,0
COG8,41.77,0,0
SFN,0.0,0,0
HIF3A,2.53,0,0
CAPN2,1.27,0,0
COQ3,29.11,0,0
ELANE,16.46,0,0
MRTO4,3.8,0,0
MFF,89.87,0,0
TXNL4A,24.05,0,0
MRPL30,20.25,0,0
TOLLIP,0.0,0,0
SLC12A5,21.52,0,0
TP73,0.0,0,0
RNF8,8.86,0,0
C18orf22,2.53,0,0
MSH3,0.0,0,0
OLFM1,0.0,0,0
C1orf124,0.0,0,0
LUC7L,0.0,0,0
TRPM6,0.0,0,0
SNRPA,12.66,0,0
TKTL2,0.0,0,0
DDX49,3.8,0,0
TNFRSF10A,0.0,0,0
NOS1,11.39,0,0
C21orf70,0.0,0,0
PPP4C,0.0,0,0
KLHL1,0.0,0,0
NUMA1,12.66,0,0
KRT19,0.0,0,0
ABHD12B,0.0,0,0
ZC3H3,12.66,0,0
TRPC3,0.0,0,0
STRN3,75.95,0,0
BEND2,13.92,0,0
C11orf49,11.39,0,0
SHANK1,3.8,0,0
LTB4R2,0.0,0,0
