Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
HAAO,24.95,94.41,24.95
SCNN1B,21.13,85.83,21.13
MIR34B,20.62,93.2,20.62
ZNF542,20.01,90.31,20.01
GRIN3A,19.95,95.06,19.95
NETO1,19.93,87.79,19.93
ST6GALNAC5,18.24,89.66,18.24
SNX32,18.07,84.62,18.07
LOXL3,17.02,90.96,17.02
GALR1,16.46,95.81,16.46
GATA4,14.83,94.97,14.83
HIST1H2BB,14.81,90.21,14.81
GFRA3,14.6,91.05,14.6
FOXE1,14.26,88.35,14.26
WDR17,13.61,93.48,13.61
CPXM1,13.28,92.45,13.28
SLITRK5,12.82,93.66,12.82
HIST1H3J,12.55,89.47,12.55
RPL39L,12.44,94.5,12.44
TNFRSF10D,12.36,96.27,12.36
CRHR2,11.84,93.2,11.84
RBM24,11.71,93.76,11.71
NPR3,11.7,92.45,11.7
PROK2,11.53,83.6,11.53
ELMO1,11.48,91.61,11.48
SLC16A12,11.36,95.25,11.36
SNCA,10.73,93.2,10.73
LRRC4,10.68,88.72,10.68
DTX1,10.62,89.93,10.62
DLK1,10.58,93.2,10.58
HIF3A,10.41,94.78,10.41
GFRA1,10.36,88.07,10.36
SFRP5,10.31,87.51,10.31
FUT9,10.2,89.84,10.2
TWIST1,10.17,96.55,10.17
MT1E,10.16,93.76,10.16
PAK7,9.54,95.9,9.54
KCNT2,9.54,89.93,9.54
GABRB2,9.36,97.86,9.36
ELOVL4,9.07,94.97,9.07
SORCS3,9.03,90.4,9.03
SPDYA,8.92,93.66,8.92
AOX1,8.78,91.71,8.78
ME3,8.76,94.22,8.76
PCDH17,8.55,87.6,8.55
CUX2,8.49,88.63,8.49
HIST1H4D,8.07,98.04,8.07
SLC30A2,7.87,94.41,7.87
JPH3,7.69,92.82,7.69
EPHA7,7.68,97.58,7.68
IRX4,7.57,95.43,7.57
FAM20A,7.47,96.83,7.47
EPO,7.41,97.67,7.41
PLCB1,7.37,98.04,7.37
KCNS3,7.33,93.01,7.33
ADAMTS3,7.06,97.39,7.06
MME,6.73,90.21,6.73
KCNK9,6.69,95.99,6.69
PRR16,6.67,97.11,6.67
JAKMIP1,6.6,84.34,6.6
NPAS1,6.49,99.44,6.49
B3GALNT1,6.43,90.77,6.43
SLC6A1,6.26,96.92,6.26
SOX5,6.07,96.55,6.07
RET,6.01,97.39,6.01
TMEM101,5.98,98.42,5.98
RERG,5.75,94.87,5.75
BMPER,5.54,96.46,5.54
SLC8A3,5.47,99.25,5.47
BEND5,5.41,98.6,5.41
SLC22A17,5.33,95.62,5.33
PRKG1,5.32,95.53,5.32
TSPAN2,5.2,97.58,5.2
VAV3,5.08,88.26,5.08
TMEM121,4.82,96.37,4.82
ERBB4,4.8,97.3,4.8
ZNF569,4.72,97.58,4.72
WNT7A,4.66,93.76,4.66
DFNA5,4.64,98.6,4.64
PCDHGC3,4.61,98.97,4.61
ZNF570,4.33,98.79,4.33
SDC2,4.29,97.2,4.29
PHF21B,4.18,95.9,4.18
GRIN2A,4.12,96.37,4.12
MGMT,4.1,96.09,4.1
RNF182,3.96,94.32,3.96
ZBTB16,3.89,98.6,3.89
NELL2,3.84,97.3,3.84
EHD3,3.82,96.74,3.82
NDRG4,3.73,99.35,3.73
SPG20,3.7,97.95,3.7
ZNF365,3.63,95.9,3.63
PTPN13,3.58,82.57,3.58
ADAM23,3.4,97.39,3.4
UQCRH,3.31,99.35,3.31
ZNF304,3.28,97.02,3.28
MLH1,3.27,98.32,3.27
GSTP1,3.2,98.51,3.2
CACNG2,3.09,98.7,3.09
ATRNL1,2.89,99.35,2.89
FKBP11,2.86,99.81,2.86
LOC283856,2.85,99.25,2.85
CHCHD5,2.84,97.3,2.84
ZNF345,2.68,95.81,2.68
KCNQ3,2.66,97.48,2.66
FNBP1,2.6,99.35,2.6
SNAI2,2.55,98.23,2.55
KCNC1,2.48,98.14,2.48
MIR1908,2.34,98.6,2.34
LOC100130148,1.5,99.44,1.5
