Gene,UnmethylationTumor,MethylationNormal,HypomethylationPercentage
CACNG3,32.04,91.52,32.04
UBE2V2,28.68,90.59,28.68
MRPL30,25.45,88.07,25.45
TXNL4A,25.4,89.75,25.4
MFF,24.43,83.13,24.43
MRTO4,23.3,86.67,23.3
ELANE,22.92,82.2,22.92
COQ3,22.72,83.5,22.72
CAPN2,22.07,83.97,22.07
HIF3A,22.03,87.98,22.03
SFN,21.92,80.24,21.92
COG8,21.8,83.41,21.8
ATXN3,20.31,93.29,20.31
CRCT1,19.65,98.88,19.65
MTMR6,18.7,97.58,18.7
DYDC2,18.54,87.98,18.54
TMEM138,18.53,91.15,18.53
ACTL6B,18.42,92.45,18.42
PRR18,18.37,83.13,18.37
ARL13B,18.24,86.86,18.24
GSTP1,18.0,91.61,18.0
IKBKAP,17.84,93.85,17.84
CNTD2,17.59,80.89,17.59
C18orf16,17.14,80.06,17.14
CBLC,17.12,81.36,17.12
TOLLIP,17.06,87.98,17.06
PDPK1,16.29,91.43,16.29
SLC12A5,15.78,84.81,15.78
RNF8,15.69,91.33,15.69
SHANK1,15.68,91.43,15.68
C11orf49,15.5,93.48,15.5
BEND2,15.49,97.11,15.49
STRN3,15.24,93.29,15.24
TRPC3,15.03,94.22,15.03
ZC3H3,14.91,91.71,14.91
ABHD12B,14.9,80.8,14.9
KRT19,14.7,93.2,14.7
NUMA1,14.33,89.84,14.33
KLHL1,14.08,87.79,14.08
PPP4C,14.06,84.81,14.06
C21orf70,13.87,84.9,13.87
NOS1,13.86,83.69,13.86
TNFRSF10A,13.61,93.2,13.61
DDX49,13.58,96.83,13.58
TKTL2,13.49,98.7,13.49
SNRPA,13.48,91.71,13.48
TRPM6,13.34,93.57,13.34
LUC7L,13.07,91.24,13.07
C1orf124,13.04,87.6,13.04
OLFM1,12.99,97.02,12.99
MSH3,12.97,92.17,12.97
C18orf22,12.95,87.42,12.95
TP73,12.79,84.72,12.79
C2orf47,12.74,93.94,12.74
MAK16,12.53,82.76,12.53
FOLH1,12.36,99.16,12.36
CRH,12.09,88.63,12.09
RRM2,11.65,95.9,11.65
SRBD1,11.62,92.73,11.62
TMEM90B,11.61,94.78,11.61
BEST4,11.14,89.84,11.14
CDH4,11.01,97.39,11.01
FANCG,11.01,97.86,11.01
ZDHHC3,10.99,90.03,10.99
HBZ,10.9,88.35,10.9
EBPL,10.87,97.2,10.87
S100A13,10.6,94.69,10.6
PKN1,10.55,90.77,10.55
LMLN,10.31,99.91,10.31
SLC6A6,10.22,89.19,10.22
SNTB1,9.97,97.48,9.97
SLC2A10,9.77,85.09,9.77
FAM129A,9.49,88.26,9.49
CNOT6,9.38,99.35,9.38
TSPAN4,9.11,84.16,9.11
FXC1,8.85,97.95,8.85
C1orf229,8.49,90.03,8.49
RETN,8.05,99.81,8.05
CRHR1,7.91,97.3,7.91
TDRD1,7.91,97.3,7.91
SMAP1,7.75,87.33,7.75
DCLK1,7.55,92.73,7.55
EIF3I,7.41,86.3,7.41
ZNF532,7.34,99.16,7.34
MTM1,7.24,95.81,7.24
DYRK2,6.92,87.79,6.92
SCRN1,6.66,91.61,6.66
PMEPA1,6.5,98.97,6.5
CALCB,6.33,99.44,6.33
EFNA3,6.21,95.34,6.21
SYNE2,6.03,88.91,6.03
RNF115,5.82,99.44,5.82
STXBP2,4.8,99.07,4.8
DCAF4L2,4.37,100.0,4.37
LIMCH1,4.34,93.66,4.34
DIRAS3,4.23,97.3,4.23
APOA4,4.19,91.8,4.19
EXOC3L2,3.86,93.76,3.86
KCNIP1,3.79,99.63,3.79
DHX40,3.6,99.91,3.6
BSCL2,3.2,99.53,3.2
CACNA1H,2.45,98.97,2.45
BSND,2.31,99.81,2.31
PLAGL1,2.06,96.64,2.06
MAMDC4,1.73,90.21,1.73
NFKBIB,0.93,97.48,0.93
LTB4R2,0.46,99.91,0.46
