Gene,MethylationNormal,UnmethylationTumor,HypomethylationPercentage
SRBD1,90.0,8.33,8.33
TMEM138,91.67,1.67,1.67
RRM2,90.0,1.67,1.67
C1orf229,98.33,1.67,1.67
HBZ,90.0,1.67,1.67
DYDC2,98.33,1.67,1.67
CACNG3,98.33,0.0,0.0
TDRD1,100.0,0.0,0.0
CRHR1,96.67,0.0,0.0
RETN,100.0,0.0,0.0
FXC1,100.0,0.0,0.0
TSPAN4,100.0,0.0,0.0
CNOT6,100.0,0.0,0.0
FAM129A,100.0,0.0,0.0
SLC2A10,100.0,0.0,0.0
SNTB1,100.0,0.0,0.0
SLC6A6,100.0,0.0,0.0
DCLK1,100.0,0.0,0.0
LMLN,100.0,0.0,0.0
PKN1,96.67,0.0,0.0
S100A13,81.67,0.0,0.0
EBPL,100.0,0.0,0.0
ZDHHC3,100.0,0.0,0.0
FANCG,91.67,0.0,0.0
CDH4,100.0,0.0,0.0
BEST4,100.0,0.0,0.0
TMEM90B,86.67,0.0,0.0
SMAP1,100.0,0.0,0.0
EIF3I,100.0,0.0,0.0
FOLH1,100.0,0.0,0.0
DIRAS3,100.0,0.0,0.0
NFKBIB,100.0,0.0,0.0
MAMDC4,100.0,0.0,0.0
PLAGL1,100.0,0.0,0.0
BSND,100.0,0.0,0.0
CACNA1H,90.0,0.0,0.0
BSCL2,100.0,0.0,0.0
DHX40,100.0,0.0,0.0
KCNIP1,100.0,0.0,0.0
EXOC3L2,100.0,0.0,0.0
APOA4,100.0,0.0,0.0
LIMCH1,100.0,0.0,0.0
ZNF532,100.0,0.0,0.0
DCAF4L2,100.0,0.0,0.0
STXBP2,100.0,0.0,0.0
RNF115,100.0,0.0,0.0
SYNE2,100.0,0.0,0.0
EFNA3,100.0,0.0,0.0
CALCB,100.0,0.0,0.0
PMEPA1,90.0,0.0,0.0
SCRN1,100.0,0.0,0.0
DYRK2,100.0,0.0,0.0
MTM1,100.0,0.0,0.0
CRH,100.0,0.0,0.0
C2orf47,100.0,0.0,0.0
MAK16,100.0,0.0,0.0
UBE2V2,98.33,0.0,0.0
PDPK1,100.0,0.0,0.0
TOLLIP,100.0,0.0,0.0
CBLC,100.0,0.0,0.0
C18orf16,98.33,0.0,0.0
CNTD2,96.67,0.0,0.0
IKBKAP,100.0,0.0,0.0
GSTP1,100.0,0.0,0.0
ARL13B,100.0,0.0,0.0
PRR18,100.0,0.0,0.0
ACTL6B,100.0,0.0,0.0
MTMR6,100.0,0.0,0.0
CRCT1,96.67,0.0,0.0
ATXN3,100.0,0.0,0.0
COG8,95.0,0.0,0.0
SFN,93.33,0.0,0.0
HIF3A,100.0,0.0,0.0
CAPN2,81.67,0.0,0.0
COQ3,100.0,0.0,0.0
ELANE,88.33,0.0,0.0
MRTO4,100.0,0.0,0.0
MFF,100.0,0.0,0.0
TXNL4A,100.0,0.0,0.0
MRPL30,100.0,0.0,0.0
SLC12A5,98.33,0.0,0.0
RNF8,100.0,0.0,0.0
SHANK1,83.33,0.0,0.0
TNFRSF10A,96.67,0.0,0.0
TP73,100.0,0.0,0.0
C18orf22,91.67,0.0,0.0
MSH3,96.67,0.0,0.0
OLFM1,90.0,0.0,0.0
C1orf124,100.0,0.0,0.0
LUC7L,100.0,0.0,0.0
TRPM6,100.0,0.0,0.0
SNRPA,100.0,0.0,0.0
TKTL2,100.0,0.0,0.0
DDX49,100.0,0.0,0.0
NOS1,100.0,0.0,0.0
C11orf49,100.0,0.0,0.0
C21orf70,100.0,0.0,0.0
PPP4C,100.0,0.0,0.0
KLHL1,100.0,0.0,0.0
NUMA1,100.0,0.0,0.0
KRT19,100.0,0.0,0.0
ABHD12B,100.0,0.0,0.0
ZC3H3,98.33,0.0,0.0
TRPC3,100.0,0.0,0.0
STRN3,100.0,0.0,0.0
BEND2,100.0,0.0,0.0
LTB4R2,100.0,0.0,0.0
